tweet_id,post_type,text
69,reply,"@ChrisDJackson @JohnJoh10388787 @POTUS @JoeBiden Trump was a great President! We need four more years of low interest rates, affordable food and gas prices, and no wars. A very likeable, badarse, and seasoned business man. Love Trump! MAGA’s very best to you! Trump to bring America out of the ashes. 🇺🇸❤️🔥✝️🙏👏🇺🇸"
70,reply,"@90sLoverMissIt MAGA hates conservatives. I’ve lost count of the number of Trump supporters who believe that DeSantis is a fascist, far-right extremist, authoritarian, or anti-women."
71,reply,"@krassenstein @PKurzin ""Shit Pivots"" as they say in the tech world. If the GOP was blindsided by the fact that a 80-year-old guy may drop (or worse)out of a presidential race why the hell would we put them in charge of the nuclear triad? ""I was caught unawares"" -not the right answer from a president."
72,reply,"@SicCoP1 This is exactly how they get simplistic and naive people. They make you think its a simple transparency issue, meanwhile you have no clue who or what you re really supporting, and what will happen. It's like 'Save the Children"" of maga trolls, who wouldn't want to save them! 🙄"
73,reply,@TheRichFromCali If we had an AG Donald Trump would be  going to jail.
74,reply,"@GOP Why debate when you are in the lead.
Just ask Trump...."
75,reply,@realJennaEllis MAGA hates you. We hate you. Just go away.
76,quote,"@emilthrockmore @MikeSington Here are multiple angles and videos MAGA 🤡🤡🤡's:

https://t.co/EykCo3fvZI"
77,reply,"@Socket1Sophie Did a news feature back in the 80s when there was the switch from DHSS to Housing Benefit. 
We had a property company and met the Conservative Minister in Parliament to try and sort the shambles."
78,reply,"@elonmusk @AutismCapital After the assassination attempt I did a Google search. 

Could not find a conservative outlet but I found two or three links to Al Jazeera...

Been using Duck-Duck-Go a little more since then"
79,reply,@atensnut No that's what they performed on Donald Trump after his fifth scourge child
80,reply,@realLizUSA Holy crap. The RNC actually did something in support of election integrity. This is a first.
81,tweet,Abortion  is already illegal in 1/3 of states because of Donald Trump. We can’t let the GOP fill any more seats until Trump is history ... https://t.co/yU3j0UvzuU via @YouTube
82,quote,The DNC Convention is helping Trump 😂🖕🏼🇺🇸 #MAGA #Trump2024IsTheOnlyChoice #DemocratsAreDestroyingAmerica
83,tweet,"Donald Trump golf course set to have the highest green fees on the planet in 2025

#Trump #DonaldTrump @TrumpTurnberry @TrumpGolf 
https://t.co/ajbOiCEaHN"
84,reply,@The_Real_BiM @terrymbs2 @AdorablePodcast @RossGilroy @memequeenkimmy @SecularSmurf @OsingaPeter @America1Eagle1 @TreatHunterDog @56tweets4 @petewoodward0 @OnlyaMoment3 @hellosf77 @NewfMom29 @edielizzard1 @L331024 @zypisfy @scottstocker4 @ReganLieutenant @EMNODAERTTONOD @IZMKS44 @Jetson77 @UndeC08 @justasimplema20 @BettyBoop8209 @Woody4123 @BuckSatanLives @Missy10013Kathy @AdamTarver6 @cherylhart00 @carolyn_from @NatashaForTrump @TastyMorsel6 @mccuan_lois @Sofie_Z1 @AnnoyedTaurus @Theresa51332 @MsPeabiddy @bubba6186422393 @GnosticMessiah @lucy_neuwirth @BobBComedy @ThereseOSulliv2 @RaylynCurtis @RightDaisy @doggebukser @GrishamHun11462 @zipthwung @warmachineofgod sore loser... Trump and his kult of maga morons is DONE... https://t.co/m2oVznwFzn
85,reply,@the_1_Barber @brui4ns1 @JoeyMannarinoUS Trump is a scumbag. Been that way since the 80s. He's not fit for any public office bc he's not about serving others. He's about himself. He and Maga cult will be studied in future yrs to determine how he manipulated so many to join his movement. It truly is a psychological study
86,tweet,If y'all are an American and a Christian. Y'all will vote for Donald Trump.
87,reply,@RosenforNevada Trump2024
88,reply,"@rattlecans I wrote a piece - a little bit touching on this exact subject- for my Substack a while back. In that I was decrying the demise of this fine old English conservative tradition, being replaced by Farage empty US populist shite.
The English tradition of conservatism is shrivelling"
89,reply,@DWPippy It seems he also owns several members of the GOP Congress.
90,reply,@lsferguson Yes you are right! I feel the same way Steve! I pray @realDonaldTrump wins! Our Country is in Bad shape because of the MSM and corrupt politicians from the evil traitors in the Deep State communist @DNC and RINO @GOP ! Patriots who love our great Country will vote for Trump!🙏🇺🇲 https://t.co/slOonOY6Zf
91,reply,@RealCandaceO The problem is that Progressives are a moving target and the GOP are slow to adapt. The right still operate as if it is still a contest between Republicans and Democrats. Fortunately Progressives react like super-balls in a small room. Quirky but manageable.
92,reply,"@AmericaPapaBear She’s not Donald Trump.
I say this frustrated.. because I’m a huge Trump fan.
Trump needs to shut up and be optimistic"
93,reply,"@GNQ__ MAGA brainwashing ok.

The problem is, you see 99% of current issues through the lens of your own sexuality and ignore everything else. You’re young. You have a lot of maturing to do."
94,reply,"@MichaelSteele @susanrwncomau @MichaelSteele you are not a Conservative not a Republican, & not even a RINO.  You're just trying to take over for Mitt Romney and get some attention as the 'conservative' CNN hauls out with their propaganda.  It's shameful and disgusting."
95,reply,"@texan_maga Why call it MPOX and not Monkey Pox? 
 Remember those monkeys that escaped in PA??  They were being transferred from one laboratory to another when the truck wrecked and they issued a state of emergency over it until all the monkeys were caught dead or alive???  Just"
96,reply,"@thestustustudio @ChicagoDNC24 @FBI They’re honestly haters, chant for hate-war-intifada, hate America, w major effort to impress terrorist jihadhi they’re not infidels. 😂

Sans masks, their parasitic facade holds a day job while being misogynistic racists. 

The jihadi infidel cult like MAGA hopes for Trump? https://t.co/fWkuFRKwkH"
97,reply,"@NJ_Timothy Nick.

Why don't you just face facts?

May, Johnson and Sunak wilfully sent the Conservative Party up the swanny.

The UK is now firmly in the grip of the Deep State as a result.

@reformparty_uk know this, as do the majority of former Tory voters."
98,tweet,Opinion | Elon Musk and Donald Trump share the worst similarities https://t.co/dD6t0G3QvA via @msnbc
99,reply,"@GuntherEagleman House GOP wasted two years and millions of taxpayer dollars producing a report that didn’t even recommend impeachment and you’re like “Yeah, please feed me some more bullshit”."
100,reply,"@Lynnebf_2846 @RNC Fake poll, fake news."
200,tweet,Donald Trump to be sentenced to prison in September: Fox News columnist https://t.co/uuqmFigWjD https://t.co/lF9XBbI08n
201,reply,@realKyleKeegan I have never heard one person make fun of Biden having a stutter. Seems something the left bring out to make excuses for his in ability to thread a coherent sentence off prompter and sometimes on prompter
202,reply,@Luther97777506 @HFI_Research Biden/Harris are though because they are turning a blind eye to all their oil sales. They care more about the oil price than Iran using that money to literally fund terrorism.
203,quote,"This is homophobic, racist, and Islamophobic.

The IOF kills queer Palestinians with bombs supplied by Biden, Harris, and Blinken.

You are trying to justify voting for a genocidal baby killer when you haven't even TRIED to make this administration stop."
204,reply,"@JoeyMannarinoUS Raise your hand if you were forced to eat your poor furry, four-legged emergency food supply under the Biden/Harris campaign, and look forward to fornicating with your new one this November! 🖐️"
205,reply,@simonateba @KamalaHarris @realDonaldTrump She needs the least amount of direct exposure.  She'll stay in the basement like Biden... No questions asked.
206,reply,"@iAnonPatriot @GuntherEagleman Yes, but will they certify it? They are already talking about( Sen. Raskin) not doing so. Just like Maduro in Venezuela they will lose magnificently but refuse to go. I really think they will impeach Biden and make Harris the incumbent and then cancel the election due to war."
207,tweet,"Common sense!

 slams Harris as 'naive' on Iran, blasts VP for not being tough on Hamas https://t.co/8H3oJ5OT7w #FoxNews"
208,tweet,Donald Trump and his elections staff rapidly adjusting to Kamala Harris' candidacy... https://t.co/mgyuLyA6gn
209,reply,"@harris_wins An American citizen must have duties, responsibilities, and benefits. 
As for me, who is half a world away from Washington DC, I have to do the opposite: rights, responsibilities, and then the duties of an American citizen. 
Current US President Joe Biden"
210,tweet,at Kamala Harris rally in Las Vegas she said she would not tax tips.  Nice job copying donald trump.  @KamalaHarris
211,reply,@acnewsitics Kamala gaffs more than Joe Biden even though she’s younger like you like them lol
212,quote,Phuk this Biden-Harris liberal ass agenda!!!!!
213,reply,"@SitaRose27 @acnewsitics You bet we approve!  You approved of Biden and the man was a zombie. Still is now you put up the evil twins.  You better hope they lose, if not communism will be at your door!  They are elites do it won’t bother them, you better hope you are an elite too."
214,reply,@CBSNews They don't need him. This is just for politics to say Biden administration negotiated a peace plan. They have already negotiated without him and he's going to steal the credit for Kamala Harris election.
215,reply,@KurtSchlichter 3 national polls in last 3days show Trump in lead. Fox poll with Harris +1 has her underperforming Clinton and Biden. Michigan and PA poll also have Trump up. Walz was the worst pick ever
216,reply,"@farzyness I haven’t seen this in any of their documentation. I recall Biden floating the idea awhile back, but I am not seeing it now. It’s a terrible idea, probably unconstitutional, and likely won’t come back to life."
217,reply,"@1Swinging_Voter Note how it's all coming out about Biden's medical episode, but no one is asking how he's still in the job?"
218,reply,@NHAunleashed Not this time… we are barely making it through Biden
219,reply,"@hodgetwins A few weeks ago, Trump lead Biden.  Now Trump and Harris are tied in Aggregate polling."
220,quote,"In a BERNIE SANDERS poll, who is just as leftist and radical as Kamala Harris, Kommie-la can only manage to tie Donald Trump!

She is a terrible nominee, and she will lose!"
221,tweet,"The Biden Administration is forcing U.S. military veterans to immediately pay back tens of thousands of dollars in disability and separation payments, in an attempt to recoup those losses, leaving thousands bankrupt.

Most of these affected veterans were given single, lump-sum"
222,reply,"@TinaZimmermann4 Vance is playing Vance
Kamala is playing Kamala
Biden is playing Biden

If not
we have impersonating political elites
including that of POTUS
& that would be treason

But…no arrests
because there is no real proof of claims
so until something changes
all is at it appears"
223,tweet,"This is the Biden/Harris result. Hiw can anyone with brain matter support 4 more years of this, and immigration debacle? Your VOTE IS DESTROYING OUR COUNTRY!!! Help us!!! https://t.co/AqKIc0r4AN"
224,reply,"@Roberts_Rules 😂😂😂The folks Trump calls “animals” tooting his horn They got those COVID checks, avoided eviction and getting school loans reduced/ removed but yeah the guy who left a $3 trillion debt that Biden/Harris worked to clear up … and then COVID! It’s the ignorance that sink us all"
225,reply,@AnderTierrez @EndWokeness @AP Biden is on video literally admitting to withholding $$$ until the Ukrainian prosecutor ceased his investigation into Hunter's Burisma dealings. https://t.co/efGdQEBqrS
226,reply,"@Bubblebathgirl Wow, now she’s trying to silence the Palestinian protesters eeekkkk . You would think that her and Biden has pissed them off enough"
227,reply,@Bubblebathgirl But nothing was said when Biden was orange
228,reply,"@ChrisDJackson Translation:  Biden is doing absolutely NOTHING as President of the US while his VP plays bingo with rappers and Hollywooders at cringe rallies ...
So Who Is Running The SHOW?"
229,tweet,"Food for thought-If Joe Biden Saved the Economy, Why Do We Need Kamala Harris' Price Controls?"
230,tweet,This is due to the BIDEN KAMALA ADMINISTRATION  https://t.co/o3cExHrU5m
231,reply,@cbouzy Let it go FFS - we love Biden. It wasn’t personal. We needed a younger candidate. We have one and the country is exploding with enthusiasm and readiness for positive change.
232,tweet,"Japan was the key to the market slide  , Buffett saw the Jap slide coming , he had to sell , the FED amy have trouble moving the world market , push China down , Japan UP, Buffett not a day trader, Biden pump up--cash is king"
233,reply,"@mattyglesias It's the people on the bottom who are doing the best in the Biden-Harris economy - no accident.

These are *real* wage increases, i.e. adjusted for inflation.

You know who ISN'T doing better? The very wealthy - there's a reason your news is filled with negative stories. https://t.co/FRe39yITGf"
234,reply,@TomiLahren Biden and Harris are a complete train wreck🗑️🤡
235,reply,"@N76247476Man I've been saying it, I don't give a damn about the Dems, I care about what the GOP is doing. Almost 4 yrs later and a few months before an Election, they all agree to Impeach Biden now that he's finally silent. They want Nazi Harris in for a reason."
236,reply,@DustyAssKracka I have been asking the same question myself for the last 2 years when Biden said “Elect me and I’ll make sure the border is secured!”. MFer you are already in the White House. Fix it now!
237,reply,"@ryancharleston @Jason @GOP @KamalaHarris I see your opinions were sufficiently downloaded from the MSM.
Good job!"
238,reply,@KamalaHarris Why are you not doing it now!!!  You are in charge with the imbecile Biden.  We need to know you have the ability to do anything before the election.  You are just a f$$king liar.
239,reply,@fshakir Why doesn’t Biden do those things then? 🤓
240,reply,"@realDonaldTrump Do you realize Donald Trump got just as many votes in this years Democratic Primary as Kamala Harris did.
Strange, isn't it."
241,reply,"@agamemnus_dev @KinglyMz @HAHAHAHAHHAMAD @OnMy3rdLife @KevinMcInerJR @airdropfien @0x7d54 @coinmamba The point is that Trump messed up, I don't know why you're so adamant on defending his actions towards COVID. Conversely, I'm sure you'd be quick to point out Biden or Kamala's screwups every time you get the chance."
242,reply,@its_The_Dr Because she supported Biden as most loyal people do and I don’t mean those in a cult
243,reply,"@wildstarryskies @ELuchesi1 @What46HasDone Harris/Walz is a good ending for this, but in the end you're losing 4 years more of Biden and that's bad because he IS the bridge between Then and Now. You won't have this opportunity much.

At least, however, you know who the backstabbers are and you can deal with them."
244,tweet,"Biden's late-night swan song: Day 1 takeaways from the DNC
Salute president Biden, you gave your best and served the United States of America 🇺🇸. Well done 🫡"
245,reply,@DefiantLs You related to Joe Biden?
246,quote,"@tedlieu Happiness and Joy ….

Meet Kamala’s daughter, she fundraises for Hamas."
247,reply,"@MikeCarlton01 Really? A celebration of the warmongers Biden, Obama and Clinton."
248,quote,"Going from Biden-Harris to Harris-Walz in a matter of two weeks could be the seismic shift needed to win a Democratic trifecta in November. Tester might actually be able to hold on in Montana and, along with Gallego in Arizona, put us at 50 Senate seats (plus VP to break ties) 🙏"
249,quote,"The betting markets are usually spot on at any point in time. When Trump was a heavy favorite vs. Biden, I pointed it out. Now, the tables have turned. 

I personally think a wager on Harris, up to -110, is a good bet. Even money would be better!"
250,reply,@In2ThinAir Not a word from anyone. Ladies and gentlemen welcome to Biden America and if they steal it again we are done. 🥺
251,reply,@TonyMontana5309 @bearsfanxx @gotrice2024 @harryjsisson Biden is pro-choice.  1973 was a long damn time ago.
252,reply,"@DJParticle @Papapishu If Biden was working on a ceasefire, working against a ceasefire or had forgotten to work on a ceasefire, how would you know the difference; from your perch outside the White House?"
253,reply,@ewlamy @vdogg11 @walls_tumbling @DanteAtkins She literally said it in her own words that she was shocked and surprised what Biden did and how quickly Harris get a coalition going. https://t.co/wCFqb8qvHD
254,reply,"@TheLeoTerrell Who is the REAL president now? It ain't Creepy Joe Biden, that's for sure."
255,tweet,"I,M ALL FOR JUSTICE ON SOME OF THE LEADERS  OF MEN..WHO FLAUNT THEIR AUTHORITY,BUT I ALSO BELIEVE  IN MERCY,FOR THE WORST OUT HERE.WHERES  JOE BIDEN BEEN ,SINCE?? I THINK HES A BROKEN  MAN ,,AFTER 50 YRS IN OFFICES.BETRAYED BY HIS SPECIOUSLY NICE FRIENDS,AN YET HE STAYS IN ,SAD"
256,tweet,"Russian Federation 🇷🇺. 
Operations in Kursk region. 
Wounded Nazi Ukrainian soldiers were captured by the Russian Armed Forces in Kursk Region.
The wounded& dead Nazi Ukrainian troops are victims of traitors Joe Biden, Kamala Harris, Fake western media news & Nato propaganda. https://t.co/EJFmhpGE5P"
257,reply,"@LeadingReport Because they are a few billion in debt. Meanwhile, USA is $35 TRILLION  in debt and biden/harris keep sending the corrupt tyrant more of our money"
258,reply,@RonDeSantis Basically as ethical as Joe Biden
259,tweet,Jill Biden honors husband Joe Biden at Democratic convention https://t.co/VvDhX1xZGC via @YouTube
260,reply,@Sassafrass_84 Her and Biden could fix inflation right now but they chose to lock their promise behind a vote wall. She’s literally like EA. 😂
261,reply,@POTUS Why your name say “President Biden” didn’t you quit? 🤦🏾‍♂️🤣
262,reply,"@davidarlington1 @sherryande @PercyTaggerts @robbystarbuck At Joe Biden 10/20 ,"" I have this strange notion, we're a Democracy....if you can't get the votes....you can't [legislate] by executive order unless your a dictator. We're a democracy. We need consensus."" He wrote more Exec Ord's than any  president history, 44 his 1st week."
263,reply,"@chelsey0726 @NancyMace Biden showered with his daughter ! She feared him! Molester!!
Yet you said nothing. You are a fraud"
264,tweet,Biden lied !
265,quote,"""All of this Biden/Harris stuff is physically, psychologically and emotionally manufactured pretense from the minds of people who are genuinely odd characters."""
266,reply,@jakejakeny It's Joe Biden what is wrong with you?
267,quote,The award meant something aside from Obama and Biden's presidential terms.  I'm not mad at this.
268,reply,@DemocracyHere Each of the @HouseDemocrats who asked @Pres Biden to step aside after 50 free and fair elections should go too. Overturning elections is wrong not matter which party does it. #NeverKamala #DNCConvention My ballot did not say Biden or Harris for president. https://t.co/mvuvdSRzaO
269,quote,"Border CZAR is changing her statement now..Now she's for closing the border, fracking, and Ukraine. Wack job lying ..She is changing all of her views. The media is trying to remove all her past views when she was with Biden!"
270,reply,@dom_lucre @PressSec needs to change her makeup. She blinks her eyes rapidly when she lies and it is painfully more obvious when she does.   And of course - did ANY reporter follow up with the “crackdown” of Biden/Harris against service workers? #2024Election @realDonaldTrump @KamalaHarris
271,reply,"@KyleSloter @derekjayl The man that can’t even beat Joe Biden in an election, no wonder they were furious 😂"
272,reply,@cold_casey @RATM818 @BGrueskin Brb I’m gonna go watch Joe Biden’s college football highlights
273,quote,"Wait...you mean biden the child toucher?
They both pedos, folks"
274,tweet,"Biden's criminal activity needs to be out there in the headlines. He has committed treason by selling access to his position. Ever wonder why he is so adamant about sending billions and billions to Zelensky? 
Check out the Congressional report:
https://t.co/ODx7xZiJo7"
275,reply,"@hodgetwins @KanekoaTheGreat Agreed. CA, CO, HI, NV, OR, UT, VT, WA, DC send mail-in ballots to ALL voters and those states also allow ballot harvesting with minimal restrictions. Shockingly, they all voted for Biden in 2020."
276,reply,@joelpollak So silly to pretend Biden is not demented
277,reply,"@ThePatriot420 @MarindaVannoy1 @POTUS When drug costs drop precipitously, it doesn't cost people/insurers more. It costs them LESS. Biden intends to continue to work to see those costs plummet and so does Harris. And if you ever end up with cancer and have huge bills, you will understand the need for this."
278,reply,"@NotGavin51 @MichaelCrush73 @PpollingNumbers Based on what data? He's never ignored FL..he's been to my hometown, Ocala..FL is HIS home..2020 he beat Biden 51.2%-47.9%. New poll shows Trump 50-Harris 47 today. 4 points then -3 now..don't get too excited yet..Spin.."
279,tweet,"President Joe Biden's decision to campaign for Vice President Kamala Harris in Pennsylvania underscores the importance of this battleground state in the 2024 election.

#BidenHarris2024 #PennsylvaniaCampaign #Election2024

https://t.co/FGNi2viPsF"
280,quote,"Democrats demand body guards, weapons,walls, and police for themselves but not for you"
281,reply,"@DesireeAmerica4 This needs video needs to go viral on all platforms. The corrupt social media, and news media are putting a lot of false information.. they’re not allowing the truth . There’s still being bias for Biden, and Kamala not let accurate news to come out.."
282,reply,"@DefiyantlyFree Kamala Harris is paying people to post good things about her in social media.

Kamala is a phony.

Hundreds of thousands of people post for Trump because they believe in Trump.

Trump is authentic."
283,reply,"@NEWSMAX @CaraCastronuova According to biden- these folks ""Ain't Black"" LMFAO_ We can spot a disingenuous dingbat from a mile away- and that dingbat is kamallah."
