tweet_id,post_type,text
224,reply,"@Roberts_Rules 😂😂😂The folks Trump calls “animals” tooting his horn They got those COVID checks, avoided eviction and getting school loans reduced/ removed but yeah the guy who left a $3 trillion debt that Biden/Harris worked to clear up … and then COVID! It’s the ignorance that sink us all"
98,tweet,Opinion | Elon Musk and Donald Trump share the worst similarities https://t.co/dD6t0G3QvA via @msnbc
258,reply,@RonDeSantis Basically as ethical as Joe Biden
201,reply,@realKyleKeegan I have never heard one person make fun of Biden having a stutter. Seems something the left bring out to make excuses for his in ability to thread a coherent sentence off prompter and sometimes on prompter
268,reply,@DemocracyHere Each of the @HouseDemocrats who asked @Pres Biden to step aside after 50 free and fair elections should go too. Overturning elections is wrong not matter which party does it. #NeverKamala #DNCConvention My ballot did not say Biden or Harris for president. https://t.co/mvuvdSRzaO
467,tweet,"🚨 #NEWS: The Case of an Illegal Alien Gang Member Who Assaulted a Border Patrol Agent  

Diego Ibarra was released into the United States in 2023 despite his apparent gang membership and assault of a Border Patrol agent.

After assaulting a Border Patrol agent, Diego's file https://t.co/WXcqy1EeTX"
440,tweet,"Connecticut is too far gone. Whether @MattCoreyCT or @gerryforsenate wins today's ultra low turnout primary, Chris Murphy will win in November because Nutmeg State voters epically suck. #CTPolitics"
26,quote,"He's a Veteran with 24 years of distinguished service. No one can taint that or take it away. MAGA is desperate to shift the narrative away from the couch boy who barely put in 4 years. Nice try, I'm with @GovTimWalz every step of the way until he is our Vice President."
244,tweet,"Biden's late-night swan song: Day 1 takeaways from the DNC
Salute president Biden, you gave your best and served the United States of America 🇺🇸. Well done 🫡"
446,reply,@mjfree Harrison Butker explained the MAGA position on this https://t.co/nCA1fgzRb0
451,reply,"@elonmusk @alexandre Wow.  That is such a shame Elon.  You try to provide world citizens with freedom of speech, and this is how some governments treat you??? 

An utter disgrace is right."
74,reply,"@GOP Why debate when you are in the lead.
Just ask Trump...."
209,reply,"@harris_wins An American citizen must have duties, responsibilities, and benefits. 
As for me, who is half a world away from Washington DC, I have to do the opposite: rights, responsibilities, and then the duties of an American citizen. 
Current US President Joe Biden"
208,tweet,Donald Trump and his elections staff rapidly adjusting to Kamala Harris' candidacy... https://t.co/mgyuLyA6gn
237,reply,"@ryancharleston @Jason @GOP @KamalaHarris I see your opinions were sufficiently downloaded from the MSM.
Good job!"
482,quote,"Happy Birthday, @USCG!"
263,reply,"@chelsey0726 @NancyMace Biden showered with his daughter ! She feared him! Molester!!
Yet you said nothing. You are a fraud"
43,reply,@MattWalshBlog @RealBrysonGray Make America Great Again Country - Donald Trump AI is better.
18,reply,@ericsuniverse @amyforsandiego @BillMelugin_ the trump supporters in LA county? That massive voting block? What the reporter should know is that the number of people who are completely closed to voting for a Trump supporter far out number folks who are in the maga cult. Especially in LA county.
466,reply,@JDVance Reminder that he set up a statewide covid snitch line for informing on neighbors and family
77,reply,"@Socket1Sophie Did a news feature back in the 80s when there was the switch from DHSS to Housing Benefit. 
We had a property company and met the Conservative Minister in Parliament to try and sort the shambles."
91,reply,@RealCandaceO The problem is that Progressives are a moving target and the GOP are slow to adapt. The right still operate as if it is still a contest between Republicans and Democrats. Fortunately Progressives react like super-balls in a small room. Quirky but manageable.
25,reply,@GOP Trump has been bragging how amazing Venezuela is doing though. He keeps bragging their crime in way down. 😹
58,reply,@highbrow_nobrow @AccountableGOP Deflect & Deny. That should be the new MAGA motto.
93,reply,"@GNQ__ MAGA brainwashing ok.

The problem is, you see 99% of current issues through the lens of your own sexuality and ignore everything else. You’re young. You have a lot of maturing to do."
78,reply,"@elonmusk @AutismCapital After the assassination attempt I did a Google search. 

Could not find a conservative outlet but I found two or three links to Al Jazeera...

Been using Duck-Duck-Go a little more since then"
490,tweet,"292 page report from House GOP state biden & his family received $27 MILLION from foreign individuals & entities, and this is an ‘impeachable offense.’ 

What took so long? And what is going to be done about it? https://t.co/6pPr63DU4m"
267,quote,The award meant something aside from Obama and Biden's presidential terms.  I'm not mad at this.
8,reply,"@Used_To_Be_GOP Yet, it's a them and not a you problem?

You sound mentally ill."
240,reply,"@realDonaldTrump Do you realize Donald Trump got just as many votes in this years Democratic Primary as Kamala Harris did.
Strange, isn't it."
479,reply,@Rainmaker1973 Twerking 2028. https://t.co/l8DOZHsojW
79,reply,@atensnut No that's what they performed on Donald Trump after his fifth scourge child
448,reply,@bruce_steiner No. Trump didn't rape anyone. Now Biden showered with his daughter. Ask Tara Reide how he sexually assaulted her. Back then..she didn't wait to lie for 35 years until he ran for President.
429,reply,"@CaptainMorganTN @shaunmm2k @KeneAkers Incorrect, only half the address was there. There was another man same name, who was registered democrat. So unlikely as your guy was a republican.  Nice try though. We all know it was all fake anyway. Your guy was trying to rouse up his base. The rest of the world doesn’t care"
