annotation_id,tweet_id,llm_name_version,post_type,text,total_score,date,annotation_session,V1,V1_reason,V2,V2_reason,V3,V3_reason,V4,V4_reason,V5,V5_reason,V6,V6_reason,V7,V7_reason,V8,V8_reason,prompt_variant
11,6,gpt-4o-2024-08-06,quote,"Reason not to vote for her.
She’s a threat to our Republic!
#Trump2024",11,2026-03-16 15:33:18,20260316_1530,2,Emotion or exaggeration with 'threat to our Republic'.,1,No support for undemocratic practices is shown.,1,No support for partisan violence is shown.,1,No support for undemocratic candidates is shown.,2,Emotion or exaggeration with 'threat to our Republic'.,1,No social distrust is evident.,2,Emotion or exaggeration with 'threat to our Republic'.,1,No biased evaluation of politicized facts is evident.,A
12,6,gpt-4o-2024-08-06,quote,"Reason not to vote for her.
She’s a threat to our Republic!
#Trump2024",13,2026-03-16 15:33:25,20260316_1530,2,Emotion or exaggeration with 'threat to our Republic'.,2,Emotion or exaggeration with 'threat to our Republic'.,1,No support for partisan violence or aggression.,1,No support for undemocratic candidates.,2,Emotion or exaggeration with 'threat to our Republic'.,2,Emotion or exaggeration with 'threat to our Republic'.,2,Emotion or exaggeration with 'threat to our Republic'.,1,No distortion of factual claims.,B
13,7,gpt-4o-2024-08-06,quote,"#MAGAMoron and #antisemite @GOP candidate, #RoyceWhite won his primary in #Minnesota.  
#VoteBlueDownBallott 
#VoteBlueAsifYourLivesDependonit 
#VoteBlueToStopACriminalDictator",18,2026-03-16 15:33:34,20260316_1530,3,The tweet includes partisan name-calling ('#MAGAMoron') and uses emotional language ('#VoteBlueAsifYourLivesDependonit').,2,The tweet uses partisan name-calling ('#MAGAMoron') but does not explicitly support undemocratic practices.,1,There is no support for partisan violence in the tweet.,2,The tweet criticizes a candidate ('#antisemite @GOP candidate') but does not use emotional language beyond name-calling.,3,"The tweet includes name-calling and emotional language, indicating opposition to bipartisanship.",3,"The tweet uses name-calling and emotional language, reducing social trust.",2,The tweet uses terms that increase distrust ('#MAGAMoron') but does not reference events that damage communities.,2,The tweet presents a partisan stance with emotional language but does not provide a biased evaluation of politicized facts.,A
14,7,gpt-4o-2024-08-06,quote,"#MAGAMoron and #antisemite @GOP candidate, #RoyceWhite won his primary in #Minnesota.  
#VoteBlueDownBallott 
#VoteBlueAsifYourLivesDependonit 
#VoteBlueToStopACriminalDictator",18,2026-03-16 15:33:44,20260316_1530,3,Partisan name-calling with terms like '#MAGAMoron' and emotional language like '#VoteBlueAsifYourLivesDependonit'.,2,"Partisan name-calling with '#MAGAMoron' and emotional language, but no explicit support for undemocratic practices.",2,"Partisan name-calling with '#MAGAMoron' and emotional language, but no explicit support for violence.",1,No support for undemocratic candidates is shown.,3,Partisan name-calling and emotional language suggest rejection of cross-party cooperation.,3,Partisan name-calling and emotional language suggest generalized interpersonal suspicion.,2,"Partisan name-calling suggests distrust, but no events that damage communities are mentioned.",2,"Partisan stance with emotional language, but no specific factual claims are distorted.",B
15,8,gpt-4o-2024-08-06,reply,"@Used_To_Be_GOP Yet, it's a them and not a you problem?

You sound mentally ill.",12,2026-03-16 15:33:52,20260316_1530,2,The tweet includes partisan name-calling by implying mental illness.,1,There is no support for undemocratic practices or related factors.,1,There is no support for partisan violence or related factors.,1,There is no support for undemocratic candidates or related factors.,2,"The tweet includes name-calling, reducing trust.",2,"The tweet includes name-calling, which reduces trust.",2,The tweet includes terms that increase distrust and distance.,1,There is no biased evaluation of politicized facts or related factors.,A
16,8,gpt-4o-2024-08-06,reply,"@Used_To_Be_GOP Yet, it's a them and not a you problem?

You sound mentally ill.",14,2026-03-16 15:34:01,20260316_1530,2,The tweet includes partisan name-calling with 'mentally ill'.,2,The tweet includes partisan name-calling with 'mentally ill'.,2,The tweet includes partisan name-calling with 'mentally ill'.,1,No support for undemocratic candidates or behavior is shown.,2,The tweet includes name-calling with 'mentally ill'.,2,The tweet includes name-calling with 'mentally ill'.,2,The tweet includes name-calling with 'mentally ill'.,1,No distortion of factual claims is present.,B
17,9,gpt-4o-2024-08-06,quote,Sincerely asking...why don't ppl research these things? A quick Google search will show they are protesting at Trump/RNC events often with bigger numbers than Kamala/DNC events,9,2026-03-16 15:34:08,20260316_1530,1,No partisan name-calling or emotional language present.,1,No support for undemocratic practices or partisan name-calling.,1,No support for partisan violence or related language.,1,No support for undemocratic candidates or related language.,1,No opposition to bipartisanship or related language.,1,No social distrust or related language.,1,No social distance or related language.,2,"Mentions political events with a partisan stance, suggesting bias.",A
18,9,gpt-4o-2024-08-06,quote,Sincerely asking...why don't ppl research these things? A quick Google search will show they are protesting at Trump/RNC events often with bigger numbers than Kamala/DNC events,9,2026-03-16 15:34:15,20260316_1530,1,No partisan name-calling or emotional language present.,1,No endorsement of norm-violating conduct or partisan name-calling.,1,No support for partisan violence or name-calling.,1,No support for undemocratic candidates or name-calling.,1,No rejection of cross-party cooperation or emotional language.,1,No generalized interpersonal suspicion or emotional language.,1,No terms that increase distrust or emotional language.,2,Presents a partisan stance by comparing protest sizes at Trump/RNC vs Kamala/DNC events.,B
19,10,gpt-4o-2024-08-06,tweet,"lol gop “They brought Mitch McConnell into the greenhouse, and they sent every single Hispanic worker home before he got there,” Hester said. “He then proceeded to have a speech about how we were taking the jobs from the Mexicans.”",14,2026-03-16 15:34:24,20260316_1530,2,Partisan name-calling with 'lol gop' and emotional language in the quote.,2,"Emotion or exaggeration present in the quote, but no direct support for undemocratic practices.",1,No support for partisan violence is evident.,1,No support for undemocratic candidates is evident.,2,"Emotion or exaggeration present in the quote, reducing trust.",2,"Emotion or exaggeration present in the quote, reducing trust.",2,Terms that increase distrust and distance are present in the quote.,2,"Emotion or exaggeration present in the quote, indicating a biased evaluation.",A
20,10,gpt-4o-2024-08-06,tweet,"lol gop “They brought Mitch McConnell into the greenhouse, and they sent every single Hispanic worker home before he got there,” Hester said. “He then proceeded to have a speech about how we were taking the jobs from the Mexicans.”",13,2026-03-16 15:34:35,20260316_1530,2,The tweet includes emotion or exaggeration with 'lol gop' and a negative portrayal of Mitch McConnell.,2,The tweet includes partisan name-calling with 'lol gop' and emotion or exaggeration.,1,There is no support for partisan violence or aggression in the tweet.,1,There is no support for undemocratic candidates in the tweet.,2,The tweet includes emotion or exaggeration with 'lol gop' and a negative portrayal of Mitch McConnell.,2,The tweet includes emotion or exaggeration with 'lol gop' and a negative portrayal of Mitch McConnell.,1,There is no language indicating outparty avoidance in the tweet.,2,"The tweet presents a controversial issue with a partisan stance, using emotion or exaggeration.",B
21,11,gpt-4o-2024-08-06,tweet,🚀 Check out MAGA Hat $MAGA prices @CoinGecko!✨🦎 https://t.co/nNFB4Fyrxm https://t.co/W39N1oiC5n,8,2026-03-16 15:34:44,20260316_1530,1,No partisan name-calling or emotional language present.,1,No support for undemocratic practices or emotional language present.,1,No support for partisan violence or emotional language present.,1,No support for undemocratic candidates or emotional language present.,1,No opposition to bipartisanship or emotional language present.,1,No social distrust or emotional language present.,1,No social distance or emotional language present.,1,No biased evaluation of politicized facts or emotional language present.,A
22,11,gpt-4o-2024-08-06,tweet,🚀 Check out MAGA Hat $MAGA prices @CoinGecko!✨🦎 https://t.co/nNFB4Fyrxm https://t.co/W39N1oiC5n,8,2026-03-16 15:34:53,20260316_1530,1,No negative affect or partisan name-calling present.,1,No endorsement of norm-violating conduct or partisan name-calling.,1,No support for partisan violence or name-calling.,1,No support for undemocratic candidates or name-calling.,1,No rejection of cross-party cooperation or name-calling.,1,No generalized interpersonal suspicion or name-calling.,1,No terms that increase distrust or avoidance of outparty.,1,No partisan distortion of factual claims or exaggeration.,B
23,12,gpt-4o-2024-08-06,tweet,"The fact that they decided to publish Hillary Clinton’s emails in 2016 to support Donald Trump, and decided not to publish Donald Trump’s emails in 2024 to support Donald Trump, shows exactly what is terribly wrong with our political mainstream media. 

- Andrea Junker",13,2026-03-16 15:35:06,20260316_1530,2,The tweet expresses emotion and exaggeration by stating 'terribly wrong with our political mainstream media'.,1,The tweet does not show support for undemocratic practices or use partisan name-calling.,1,The tweet does not show support for partisan violence or use partisan name-calling.,1,The tweet does not show support for undemocratic candidates.,2,"The tweet uses language that reduces trust in the media, indicating opposition to bipartisanship.",2,The tweet expresses distrust in the political mainstream media.,1,The tweet does not express resistance to interpersonal contact with outpartisans.,3,The tweet presents a biased evaluation of politicized facts and uses emotional language.,A
24,12,gpt-4o-2024-08-06,tweet,"The fact that they decided to publish Hillary Clinton’s emails in 2016 to support Donald Trump, and decided not to publish Donald Trump’s emails in 2024 to support Donald Trump, shows exactly what is terribly wrong with our political mainstream media. 

- Andrea Junker",10,2026-03-16 15:35:16,20260316_1530,1,No partisan name-calling or emotional exaggeration directed at opposing party members.,1,Does not show support for undemocratic practices or use partisan name-calling or exaggeration.,1,No support for partisan violence or use of name-calling or exaggeration.,1,Does not show support for undemocratic candidates or use name-calling or exaggeration.,1,No name-calling or emotional exaggeration reducing trust or cooperation.,2,Emotion or exaggeration present in criticism of political mainstream media.,1,No terms increasing distrust or events damaging communities.,2,Presents a partisan stance on media bias with emotional language.,B
25,13,gpt-4o-2024-08-06,tweet,"Trump &amp; MAGA politics crushes by far the Harris &amp; Waltz traitors
 https://t.co/Xo5msZZ1iy",15,2026-03-16 15:35:23,20260316_1530,3,Partisan name-calling ('traitors') and emotion/exaggeration ('crushes by far').,2,Partisan name-calling ('traitors') but no explicit support for undemocratic practices.,2,Partisan name-calling ('traitors') but no explicit support for violence.,1,No support for undemocratic candidates is shown.,2,Partisan name-calling ('traitors') reduces trust.,2,Partisan name-calling ('traitors') reduces trust.,2,Partisan name-calling ('traitors') increases distance.,1,No biased evaluation of politicized facts is present.,A
26,13,gpt-4o-2024-08-06,tweet,"Trump &amp; MAGA politics crushes by far the Harris &amp; Waltz traitors
 https://t.co/Xo5msZZ1iy",15,2026-03-16 15:35:32,20260316_1530,3,Partisan name-calling ('traitors') and emotion/exaggeration ('crushes by far').,2,Partisan name-calling ('traitors') but no explicit support for undemocratic practices.,2,Partisan name-calling ('traitors') but no explicit support for violence.,1,No support for undemocratic candidates mentioned.,2,Partisan name-calling ('traitors') but no explicit rejection of cooperation.,2,Partisan name-calling ('traitors') but no broad suspicion expressed.,2,Partisan name-calling ('traitors') but no explicit mention of avoidance.,1,No distortion of factual claims present.,B
27,14,gpt-4o-2024-08-06,reply,@DennisMSwanson1 @GOP America has never been a nation. https://t.co/CmUtFsLeBK,8,2026-03-16 15:35:39,20260316_1530,1,No partisan name-calling or emotional language present.,1,No support for undemocratic practices or emotional language present.,1,No support for partisan violence or emotional language present.,1,No support for undemocratic candidates or emotional language present.,1,No opposition to bipartisanship or emotional language present.,1,No social distrust or emotional language present.,1,No social distance or emotional language present.,1,No biased evaluation of politicized facts or emotional language present.,A
28,14,gpt-4o-2024-08-06,reply,@DennisMSwanson1 @GOP America has never been a nation. https://t.co/CmUtFsLeBK,8,2026-03-16 15:35:44,20260316_1530,1,No partisan name-calling or emotional language present.,1,No support for undemocratic practices or emotional language present.,1,No support for partisan violence or emotional language present.,1,No support for undemocratic candidates or emotional language present.,1,No name-calling or emotional language present.,1,No name-calling or emotional language present.,1,No terms that increase distrust or emotional language present.,1,No partisan distortion of factual claims or emotional language present.,B
29,15,gpt-4o-2024-08-06,reply,"@Phil6741400 @eyeslasho @TheFP @Quillette Yet ""maga"" is ""low wit""",10,2026-03-16 15:35:49,20260316_1530,2,Partisan name-calling with 'maga' as 'low wit'.,1,No support for undemocratic practices.,1,No support for partisan violence.,1,No support for undemocratic candidates.,1,No opposition to bipartisanship.,1,No social distrust expressed.,2,Name-calling increases social distance.,1,No biased evaluation of politicized facts.,A
30,15,gpt-4o-2024-08-06,reply,"@Phil6741400 @eyeslasho @TheFP @Quillette Yet ""maga"" is ""low wit""",13,2026-03-16 15:35:55,20260316_1530,2,Partisan name-calling with 'maga' as 'low wit'.,2,Partisan name-calling with 'maga' as 'low wit'.,1,No support for partisan violence or aggression.,1,No support for undemocratic candidates.,2,Partisan name-calling reduces trust.,2,Partisan name-calling reduces trust.,2,Partisan name-calling increases distrust.,1,No distortion of factual claims.,B
31,16,gpt-4o-2024-08-06,reply,"@ofreacharound Apparently it’s been known in MN. CSM Behrends and other Guardsmen have been talking about it for years &amp; the GOP candidate brought it up during the 2022 election. MN media is Dem-run so it was largely smothered, but now that Walz is on the national stage it’s harder to hide",13,2026-03-16 15:36:00,20260316_1530,2,"The tweet suggests bias by stating 'MN media is Dem-run', which implies emotion or exaggeration.",2,The tweet implies media bias ('MN media is Dem-run') which suggests emotion or exaggeration.,1,There is no support for partisan violence in the tweet.,1,There is no support for undemocratic candidates in the tweet.,2,"The tweet implies distrust in media ('MN media is Dem-run'), suggesting emotion or exaggeration.",2,"The tweet implies distrust in media ('MN media is Dem-run'), suggesting emotion or exaggeration.",1,There is no language that increases social distance in the tweet.,2,"The tweet presents a biased view of media ('MN media is Dem-run'), suggesting emotion or exaggeration.",A
32,16,gpt-4o-2024-08-06,reply,"@ofreacharound Apparently it’s been known in MN. CSM Behrends and other Guardsmen have been talking about it for years &amp; the GOP candidate brought it up during the 2022 election. MN media is Dem-run so it was largely smothered, but now that Walz is on the national stage it’s harder to hide",14,2026-03-16 15:36:06,20260316_1530,2,Emotion or exaggeration is present in the claim that MN media is Dem-run and smothered information.,2,Emotion or exaggeration is present in the claim about media being Dem-run and hiding information.,1,No support for partisan violence or aggression is present.,1,No support for undemocratic candidates is present.,2,Emotion or exaggeration is present in the claim about media bias.,2,Emotion or exaggeration is present in the claim about media bias.,1,No terms that increase distrust or avoidance of outparty members are present.,3,Both partisan stance and emotion/exaggeration are present in the claim about media bias and hiding information.,B
33,17,gpt-4o-2024-08-06,reply,@VP is running the same campaign that @POTUS #SleepyJoe ran in 2020. Hoping that the American people blindly vote for her. It’s time to wake up and make America great again. GO VOTE!! @realDonaldTrump @X @elonmusk #MAGA #MAGA2024,12,2026-03-16 15:36:14,20260316_1530,2,The tweet uses partisan name-calling with '#SleepyJoe'.,2,The tweet uses partisan name-calling with '#SleepyJoe'.,1,There is no support for partisan violence in the tweet.,1,There is no support for undemocratic candidates in the tweet.,2,The tweet uses partisan name-calling with '#SleepyJoe'.,1,There is no social distrust expressed in the tweet.,1,There is no language increasing social distance in the tweet.,2,The tweet presents a partisan stance with '#MAGA #MAGA2024'.,A
34,17,gpt-4o-2024-08-06,reply,@VP is running the same campaign that @POTUS #SleepyJoe ran in 2020. Hoping that the American people blindly vote for her. It’s time to wake up and make America great again. GO VOTE!! @realDonaldTrump @X @elonmusk #MAGA #MAGA2024,13,2026-03-16 15:36:21,20260316_1530,2,Uses partisan name-calling with '#SleepyJoe'.,2,Uses partisan name-calling with '#SleepyJoe'.,1,No support for partisan violence or aggression.,1,No support for undemocratic candidates.,2,Uses partisan name-calling with '#SleepyJoe'.,2,Uses partisan name-calling with '#SleepyJoe'.,1,No terms that increase distrust or avoidance.,2,Uses emotion with 'wake up and make America great again'.,B
35,18,gpt-4o-2024-08-06,reply,@ericsuniverse @amyforsandiego @BillMelugin_ the trump supporters in LA county? That massive voting block? What the reporter should know is that the number of people who are completely closed to voting for a Trump supporter far out number folks who are in the maga cult. Especially in LA county.,12,2026-03-16 15:36:26,20260316_1530,2,The term 'maga cult' implies partisan name-calling.,1,No support for undemocratic practices is evident.,1,No support for partisan violence is evident.,1,No support for undemocratic candidates is evident.,2,The term 'maga cult' reduces trust and implies opposition to bipartisanship.,2,The term 'maga cult' reduces trust.,2,The term 'maga cult' increases social distance.,1,No biased evaluation of politicized facts is evident.,A
36,18,gpt-4o-2024-08-06,reply,@ericsuniverse @amyforsandiego @BillMelugin_ the trump supporters in LA county? That massive voting block? What the reporter should know is that the number of people who are completely closed to voting for a Trump supporter far out number folks who are in the maga cult. Especially in LA county.,14,2026-03-16 15:36:32,20260316_1530,2,The term 'maga cult' implies negative affect and emotion towards Trump supporters.,2,The term 'maga cult' shows emotion or exaggeration but does not endorse undemocratic practices.,1,There is no support for partisan violence or aggression.,1,There is no support for undemocratic candidates.,2,The term 'maga cult' reduces trust and shows emotion.,2,The term 'maga cult' reduces trust and shows emotion.,2,The term 'maga cult' increases distrust and shows emotion.,2,The term 'maga cult' shows emotion or exaggeration but does not distort factual claims.,B
37,19,gpt-4o-2024-08-06,reply,"@daviddunn177 @Acyn she's so cute, too bad she sold her soul to the evils of the GOP",13,2026-03-16 15:36:37,20260316_1530,2,Partisan name-calling with 'evils of the GOP'.,2,Partisan name-calling with 'evils of the GOP'.,1,No support for partisan violence.,1,No support for undemocratic candidates.,2,Partisan name-calling with 'evils of the GOP'.,2,Partisan name-calling with 'evils of the GOP'.,2,Partisan name-calling with 'evils of the GOP'.,1,No biased evaluation of politicized facts.,A
38,19,gpt-4o-2024-08-06,reply,"@daviddunn177 @Acyn she's so cute, too bad she sold her soul to the evils of the GOP",15,2026-03-16 15:36:42,20260316_1530,2,Partisan name-calling with 'evils of the GOP'.,2,Partisan name-calling with 'evils of the GOP'.,2,Partisan name-calling with 'evils of the GOP'.,1,No support for undemocratic candidates.,2,Partisan name-calling with 'evils of the GOP'.,2,Partisan name-calling with 'evils of the GOP'.,2,Partisan name-calling with 'evils of the GOP'.,2,Partisan name-calling with 'evils of the GOP'.,B
39,20,gpt-4o-2024-08-06,reply,@RpsAgainstTrump Still enjoying this you MAGA freaks??? Is there literally anything he can say that will make you realize what a horrible person he is?,15,2026-03-16 15:36:54,20260316_1530,3,Partisan name-calling ('MAGA freaks') and emotional language ('horrible person').,2,Partisan name-calling ('MAGA freaks') but no support for undemocratic practices.,1,No support for partisan violence or related language.,1,No support for undemocratic candidates.,2,Partisan name-calling ('MAGA freaks') but no explicit opposition to bipartisanship.,2,Partisan name-calling ('MAGA freaks') but no general social distrust.,2,Partisan name-calling ('MAGA freaks') but no events or language that damage communities.,2,Emotion ('horrible person') but no specific politicized facts presented.,A
40,20,gpt-4o-2024-08-06,reply,@RpsAgainstTrump Still enjoying this you MAGA freaks??? Is there literally anything he can say that will make you realize what a horrible person he is?,17,2026-03-16 15:37:01,20260316_1530,3,Partisan name-calling ('MAGA freaks') and emotion/exaggeration ('horrible person').,2,Partisan name-calling ('MAGA freaks') and emotion/exaggeration ('horrible person').,2,Partisan name-calling ('MAGA freaks') and emotion/exaggeration ('horrible person').,1,Does not show support for undemocratic candidates.,3,Partisan name-calling ('MAGA freaks') and emotion/exaggeration ('horrible person').,3,Partisan name-calling ('MAGA freaks') and emotion/exaggeration ('horrible person').,2,Partisan name-calling ('MAGA freaks').,1,Does not present or distort factual claims.,B
41,21,gpt-4o-2024-08-06,reply,"When Obama took over the republicans had run the economy in the ground, the banks had failed. Obama bailed them out. The automobile industry had failed Obama build them out. Donald Trump inherited a good economy.  from Obama, that's a fact.",9,2026-03-16 15:37:06,20260316_1530,1,No partisan name-calling or emotional exaggeration present.,1,No support for undemocratic practices or partisan name-calling.,1,No support for partisan violence or related language.,1,No support for undemocratic candidates or related language.,1,No opposition to bipartisanship or related language.,1,No social distrust or related language.,1,No social distance or related language.,2,Presents a partisan stance on economic facts favoring Obama.,A
42,21,gpt-4o-2024-08-06,reply,"When Obama took over the republicans had run the economy in the ground, the banks had failed. Obama bailed them out. The automobile industry had failed Obama build them out. Donald Trump inherited a good economy.  from Obama, that's a fact.",9,2026-03-16 15:37:12,20260316_1530,1,No partisan name-calling or emotional exaggeration present.,1,No support for undemocratic practices or partisan name-calling.,1,No support for partisan violence or name-calling.,1,No support for undemocratic candidates or name-calling.,1,No rejection of cross-party cooperation or emotional exaggeration.,1,No generalized interpersonal suspicion or emotional exaggeration.,1,No terms that increase distrust or emotional exaggeration.,2,"Presents political facts with a partisan stance, but no emotional exaggeration.",B
43,22,gpt-4o-2024-08-06,reply,@Acyn Is this the point where MAGA heads start exploding!!??,10,2026-03-16 15:37:20,20260316_1530,2,The tweet uses 'MAGA heads' which can be considered partisan name-calling.,1,There is no support for undemocratic practices or related factors.,1,There is no support for partisan violence or related factors.,1,There is no support for undemocratic candidates or related factors.,1,There is no opposition to bipartisanship or related factors.,1,There is no social distrust or related factors.,2,The term 'MAGA heads' increases social distance by using derogatory language.,1,There is no biased evaluation of politicized facts or related factors.,A
44,22,gpt-4o-2024-08-06,reply,@Acyn Is this the point where MAGA heads start exploding!!??,13,2026-03-16 15:37:26,20260316_1530,2,Emotion or exaggeration with 'MAGA heads start exploding'.,2,Emotion or exaggeration with 'MAGA heads start exploding'.,2,Emotion or exaggeration with 'MAGA heads start exploding'.,1,No support for undemocratic candidates or behavior.,1,No explicit rejection of cross-party cooperation.,2,Emotion or exaggeration with 'MAGA heads start exploding'.,2,Emotion or exaggeration with 'MAGA heads start exploding'.,1,No distortion of factual claims.,B
45,23,gpt-4o-2024-08-06,reply,"@four4thefire sometimes things really are as simple as ""we can dog walk the GOP in front of the entire country by filling both convention arenas at the same time""",9,2026-03-16 15:37:32,20260316_1530,2,The phrase 'dog walk the GOP' suggests emotion or exaggeration.,1,No support for undemocratic practices is evident.,1,No support for partisan violence is evident.,1,No support for undemocratic candidates is evident.,1,No opposition to bipartisanship is evident.,1,No social distrust is evident.,1,No social distance is evident.,1,No biased evaluation of politicized facts is evident.,A
46,23,gpt-4o-2024-08-06,reply,"@four4thefire sometimes things really are as simple as ""we can dog walk the GOP in front of the entire country by filling both convention arenas at the same time""",12,2026-03-16 15:37:38,20260316_1530,2,The phrase 'dog walk the GOP' suggests negative affect and emotion towards the opposing party.,2,The tweet uses emotion or exaggeration with 'dog walk the GOP' but does not endorse norm-violating conduct.,1,There is no support for partisan violence or aggression in the tweet.,1,There is no mention of support for authoritarian candidates.,2,The phrase 'dog walk the GOP' reduces trust and suggests unwillingness to cooperate.,2,"The language suggests emotion or exaggeration, reducing trust in the opposing party.",1,There is no explicit preference for limiting contact with the opposing party.,1,There is no distortion of factual claims or partisan stance on controversial issues.,B
