row_id,political_leaning,text,hashtags,post_type,like_count,date
31,republican,"#wtpBLUE                  #wtpGOTV24
#DemVocie1              #ProudBlue 
#MindYourOwnDamnBusiness 

Pat Ryan (D) NY- 18;

“Donald Trump is a disgrace to this nation. 
He doesn’t understand the meaning of service - sacrificing for your country . 
 
Instead after giving 12 Medals https://t.co/LuZhDTdM37","""[{'indices': [0, 8], 'text': 'wtpBLUE'}, {'indices': [26, 36], 'text': 'wtpGOTV24'}, {'indices': [37, 47], 'text': 'DemVocie1'}, {'indices': [61, 71], 'text': 'ProudBlue'}, {'indices': [73, 97], 'text': 'MindYourOwnDamnBusiness'}]""",tweet,104,2024-08-18
32,republican,"Every time he opens his mouth at these rallies and press conferences, he sounds kinda boring, and he looks small. Now, Harris &amp; Walz have stolen the show…They’re shrinking Trump down to the aging, confused, boring, rambling Donald Trump he really is.

 https://t.co/4ryRcfPCZw",[],tweet,608,2024-08-18
33,republican,"Ye got surrounded by Donald Trump supporters at a rally in Beverly Hills‼️👀
 https://t.co/YHpknoHXwL",[],tweet,270,2024-08-18
34,republican,Because the Trump campaign is not being run effectively. The GOP is sleepwalking to defeat unless they step it up big time!,[],quote,174,2024-08-09
35,republican,"‘What they want is a response from the Conservative Party. So that they can turn around and say “you’re pro-misogyny because you don’t support this”.’

Steven Barrett says Labour’s crackdown on extreme misogyny is ‘performative’ politics. https://t.co/1GoK92qICP",[],tweet,429,2024-08-18
36,republican,"What’s funny about this is that Donald Trump is currently using one of Jeffrey Epstein’s old private jets to campaign. 😂

You can’t make up this level of stupidity.",[],quote,1218,2024-08-18
37,republican,"Let's help this Patriot @MichaelRio89278 get to 1000.

MAGA UNITE NOW MORE THAN EVER https://t.co/9x1SasNcd9",[],tweet,170,2024-08-09
38,republican,"Algerian Olympic boxer Imane Khelif who has been the subject of relentless death threats and attacks from fascist MAGA Republicans over bigoted lies they spread about her is now officially an Olympic Gold medalist.

This is how you tell these assholes to go fuck themselves.",[],tweet,2364,2024-08-09
39,republican,"@maggieNYT Trump's fluffer, Ms. Habba, called to the task. She has lost every Trump case she has been involved in. It's not Trump's money that he is pissing away. The MAGA set don't get it.",[],reply,309,2024-08-09
40,republican,"Draft-dodging through falsified medical records became mere ""avoidance"" somewhere along the line apparently

Do we really no longer believe it is acceptable to call someone a (gleeful) ""draft dodger"" when it has been proven six ways from Sunday that Donald Trump was exactly that?",[],quote,226,2024-08-09
41,republican,"Look, @joerogan has done more to further conservative ideals than almost anyone. 

He’s raised awareness for the cause against child transition more than anyone I can think of with the arguable exception of @MattWalshBlog. Every time they speak on this issue my work gets a little",[],tweet,2026,2024-08-09
42,republican,"The RNC was an economic boon for Milwaukee. Ahead of the DNC, store owners in Chicago are boarding up their doors and windows.

Which way, America? https://t.co/3OuhfI7d8L",[],tweet,15597,2024-08-18
43,republican,"Honestly, if Heaven is full of MAGA Christians then I’m not interested. I don’t like those people now, the thought of eternity with them is hellish… ;)",[],tweet,388,2024-08-18
44,republican,"Donald Trump Followers Count

→ 𝕏: 87.9M
→ Truth Social: 7.5M

Don't you think he's missing out on reaching such a large audience by not posting on 𝕏? https://t.co/xVhfeMnfua",[],tweet,5423,2024-08-09
45,republican,Naoki Hyakuta talks about the betrayal of Shinzo Abe &amp; why he started the Conservative Party of Japan 🇯🇵 https://t.co/vVaJ7ldXYU,[],tweet,217,2024-08-18
46,republican,Adin Ross responds to Ninja hating on him after the Donald Trump stream https://t.co/onyleRbE4X,[],tweet,3024,2024-08-09
47,republican,@ChaoticLeftistW Nobody. She is still a staunch conservative who voted with trump administration 99% of the time and she doesn't support a women's right to choose.,[],reply,180,2024-08-18
48,republican,"LOL….zero intellectual consistency. The @GOP marched around with napkins taped to their ears watching Hulk Hogan rip off his t-shirt and Kid Rock was a featured entertainer. 

And the rubes will nod along with this stupidity. https://t.co/RyIYAzG9c8",[],tweet,151,2024-08-18
49,republican,"@MuellerSheWrote I  don't get why most of media is trying to convince us that trump is normal.  It's as if their aim is to please only the 1/3 of the country, which is maga.",[],reply,145,2024-08-18
50,republican,"I disagree with Dems on a number of policy fronts, but I disagree with the MAGA-fied GOP on just as many. Throw in the refusal to engage in the peaceful transfer of power and Trump’s unprecedented moral depravity—and the GOP’s capitulation to it—and it’s not a close contest.",[],reply,1526,2024-08-18
51,republican,"“As anyone watching the two national campaigns may have gleaned of late, Pierre Poilievre isn’t Canada’s Donald Trump. He’s our JD Vance.”",[],quote,170,2024-08-18
52,republican,"Looks like Trump is making inroads in deep-blue Memphis! We need a new shipment of MAGA gear! Very generous of you, @benpdeeter and @Mighty990KWAM  @kleavittnh @JasonMillerinDC  @margommartin",[],quote,327,2024-08-18
53,republican,"@IngrahamAngle Yah how about that RNC circus -- complete with OnlyFans porn stars, fake wrestlers, indicted criminals and rappers awaiting indictment for murder?

Talk about a rock concert! Only just more corrupt.

Laura how do you even have the hutzpah to even make a post like this? Do you",[],reply,642,2024-08-18
54,republican,"At this point, Tim Walz has bigger crowds than Donald Trump. https://t.co/3EqQGZUj24",[],tweet,35997,2024-08-18
55,republican,"The deadline passed and DeSantis did not listen, rejecting $250M in federal aid and stripping our kids of $120 each in Summer SUN bucks for the second year in a row. The GOP continues to starve our state of decency and solutions https://t.co/7xaQWoQ6hJ",[],tweet,162,2024-08-18
56,republican,"@SteveScaliseGOP I would if that’s all it was! Its really an offer to contribute, with what? All of this in America, has been politically manufactured. Maybe if the GOP would have supported President Trump when he was president, most of this country would be in a better situation. Supporting",[],reply,124,2024-08-18
57,republican,"FIRST ON ABC: While VP candidate Tim Walz faces GOP criticism for his response to the George Floyd riots, the brother of Floyd himself says he's supporting the Minnesota governor. https://t.co/GY45JgVhx2 https://t.co/p5nrTtCU3C",[],tweet,238,2024-08-09
58,republican,"Today's edition of Conservative Homoerotica 

Courtesy of @justifiableWTF https://t.co/5jiyLnBlug",[],tweet,129,2024-08-18
59,republican,"Say a prayer to protect Donald Trump and all of the MAGA Patriots in Montana for Trump’s Rally 

Democrats will stop at nothing to keep Donald Trump from winning 🙏",[],tweet,1222,2024-08-09
60,republican,"The current state of the Trump campaign 

This is your ""MAGA"" movement https://t.co/1xmJCpd6pq",[],tweet,152,2024-08-18
61,republican,"🚨🚨 

Don Lemon gets a huge dose of reality. 

Trump is the right choice for America!

#Trump2024 #TrumpVance2024 #PatriotsUnite #FKH #Kamumism https://t.co/w1XXZQ5WGz","""[{'indices': [86, 96], 'text': 'Trump2024'}, {'indices': [97, 112], 'text': 'TrumpVance2024'}, {'indices': [113, 127], 'text': 'PatriotsUnite'}, {'indices': [128, 132], 'text': 'FKH'}, {'indices': [133, 142], 'text': 'Kamumism'}]""",tweet,0,2024-08-18
62,republican,@devery_mccain Great movie to bad he maga’d up I’ll never watch another one of his movies EVER,[],reply,4,2024-08-09
63,republican,@RonFilipkowski Real tired of GOP lies.,[],reply,8,2024-08-18
64,republican,MAGA - Walz gave kids free school lunches. Deal with it weirdos.,[],tweet,0,2024-08-18
65,republican,@joesnyd72241318 @darthgolbach @LivingInCA @CWBOCA Yeah? Doing business in China is not illegal. Look at some of those MAGA hats. Some say made in China. That doesn’t mean they are “in the pockets” of the Chinese. Trump has done business with China and said it openly. But you made the claim where is your evidence?,[],reply,0,2024-08-09
66,republican,'They're gonna make fun of that!' Frustrated Jim Jordan defends 'not weird' J.D. Vance https://t.co/TaAOdVajed. MAGA is “WEIRD” and Gym Jordan is a “ WEIRDO!”,[],tweet,0,2024-08-18
67,republican,MAGA realizing the GOP also wants Kamala to win. https://t.co/Fukumh2S6d,[],tweet,0,2024-08-09
68,republican,The streets are talking🗣️#Republican2024 #toobigtorig #StoplyingassKamalaHarris #voteforchange2024 #REDWAVE #MAGA #secureourboaders #votered #TrumpVance2024 https://t.co/22vBQ54E8S,"""[{'indices': [25, 40], 'text': 'Republican2024'}, {'indices': [41, 53], 'text': 'toobigtorig'}, {'indices': [54, 79], 'text': 'StoplyingassKamalaHarris'}, {'indices': [80, 98], 'text': 'voteforchange2024'}, {'indices': [99, 107], 'text': 'REDWAVE'}, {'indices': [108, 113], 'text': 'MAGA'}, {'indices': [114, 131], 'text': 'secureourboaders'}, {'indices': [132, 140], 'text': 'votered'}, {'indices': [141, 156], 'text': 'TrumpVance2024'}]""",tweet,1,2024-08-09
69,republican,@huoyuanjia @PPC4Liberty @AFpost have you considered that trump and the maga movement are not really conservative,[],reply,2,2024-08-09
70,republican,@Bulldog_06_2003 Maga  need to be punish if she wins,[],reply,4,2024-08-09
71,republican,"@adamfellifritt @DanielMillerEsq Youve described MAGA, you birdbrain.",[],reply,9,2024-08-18
72,republican,"@EMNODAERTTONOD @RossGilroy @hellosf77 @OsingaPeter @zypisfy @America1Eagle1 @TreatHunterDog @SecularSmurf @56tweets4 @Jetson77 @L331024 @memequeenkimmy @UndeC08 @kali8989 @NatashaForTrump @PrincessMomoka2 @edielizzard1 @repubsPostsOnX @EducatingTrump2 @The_Real_BiM @AdorablePodcast @oussamazaidi6 @troypallotto @petewoodward0 @terrymbs2 @scottstocker4 @Godfly__ @AnnoyedTaurus @AdamTarver6 @OnlyaMoment3 @NewfMom29 @ReganLieutenant @IZMKS44 @justasimplema20 @BettyBoop8209 @Woody4123 @BuckSatanLives @Missy10013Kathy @cherylhart00 @carolyn_from @TastyMorsel6 @mccuan_lois @Sofie_Z1 @Theresa51332 @MsPeabiddy @bubba6186422393 @GnosticMessiah @lucy_neuwirth @BobBComedy @ThereseOSulliv2 Nobody waited in line for that
Do you realize how stupid that sounds?",[],reply,2,2024-08-18
73,republican,"Yes, you’re sad because these two put country above party and tried to show the world that the gop cares only for the party, and not the people.  You feel betrayed because your party is decaying, demeaning and #deplorable.","""[{'indices': [210, 221], 'text': 'deplorable'}]""",quote,0,2024-08-18
74,republican,"@RonFilipkowski That’s just one more thing JD most likely pissed off Donald Trump with, Jeffrey was Trump’s best friend (in many ways he probably really misses him) and Trump is using Jeffrey plane. 🤣🤣 Trump and Jeffrey bro love runs so deep that JD can’t even comprehend.",[],reply,3,2024-08-18
75,republican,@BenZeisloft dude. quit hating. them being in a bikini isnt nothing. i see you judge harshly. conservative is about being reserved. its ok to flaunt somwtimes.,[],reply,0,2024-08-18
76,republican,@SilverARTicfox Is there another type of MAGA?,[],reply,1,2024-08-18
77,republican,"@SenatorTimScott Thank you...this means we can vote against Donald Trump this year and, hopefully,  return us to sanity and truth.....again.",[],reply,1,2024-08-18
78,republican,"@Jim_Jordan @GovRonDeSantis 4/Now let’s address my favorite Lie Trump &amp; @GOP love to tell

I’m talking about who DID Defund the Police

A reminder to IGNORE what they SAY, WATCH WHAT THEY DO

From day/year 1 of the Trump Shit Show Presidency through the last he Defunded Police! https://t.co/s6R8bZUgmC",[],reply,0,2024-08-09
79,republican,"It's going to be so uplifting and amazing!!! 💙💙💙 I'm so ready for positivity, unlike the RNC, that degraded our country, and the American people.",[],quote,1,2024-08-18
80,republican,@RpsAgainstTrump Seriously? Donald Trump is without a doubt the king of all narcissists. It would be hilarious if it was not so sad. Maybe a sentence in a mental institution would be more appropriate than prison.,[],reply,0,2024-08-18
81,republican,"In Florida, a fake voter guide spurs accusations of dirty tricks

The bogus voter guide appeared just before the GOP primary in St. John's County.

GRRRRRR.... evil people afoot! 
https://t.co/tZffV8bCTJ",[],tweet,0,2024-08-18
82,republican,@ChuckCallesto @Fr3D0M_1776 We could turn California red again if the GOP would quit writing us off. It takes time and money to make that change.,[],reply,0,2024-08-18
83,republican,MAGA is so weird.  And lame.,[],quote,0,2024-08-09
84,republican,"not sure what advice these guys could give other than ""let the gop run the country into the ground for 14 years"" and ""cook up some kind of far right opposition that can win 15% of the vote""",[],quote,36,2024-08-18
85,republican,@fedmech @cspanwj I didn’t say the GOP. I said MAGA. So now who is lying?,[],reply,0,2024-08-18
86,republican,@Justin_Young__1 @AZ_Sycamore @RBReich The only people pushing cheap slave labor is the GOP.,[],reply,1,2024-08-18
87,republican,"@TrueFactsStated Really GOP?
This is the best you’ve got??",[],reply,0,2024-08-18
88,republican,@emmaikumeh But you know RNC can and will never win NJ na bro 🤣🤣🤣,[],reply,1,2024-08-18
89,republican,"Look, maga and Fox News, the future president wears sneakers.  But not any sneakers, MF chucks!  🥰",[],quote,3,2024-08-18
90,republican,"MAGA fuckkks don’t deserve any respect. 

They have zero love for their country when their goal is to eliminate freedoms for some.",[],tweet,1,2024-08-09
91,republican,This is so conservative 🙄 https://t.co/F4pGZSTzNT,[],tweet,11,2024-08-18
92,republican,@BehizyTweets You guys are so sad lol can’t wait till he loses in November and MAGA disappears forever even the republicans can’t stand you.,[],reply,0,2024-08-18
93,republican,@goingtogetugly @johnsemley3000 Damn.  You got me.  I concede.  You are absolutely correct. Canada needs MAGA.,[],reply,0,2024-08-18
94,republican,"@TimRunsHisMouth Little Timmy wants to turn you into a clone of Donald trump, and worse yet, himself. Timmy Pinocchio loves to lie and this is just another one. If I was his dad I would put him over my knee and spank the shit out of him for being a cowardly little liar.",[],reply,0,2024-08-18
95,republican,"@GodfatherGSCS @thejackhopkins Check out how gop project 2025/agenda47/heritage foundation’s plagiarism of Nazi playbook intends to do with veterans,disabled veterans,etc. you certainly do not have your fellow vet’s 6.And you endorse espionage against our nation.",[],reply,0,2024-08-18
96,republican,UN-FUCKING-BELIEVABLE @TheKuhnerReport @dbongino #Trump2024 #TrumpVance2024 #Trump2024NowMoreThanEVER,"""[{'indices': [49, 59], 'text': 'Trump2024'}, {'indices': [60, 75], 'text': 'TrumpVance2024'}, {'indices': [76, 101], 'text': 'Trump2024NowMoreThanEVER'}]""",quote,0,2024-08-09
97,republican,@GOP ewww what lies from the racist party!!,[],reply,0,2024-08-18
98,republican,@AnomolousPolicy @JenkinsBrevard Then in 4 or 5 years the GOP will repeal this and try to take credit for fixing the problem again.,[],reply,0,2024-08-18
99,republican,@ImMeme0 Truth: #MAGA #Trump2024 https://t.co/NfIGiInDB1,"""[{'indices': [16, 21], 'text': 'MAGA'}, {'indices': [22, 32], 'text': 'Trump2024'}]""",reply,21,2024-08-18
100,republican,"In 2020, these Nigerian Trump Patriots held a massive rally for DONALD TRUMP, we hear that this next month they intend to hold a much bigger rally in support of Donald Trump. #Trump24 #UgandansForTrump #AfricansForTrump","""[{'indices': [175, 183], 'text': 'Trump24'}, {'indices': [184, 201], 'text': 'UgandansForTrump'}, {'indices': [202, 219], 'text': 'AfricansForTrump'}]""",quote,1,2024-08-18
101,republican,"@D4RLENEHAZE @Acyn A version was used and there’s no direct link. But you know that but hate that Trump appeals to the middle class. 

It’s not recycled, MAGA wants to put ALL Americans first, offer a hand up to everyone, and help all boats rise with the tide. 

#TrumpVance2024ToSaveAmerica","""[{'indices': [263, 291], 'text': 'TrumpVance2024ToSaveAmerica'}]""",reply,0,2024-08-09
102,republican,@djrothkopf @Rachel__Wales Holy shit!  Another's eyes have finally opened to the conservative narrative.,[],reply,1,2024-08-18
103,republican,@lizs_laine Don’t trust maga cult republicans. https://t.co/94uPKUyJQp,[],reply,0,2024-08-09
104,republican,@BlueEyes6419 @CoffeyTimeNews MAGA can read?,[],reply,6,2024-08-18
105,republican,"@emnode @ArmandDoma I have similar concerns about her housing subsidy promise. My hope is that she can back out of it by blaming Congress for obstructing.

That said, the best case scenario for her economic policy is to assume she is lying. I don't like that, but the GOP isn't giving us a choice.",[],reply,1,2024-08-18
106,republican,"@MARJORI17270481 @GOP Trump is a Convicted Felon
...which is a criminal

But an undocumented immigrant who is not convicted of a crime is not a criminal
...like Trump is https://t.co/lEmYwS97Hx",[],reply,0,2024-08-09
107,republican,"@TheLeoTerrell I pray for a landslide, but the RNC and Republican apathy has cost us too many elections already. Americans (Republicans) we need to stay energized and active. Democrats will do ""ANYTHING AND EVERYTHING"" legal and illegal to stay in power. BE VIGILANT",[],reply,0,2024-08-18
108,republican,"@Timcast I’m going to say this again as nicely as possible. Some of these guys are not MAGA! They’re right wing FACL!!! Antifa of the right. Just like the left but they are not MAGA. They pretend 2b supporters but are obstructionist, trained in doing so! Attack me all u want. I’m right.",[],reply,0,2024-08-09
109,republican,@EdKrassen That bump is because of Trump. MAGA Economics 101 when the market is doing good it’s cause of Trump when it’s going bad it’s cause of Kamala.,[],reply,0,2024-08-09
110,republican,"@akafacehots BREAKING: The GOP.

Where do you come up with this pathetic, desperate nonsense?  🤡",[],reply,0,2024-08-18
111,republican,"@Meiso03148790 @kamilkazani ""... extreme ... common colloquial..."" weasel words to hide the truth: you are prattling propaganda  fed into the zombie maga ""movement"" (read cult) by hostile intelligence agencies.  You are a parrot of active measures propaganda and it seems don't even realise it.",[],reply,0,2024-08-18
112,republican,@Fernand46357857 Yeah the don't let facts get in their way #maga,"""[{'indices': [59, 64], 'text': 'maga'}]""",reply,0,2024-08-18
113,republican,"MAGA...demented...
SICK asshole...
CHECK this guy's...PLATE...run it...
probably CONNECTED...
...to some unsolved cases...!!!",[],quote,0,2024-08-18
114,republican,"https://t.co/6SKCiys79q ,Melania,Assange,Mar-a-Lago,Seal Team Six,Fauci,Pfizer,Maga,Rumble, X, twitter,Yahoo,Youtube,Google,TIKTOK,Trump,Biden, Newsome,Reagan,Obama, Bush,Clinton,ISIS,CDC,FBI,CIA,Abc,Cbs,Nbc,CNN,BBC,TIME, NASA,SCOTUS,",[],tweet,1,2024-08-18
115,republican,"@NotK_US @billjones3339 @StolenValor1 Any man of any amount of honor would not lie that blatantly. That’s why he hasn’t said it. He doesn’t have much honor, but at least he has that much. His following has already spilled the beans on him. This is a dem shill account followed by dem shills. At least MAGA owns theirs",[],reply,1,2024-08-09
116,republican,@newsobserver Robinson speaks with forked tongue. Look at the evil in his eyes. He is playing to the worst instincts in the GOP and can't keep his lies straight. NC deserves better.,[],reply,0,2024-08-18
117,republican,"Eyre writes that David Cameron visited South Africa in 1989 accompanied by Conservative MP, Sir Kenneth Warren, and nuclear weapons inspector, Dr David Kelly.",[],reply,0,2024-08-09
118,republican,@BillBuck07 @Vincinnatus @CGasparino He beat DeSantis because MAGA is a cult of personality that has captured at least 40% of the GOP base.,[],reply,3,2024-08-18
119,republican,@CarmineSabia So wtf is Donald Trump,[],reply,0,2024-08-09
120,republican,"@Tamzilla_52 Yes, but

1) According to Jesse Watters, Donald Trump has that ""sizzle""

2) According to Dana Perino, Tim Scott has a big schlong and isn't gay.

3) ""Heels"" and ""pudding cups"" or something.",[],reply,8,2024-08-09
121,republican,@Kiki46053425510 @JoJoFromJerz MAGA don’t understand social sciences or social sciences research.,[],reply,0,2024-08-09
122,republican,"I've been trying to tell the MAGA people that brainwashed. They'll see this and be like ... naaahh uuuhhhhhh.... 

They call people sheep, when THEY the real sheep. It's been this way the entire time!",[],quote,0,2024-08-18
123,republican,"@MarioNawfal What Graham really means is, “if Trump doesn’t stop with the mean tweets and personal attacks on the reprobate Democratic un-nominee, then we the old state GOP won’t fight against the corrupt fraud that cost him the 2020 election.”",[],reply,0,2024-08-18
124,republican,"Mitch McConnell Is Keeping The Senate Rule That Lets Dems Block Trump''s Judges. The GOP leader may not personally be a fan of blue slips, but he''s not getting rid of them, says his spokesman. #BlueSlips #MitchMcConnell","""[{'indices': [194, 204], 'text': 'BlueSlips'}, {'indices': [205, 220], 'text': 'MitchMcConnell'}]""",tweet,0,2024-08-18
125,republican,@tap3000 @drboycewatkins1 You are being disingenuous. You know there are never conservative viewpoints on “black radio” until Sunday morning. Then they stop at noon.,[],reply,0,2024-08-18
126,republican,@StaceyCKs1 Shame on MAGA cult voters.,[],reply,0,2024-08-18
127,republican,"@GOP Blue Wave coming to wash the orange turd down the toilet! 

TRUMP FOR PRISON 2024",[],reply,0,2024-08-09
128,republican,"@JohnBoyThinks @kcmsinned @JoyVBehar People on opposing parties haven't always hated each other.  She could enjoy him, even if he wasn't a Democrat.  It wasn't until recently that Donald Trump and the GOP turned psychotic and unbearable.  Enjoy your wanna-be dictator felon 🖕 https://t.co/P7jVYjkocG",[],reply,0,2024-08-18
129,republican,"@InsidePolitics #InsidePolitics All Governor Walz has to say is “ I didn’t say Donald Trump is a monster and America’s Hitler. You did, Senator Vance, but you know what? You’re right. And that’s one of the few things you and I agree on.”","""[{'indices': [16, 31], 'text': 'InsidePolitics'}]""",reply,0,2024-08-18
130,republican,"@BoLoudon So where is all the MAGA MERCH?  He should get a good crowd, it is a red state!",[],reply,0,2024-08-09
131,republican,"@thehill Gov. Whitmer is just being nice. 

We all know that ""people"" = maga and ""reading too much into price gouging plan specifics"" = maga melodrama with their partisan pearl clutching. 😉 https://t.co/LxhSkswstr",[],reply,0,2024-08-18
132,republican,"@AmericaPapaBear @krassenstein Lol maga are such snowflakes 🤣
It’s not like he said the election was stolen and kept repeating the lie even after 65 court cases said otherwise. Suck it up 🤡 https://t.co/I8f1YO7lkn",[],reply,0,2024-08-09
133,republican,@cleination revolt by becoming a conservative,[],reply,3,2024-08-18
134,republican,"@JuliaSeymour58 @maddenifico @GOP Frankly I don't give a darn what you believe, I've been following Trump's career for a very long time, you get to know people that way, again I didn't get my information about him from biased outlet sound bites",[],reply,0,2024-08-18
135,republican,@NutshellsGuy @caroljsroth Google AI... not exactly conservative https://t.co/ceSkwPjfsc,[],reply,0,2024-08-09
136,republican,"@_Just_Vibes_ @MAVS_MW @narrative_hole Bro…crime is at its lowest number in decades. Vets are struggling? Yeah…that’s on @realDonaldTrump same with the border. Same with Afghanistan. Same with the screwed up Covid response. 

JFC, you MAGA have an innate ability to not actually research anything other than @FoxNews",[],reply,1,2024-08-18
137,republican,"@Lynnebf_2846 Still same Old Guard in control of the party, while the RNC has new kids on the block running the party. Most Old Guards of the party have been given the back seat or sent to the DNC.",[],reply,0,2024-08-18
138,republican,GOP/MAGA/TRUMP=Lying Liars! All of them. They always LIE! They just do. They LIE,[],quote,4,2024-08-18
