Variable,Model_A,Model_B,Krippendorff_alpha
V3,GPT-4o,DeepSeek-V3,0.2023
V3,GPT-4o,GPT-4o-mini,0.4178
V3,GPT-4o,Llama-3.3-70B,0.3586
V3,GPT-4o,Mistral-7B,0.4757
V3,GPT-4o,Llama-3.2-3B,-0.0616
V3,claude-haiku-4-5,DeepSeek-V3,0.5685
V3,claude-haiku-4-5,GPT-4o-mini,0.2096
V3,claude-haiku-4-5,Llama-3.3-70B,0.3195
V3,claude-haiku-4-5,Mistral-7B,0.2901
V3,claude-haiku-4-5,Llama-3.2-3B,-0.2552
V3,DeepSeek-V3,GPT-4o-mini,0.1383
V3,DeepSeek-V3,Llama-3.3-70B,0.3536
V3,DeepSeek-V3,Mistral-7B,0.3195
V3,DeepSeek-V3,Llama-3.2-3B,-0.2688
V3,GPT-4o-mini,Llama-3.3-70B,0.4589
V3,GPT-4o-mini,Mistral-7B,0.4448
V3,GPT-4o-mini,Llama-3.2-3B,-0.0304
V3,Llama-3.3-70B,Mistral-7B,0.821
V3,Llama-3.3-70B,Llama-3.2-3B,-0.1938
V3,Mistral-7B,Llama-3.2-3B,-0.1748
V4,GPT-4o,claude-haiku-4-5,-0.019
V4,GPT-4o,DeepSeek-V3,0.1503
V4,GPT-4o,GPT-4o-mini,0.2102
V4,GPT-4o,Llama-3.3-70B,0.1585
V4,GPT-4o,Mistral-7B,0.1508
V4,GPT-4o,Llama-3.2-3B,-0.2138
V4,claude-haiku-4-5,DeepSeek-V3,0.241
V4,claude-haiku-4-5,GPT-4o-mini,0.0306
V4,claude-haiku-4-5,Llama-3.3-70B,0.0167
V4,claude-haiku-4-5,Mistral-7B,0.0119
V4,claude-haiku-4-5,Llama-3.2-3B,-0.2758
V4,DeepSeek-V3,GPT-4o-mini,0.0306
V4,DeepSeek-V3,Llama-3.3-70B,0.0203
V4,DeepSeek-V3,Mistral-7B,0.0574
V4,DeepSeek-V3,Llama-3.2-3B,-0.2555
V4,GPT-4o-mini,Llama-3.3-70B,0.2651
V4,GPT-4o-mini,Mistral-7B,0.2896
V4,GPT-4o-mini,Llama-3.2-3B,0.0939
V4,Llama-3.3-70B,Mistral-7B,0.8958
V4,Llama-3.3-70B,Llama-3.2-3B,0.0363
V4,Mistral-7B,Llama-3.2-3B,0.0603
V5,GPT-4o,claude-haiku-4-5,0.3557
V5,GPT-4o,DeepSeek-V3,0.7391
V5,GPT-4o,GPT-4o-mini,0.6849
V5,GPT-4o,Llama-3.3-70B,0.7116
V5,GPT-4o,Mistral-7B,0.6771
V5,GPT-4o,Llama-3.2-3B,0.5785
V5,claude-haiku-4-5,DeepSeek-V3,0.4088
V5,claude-haiku-4-5,GPT-4o-mini,0.2675
V5,claude-haiku-4-5,Llama-3.3-70B,0.4705
V5,claude-haiku-4-5,Mistral-7B,0.4488
V5,claude-haiku-4-5,Llama-3.2-3B,0.1094
V5,DeepSeek-V3,GPT-4o-mini,0.6936
V5,DeepSeek-V3,Llama-3.3-70B,0.6864
V5,DeepSeek-V3,Mistral-7B,0.6891
V5,DeepSeek-V3,Llama-3.2-3B,0.5626
V5,GPT-4o-mini,Llama-3.3-70B,0.6879
V5,GPT-4o-mini,Mistral-7B,0.6616
V5,GPT-4o-mini,Llama-3.2-3B,0.641
V5,Llama-3.3-70B,Mistral-7B,0.8831
V5,Llama-3.3-70B,Llama-3.2-3B,0.5281
V5,Mistral-7B,Llama-3.2-3B,0.5567
V6,GPT-4o,claude-haiku-4-5,0.0429
V6,GPT-4o,DeepSeek-V3,0.3417
V6,GPT-4o,GPT-4o-mini,0.5646
V6,GPT-4o,Llama-3.3-70B,0.7496
V6,GPT-4o,Mistral-7B,0.7306
V6,GPT-4o,Llama-3.2-3B,0.5923
V6,claude-haiku-4-5,DeepSeek-V3,0.2923
V6,claude-haiku-4-5,GPT-4o-mini,0.2224
V6,claude-haiku-4-5,Llama-3.3-70B,0.0442
V6,claude-haiku-4-5,Mistral-7B,0.0557
V6,claude-haiku-4-5,Llama-3.2-3B,-0.0875
V6,DeepSeek-V3,GPT-4o-mini,0.4751
V6,DeepSeek-V3,Llama-3.3-70B,0.3849
V6,DeepSeek-V3,Mistral-7B,0.3795
V6,DeepSeek-V3,Llama-3.2-3B,0.1824
V6,GPT-4o-mini,Llama-3.3-70B,0.6303
V6,GPT-4o-mini,Mistral-7B,0.6635
V6,GPT-4o-mini,Llama-3.2-3B,0.4285
V6,Llama-3.3-70B,Mistral-7B,0.9229
V6,Llama-3.3-70B,Llama-3.2-3B,0.6092
V6,Mistral-7B,Llama-3.2-3B,0.6056
V7,GPT-4o,claude-haiku-4-5,0.4607
V7,GPT-4o,DeepSeek-V3,0.56
V7,GPT-4o,GPT-4o-mini,0.6943
V7,GPT-4o,Llama-3.3-70B,0.7382
V7,GPT-4o,Mistral-7B,0.7186
V7,GPT-4o,Llama-3.2-3B,0.4886
V7,claude-haiku-4-5,DeepSeek-V3,0.6235
V7,claude-haiku-4-5,GPT-4o-mini,0.3496
V7,claude-haiku-4-5,Llama-3.3-70B,0.3246
V7,claude-haiku-4-5,Mistral-7B,0.3401
V7,claude-haiku-4-5,Llama-3.2-3B,0.2624
V7,DeepSeek-V3,GPT-4o-mini,0.4768
V7,DeepSeek-V3,Llama-3.3-70B,0.4606
V7,DeepSeek-V3,Mistral-7B,0.4925
V7,DeepSeek-V3,Llama-3.2-3B,0.3623
V7,GPT-4o-mini,Llama-3.3-70B,0.7358
V7,GPT-4o-mini,Mistral-7B,0.7265
V7,GPT-4o-mini,Llama-3.2-3B,0.6079
V7,Llama-3.3-70B,Mistral-7B,0.8836
V7,Llama-3.3-70B,Llama-3.2-3B,0.5844
V7,Mistral-7B,Llama-3.2-3B,0.5838
V8,GPT-4o,claude-haiku-4-5,0.6433
V8,GPT-4o,DeepSeek-V3,0.5003
V8,GPT-4o,GPT-4o-mini,0.6321
V8,GPT-4o,Llama-3.3-70B,0.3464
V8,GPT-4o,Mistral-7B,0.3755
V8,GPT-4o,Llama-3.2-3B,0.4507
V8,claude-haiku-4-5,DeepSeek-V3,0.6695
V8,claude-haiku-4-5,GPT-4o-mini,0.6821
V8,claude-haiku-4-5,Llama-3.3-70B,0.5416
V8,claude-haiku-4-5,Mistral-7B,0.5509
V8,claude-haiku-4-5,Llama-3.2-3B,0.5565
V8,DeepSeek-V3,GPT-4o-mini,0.6735
V8,DeepSeek-V3,Llama-3.3-70B,0.5462
V8,DeepSeek-V3,Mistral-7B,0.5592
V8,DeepSeek-V3,Llama-3.2-3B,0.5198
V8,GPT-4o-mini,Llama-3.3-70B,0.4516
V8,GPT-4o-mini,Mistral-7B,0.4716
V8,GPT-4o-mini,Llama-3.2-3B,0.5834
V8,Llama-3.3-70B,Mistral-7B,0.9164
V8,Llama-3.3-70B,Llama-3.2-3B,0.6073
V8,Mistral-7B,Llama-3.2-3B,0.5925
