Annotation_Id,row_id,post_type,text,V1,V2,V3,V4,V5,V6,V7,V8,total_score,reason,date,annotation_session,
59,59,reply,"@RpsAgainstTrump @seatedinperil My favorite was #26, truly gives the perspective of the enormity at stake https://t.co/SWG4a73VUf",1,1,1,1,1,1,1,1,8,No AAPA language used,19/02/2026,1,
60,60,reply,"@GuntherEagleman it started cause the white man didn't like seeing a black man become commander in chief. it's how we get to project 2025, Trump puppet wants to implement..    but gop Maga supporting an old weak man who yells on X and rambles wil be disappointed just like his loss in 2020.",3,1,1,1,1,1,1,1,10,Clear animosity to Rep. party and supporters,19/02/2026,1,
61,61,reply,@akafacehots Yeah Yeah yeah and Hillary’s emails…  MAGA  ploys  are  so predictable and  stale.,2,1,1,1,1,1,1,1,9,Clear animosity to MAGA,19/02/2026,1,
62,62,reply,"@RonFilipkowski That's more than weird, that's a threat. Can you even imagine a time before MAGA where someone would drive down the road with something like that on their vehicle? 

Trump and his followers have changed America for the worse.",3,1,1,1,1,2,1,1,11,Clear animosity to MAGA and distrust in them,19/02/2026,1,
63,63,reply,@JaniceTibbetts1 @quadcarl_carl @patriotmary4 @realDonaldTrump I did Google it and Yahoo Finance tells a completely different story. It states Trump will leave it unchanged and the retirement age will not be changed either. Nikki Haley had proposed that.,1,1,1,1,1,1,1,1,8,No AAPA language used,19/02/2026,1,
64,64,reply,"@pr0ud_americans @NowPammsy Nooooooo!!!  Then I won’t be able to wear my 45,47 SHIRT!!  lol😅😂because then Trump will be 45,48!!!",1,1,1,1,1,1,1,1,8,No AAPA language used,19/02/2026,1,
65,65,reply,"@deanteamscene @DocNetyoutube Regardless, it says if Merchan denies the motion for dismissal, Trump has a right to file an interlocutory appeal immediately to SCOTUS… they won’t appreciate a lower court trying to say, “well, we only used a sliver of Presidential immunity activities to prosecute Trump”.

😉👍🏻",1,1,1,1,1,1,1,1,8,No AAPA language used,19/02/2026,1,
66,66,reply,@DefiantLs If she gets a Donald Trump trial that’s fixed and corrupt she’ll probably get awarded $50 billion. if she gets an actual real trial will find out that she has an XY chromosome and other juicy details that will damage her reputation and possibly lose her gold medal,,,,,,,,,0,,19/02/2026,1,
67,67,reply,@RonFilipkowski When republicans screw up they sue like all losers. They rarely win and usually cry in the media first.,3,1,1,1,1,1,1,1,10,Clear animosity to Republicans,19/02/2026,1,
68,68,reply,@_johnnymaga Forced enthusiasm,1,1,1,1,1,1,1,1,8,Neutral comment,19/02/2026,1,
69,69,reply,"@ChrisDJackson @JohnJoh10388787 @POTUS @JoeBiden Trump was a great President! We need four more years of low interest rates, affordable food and gas prices, and no wars. A very likeable, badarse, and seasoned business man. Love Trump! MAGA’s very best to you! Trump to bring America out of the ashes. 🇺🇸❤️🔥✝️🙏👏🇺🇸",1,1,1,1,1,1,1,1,8,"Pro-Trump tweet, very partisan but no AAPA lanugae used",19/02/2026,1,
70,70,reply,"@90sLoverMissIt MAGA hates conservatives. I’ve lost count of the number of Trump supporters who believe that DeSantis is a fascist, far-right extremist, authoritarian, or anti-women.",2,1,1,11,1,1,1,1,19,"There is language that would detected partisan animosity but it also seems to come from the same party, none the less exxaggerated language used",19/02/2026,1,
71,71,reply,"@krassenstein @PKurzin ""Shit Pivots"" as they say in the tech world. If the GOP was blindsided by the fact that a 80-year-old guy may drop (or worse)out of a presidential race why the hell would we put them in charge of the nuclear triad? ""I was caught unawares"" -not the right answer from a president.",2,1,1,1,1,1,1,1,9,Animosity detected ,19/02/2026,1,
72,72,reply,"@SicCoP1 This is exactly how they get simplistic and naive people. They make you think its a simple transparency issue, meanwhile you have no clue who or what you re really supporting, and what will happen. It's like 'Save the Children"" of maga trolls, who wouldn't want to save them! 🙄",3,1,1,1,1,2,1,1,11,"Attack on voters of the opposition, calling them ‘simplistic and naive’ no explicit anti-democratic advocacy but skepticism against other other partisans is clear",19/02/2026,1,
73,73,reply,@TheRichFromCali If we had an AG Donald Trump would be  going to jail.,2,1,1,1,1,1,1,2,10,Speculative phrase on Trumps legal standing. Negative tone.,19/02/2026,1,
74,74,reply,"@GOP Why debate when you are in the lead.
Just ask Trump....",2,1,1,1,1,1,1,1,9,Mocking tone “Just ask Trump…”,19/02/2026,1,
75,75,reply,@realJennaEllis MAGA hates you. We hate you. Just go away.,3,1,2,1,2,2,2,1,14,Emotional and aggresive language towards a MAGA oppositition user.,19/02/2026,1,
76,76,quote,"@emilthrockmore @MikeSington Here are multiple angles and videos MAGA 🤡🤡🤡's:

https://t.co/EykCo3fvZI",2,1,1,1,1,1,1,1,9,Name calling of opposition “MAGA clowns”.,19/02/2026,1,
77,77,reply,"@Socket1Sophie Did a news feature back in the 80s when there was the switch from DHSS to Housing Benefit. 
We had a property company and met the Conservative Minister in Parliament to try and sort the shambles.",2,1,1,1,1,1,1,1,9,"No explicit anti-democratic advocacy or attacks on opponents. But is referring to some state of affairs as a “shambles”, context not super clear but seems more like a comment than an attack.",19/02/2026,1,
78,78,reply,"@elonmusk @AutismCapital After the assassination attempt I did a Google search. 

Could not find a conservative outlet but I found two or three links to Al Jazeera...

Been using Duck-Duck-Go a little more since then",2,1,1,1,1,2,1,1,10,Distrust towards media outlets,19/02/2026,1,
79,79,reply,@atensnut No that's what they performed on Donald Trump after his fifth scourge child,2,2,1,1,1,1,1,2,11,Using strong language “scourge child” ,19/02/2026,1,
80,80,reply,@realLizUSA Holy crap. The RNC actually did something in support of election integrity. This is a first.,1,1,1,1,1,2,1,1,9,Disbelief at RNC indicating some social distrust in this institution. ,19/02/2026,1,
81,81,tweet,Abortion  is already illegal in 1/3 of states because of Donald Trump. We can’t let the GOP fill any more seats until Trump is history ... https://t.co/yU3j0UvzuU via @YouTube,2,1,1,1,2,1,1,1,10,Anti partisan tone to republicans due to anti-abortion policies,19/02/2026,1,
82,82,quote,The DNC Convention is helping Trump 😂🖕🏼🇺🇸 #MAGA #Trump2024IsTheOnlyChoice #DemocratsAreDestroyingAmerica,2,1,1,1,1,1,1,1,9,Middle finger emoji - mocking language. Positive partisan alignment with trump but aggresive tone,19/02/2026,1,
83,83,tweet,"Donald Trump golf course set to have the highest green fees on the planet in 2025

#Trump #DonaldTrump @TrumpTurnberry @TrumpGolf 
https://t.co/ajbOiCEaHN",1,1,1,1,1,1,1,1,8,"About Trumps golf course, no partisan context",19/02/2026,1,
84,84,reply,@The_Real_BiM @terrymbs2 @AdorablePodcast @RossGilroy @memequeenkimmy @SecularSmurf @OsingaPeter @America1Eagle1 @TreatHunterDog @56tweets4 @petewoodward0 @OnlyaMoment3 @hellosf77 @NewfMom29 @edielizzard1 @L331024 @zypisfy @scottstocker4 @ReganLieutenant @EMNODAERTTONOD @IZMKS44 @Jetson77 @UndeC08 @justasimplema20 @BettyBoop8209 @Woody4123 @BuckSatanLives @Missy10013Kathy @AdamTarver6 @cherylhart00 @carolyn_from @NatashaForTrump @TastyMorsel6 @mccuan_lois @Sofie_Z1 @AnnoyedTaurus @Theresa51332 @MsPeabiddy @bubba6186422393 @GnosticMessiah @lucy_neuwirth @BobBComedy @ThereseOSulliv2 @RaylynCurtis @RightDaisy @doggebukser @GrishamHun11462 @zipthwung @warmachineofgod sore loser... Trump and his kult of maga morons is DONE... https://t.co/m2oVznwFzn,3,1,2,1,1,1,1,1,11,"Extreme partisanan animsoity to MAGA supporter “kult” , emotional language but no anti democratic rhetroic more hatred to other party",19/02/2026,1,
85,85,reply,@the_1_Barber @brui4ns1 @JoeyMannarinoUS Trump is a scumbag. Been that way since the 80s. He's not fit for any public office bc he's not about serving others. He's about himself. He and Maga cult will be studied in future yrs to determine how he manipulated so many to join his movement. It truly is a psychological study,3,1,1,1,1,1,1,2,11,"Criticizing Trump’S character and his supporter, no anti democratic rhetoric but severe animosity towards opposing side. ",19/02/2026,1,
86,86,tweet,If y'all are an American and a Christian. Y'all will vote for Donald Trump.,1,1,1,1,1,1,1,1,8,"Positive partisan alignment comment with MAGA showing support, positive language.",19/02/2026,1,
87,87,reply,@RosenforNevada Trump2024,1,1,1,1,1,1,1,1,8,"Positive partisan alignment with Trump, no AAPA language",19/02/2026,1,
88,88,reply,"@rattlecans I wrote a piece - a little bit touching on this exact subject- for my Substack a while back. In that I was decrying the demise of this fine old English conservative tradition, being replaced by Farage empty US populist shite.
The English tradition of conservatism is shrivelling",2,1,1,1,1,1,1,1,9,"Comment on conservative party turning more populist, this could be a comment from the same side, however definitely some animosity",19/02/2026,1,
89,89,reply,@DWPippy It seems he also owns several members of the GOP Congress.,2,1,1,1,1,1,1,2,10,Speculation of candidate support “owns”. ,19/02/2026,1,
90,90,reply,@lsferguson Yes you are right! I feel the same way Steve! I pray @realDonaldTrump wins! Our Country is in Bad shape because of the MSM and corrupt politicians from the evil traitors in the Deep State communist @DNC and RINO @GOP ! Patriots who love our great Country will vote for Trump!🙏🇺🇲 https://t.co/slOonOY6Zf,3,1,1,1,2,2,1,1,12,"Positive partisan alignment with Trump, negative language towards other “evil” party, distrustful tone towards the Dems. ",19/02/2026,1,
91,91,reply,@RealCandaceO The problem is that Progressives are a moving target and the GOP are slow to adapt. The right still operate as if it is still a contest between Republicans and Democrats. Fortunately Progressives react like super-balls in a small room. Quirky but manageable.,2,1,1,1,3,1,1,2,12,"Discusses partisan dynamics with a clear political stance and uses exaggeration, but does not reference specific contested factual claims. Comment is more of a claim that the progressives are ‘manageable’, rather than supporting any antidemocratic or violent behaviour",19/02/2026,1,
92,92,reply,"@AmericaPapaBear She’s not Donald Trump.
I say this frustrated.. because I’m a huge Trump fan.
Trump needs to shut up and be optimistic",2,1,1,1,1,2,1,1,10,“Trump needs to shut up and be optimistic” shows that there is a sense of distrust in his claims. This seems to be more of a statement from a supporter within the same partisn group,19/02/2026,1,
93,93,reply,"@GNQ__ MAGA brainwashing ok.

The problem is, you see 99% of current issues through the lens of your own sexuality and ignore everything else. You’re young. You have a lot of maturing to do.",3,1,1,1,2,2,3,1,14,"Exxagerated language towards user of opposing view. no really violent or aggressive language. Broadly questions the target’s judgment and maturity, using dismissive and exaggerated claims, which signals distrust and contempt.",19/02/2026,1,
94,94,reply,"@MichaelSteele @susanrwncomau @MichaelSteele you are not a Conservative not a Republican, & not even a RINO.  You're just trying to take over for Mitt Romney and get some attention as the 'conservative' CNN hauls out with their propaganda.  It's shameful and disgusting.",3,2,1,1,2,2,1,2,14,No endorecement for undermocratic practises or violence. Questions the reliability of CNN and candidates political intentions. Use of exxagerated language about the topic. No sources or factes stated,19/02/2026,1,
95,95,reply,"@texan_maga Why call it MPOX and not Monkey Pox? 
 Remember those monkeys that escaped in PA??  They were being transferred from one laboratory to another when the truck wrecked and they issued a state of emergency over it until all the monkeys were caught dead or alive???  Just",2,1,1,1,1,2,2,3,13,"Unsure what this comment is a reply to but seems to have a distrustful attitude to the topic in question, language is exxagerated stating disbelief and frustration to this term MPOX. ",19/02/2026,1,
96,96,reply,"@thestustustudio @ChicagoDNC24 @FBI They’re honestly haters, chant for hate-war-intifada, hate America, w major effort to impress terrorist jihadhi they’re not infidels. 😂

Sans masks, their parasitic facade holds a day job while being misogynistic racists. 

The jihadi infidel cult like MAGA hopes for Trump? https://t.co/fWkuFRKwkH",3,2,2,1,2,2,3,2,17,"Hateful, violent language used about “MAGA cult” claimin they are “jihadists”. No sources backing these claims. Definiitely has lack of trusts towards this group.",19/02/2026,1,
97,97,reply,"@NJ_Timothy Nick.

Why don't you just face facts?

May, Johnson and Sunak wilfully sent the Conservative Party up the swanny.

The UK is now firmly in the grip of the Deep State as a result.

@reformparty_uk know this, as do the majority of former Tory voters.",1,1,1,1,1,1,1,1,8,Not about US ,19/02/2026,1,
98,98,tweet,Opinion | Elon Musk and Donald Trump share the worst similarities https://t.co/dD6t0G3QvA via @msnbc,3,2,1,1,2,2,2,1,14,"No undemocratic or violent language, however. Some name-calling that implies opposition to bipartisanship and dstrust in candidates. Term ‘the worst similarities’ signifies  distrusts and hatred. Not claiming any political facts, more of a comment. ",19/02/2026,1,
99,99,reply,"@GuntherEagleman House GOP wasted two years and millions of taxpayer dollars producing a report that didn’t even recommend impeachment and you’re like “Yeah, please feed me some more bullshit”.",3,1,1,1,2,3,2,2,15,"Distrust to GOP, no sources states, clear mocking disdtrystful language.",19/02/2026,1,
100,100,reply,"@Lynnebf_2846 @RNC Fake poll, fake news.",1,1,1,1,1,3,1,2,11,"Distrust of news source, no sources. ",19/02/2026,1,
200,200,tweet,Donald Trump to be sentenced to prison in September: Fox News columnist https://t.co/uuqmFigWjD https://t.co/lF9XBbI08n,1,1,1,1,1,1,1,3,10,News article headline ,19/02/2026,1,
201,201,reply,@realKyleKeegan I have never heard one person make fun of Biden having a stutter. Seems something the left bring out to make excuses for his in ability to thread a coherent sentence off prompter and sometimes on prompter,2,1,1,1,2,2,2,1,12,Accusing leftists of blaming bidens stutter on his poor speech skills,19/02/2026,1,
202,202,reply,@Luther97777506 @HFI_Research Biden/Harris are though because they are turning a blind eye to all their oil sales. They care more about the oil price than Iran using that money to literally fund terrorism.,1,1,1,1,1,2,1,3,,,19/02/2026,1,
203,203,quote,"This is homophobic, racist, and Islamophobic.

The IOF kills queer Palestinians with bombs supplied by Biden, Harris, and Blinken.

You are trying to justify voting for a genocidal baby killer when you haven't even TRIED to make this administration stop.",3,1,1,1,1,3,3,2,15,,19/02/2026,1,
204,204,reply,"@JoeyMannarinoUS Raise your hand if you were forced to eat your poor furry, four-legged emergency food supply under the Biden/Harris campaign, and look forward to fornicating with your new one this November! 🖐️",3,1,1,1,2,1,1,3,13,"Saying they had to eat dog food under Biden admin , likely exageration",19/02/2026,1,
205,205,reply,@simonateba @KamalaHarris @realDonaldTrump She needs the least amount of direct exposure.  She'll stay in the basement like Biden... No questions asked.,3,1,1,1,2,2,1,1,,Making fun of Kamala,19/02/2026,1,
206,206,reply,"@iAnonPatriot @GuntherEagleman Yes, but will they certify it? They are already talking about( Sen. Raskin) not doing so. Just like Maduro in Venezuela they will lose magnificently but refuse to go. I really think they will impeach Biden and make Harris the incumbent and then cancel the election due to war.",3,1,1,1,2,3,1,2,14,accusing biden admin if not leaving if they lose election,19/02/2026,1,
207,207,tweet,"Common sense!

 slams Harris as 'naive' on Iran, blasts VP for not being tough on Hamas https://t.co/8H3oJ5OT7w #FoxNews",1,1,1,1,1,3,1,3,12,On Kamals policies on Iran and Hamas not being tough enough,19/02/2026,1,
