annotation_id,tweet_id,llm_name_version,post_type,text,total_score,date,annotation_session,V1,V1_reason,V2,V2_reason,V3,V3_reason,V4,V4_reason,V5,V5_reason,V6,V6_reason,V7,V7_reason,V8,V8_reason,framing_condition
41,11,gpt-4o-2024-08-06,tweet,🚀 Check out MAGA Hat $MAGA prices @CoinGecko!✨🦎 https://t.co/nNFB4Fyrxm https://t.co/W39N1oiC5n,8,2026-03-18 16:02:30,20260318_1559,1,No partisan name-calling or emotional language present.,1,No support for undemocratic practices or partisan language present.,1,No support for partisan violence or related language present.,1,No support for undemocratic candidates or related language present.,1,No opposition to bipartisanship or related language present.,1,No social distrust or related language present.,1,No social distance or related language present.,1,No biased evaluation of politicized facts or related language present.,subtle_liberal
45,12,gpt-4o-2024-08-06,tweet,"The fact that they decided to publish Hillary Clinton’s emails in 2016 to support Donald Trump, and decided not to publish Donald Trump’s emails in 2024 to support Donald Trump, shows exactly what is terribly wrong with our political mainstream media. 

- Andrea Junker",11,2026-03-18 16:03:08,20260318_1559,1,No partisan name-calling or emotional exaggeration present.,1,No support for undemocratic practices or related name-calling/emotion.,1,No support for partisan violence or related name-calling/emotion.,1,No support for undemocratic candidates or related name-calling/emotion.,2,Criticism of political mainstream media suggests some opposition to bipartisanship.,2,Criticism of media indicates some level of social distrust.,1,No language increasing social distance or related emotion.,2,Presents a biased evaluation of media actions favoring one party.,subtle_liberal
49,13,gpt-4o-2024-08-06,tweet,"Trump &amp; MAGA politics crushes by far the Harris &amp; Waltz traitors
 https://t.co/Xo5msZZ1iy",15,2026-03-18 16:04:10,20260318_1559,3,Partisan name-calling with 'traitors' and emotional language 'crushes'.,2,Partisan name-calling with 'traitors' but no explicit support for undemocratic practices.,2,Partisan name-calling with 'traitors' but no explicit support for violence.,1,No support for undemocratic candidates is evident.,2,Partisan name-calling with 'traitors' reduces trust.,2,Partisan name-calling with 'traitors' reduces trust.,2,Partisan name-calling with 'traitors' increases social distance.,1,No biased evaluation of politicized facts is evident.,subtle_liberal
53,14,gpt-4o-2024-08-06,reply,@DennisMSwanson1 @GOP America has never been a nation. https://t.co/CmUtFsLeBK,8,2026-03-18 16:04:55,20260318_1559,1,No partisan name-calling or emotional language present.,1,No support for undemocratic practices or emotional language present.,1,No support for partisan violence or emotional language present.,1,No support for undemocratic candidates or emotional language present.,1,No opposition to bipartisanship or emotional language present.,1,No social distrust or emotional language present.,1,No social distance or emotional language present.,1,No biased evaluation of politicized facts or emotional language present.,subtle_liberal
57,15,gpt-4o-2024-08-06,reply,"@Phil6741400 @eyeslasho @TheFP @Quillette Yet ""maga"" is ""low wit""",12,2026-03-18 16:05:35,20260318_1559,2,Partisan name-calling with 'maga' as 'low wit'.,1,No support for undemocratic practices.,1,No support for partisan violence.,1,No support for undemocratic candidates.,2,Partisan name-calling reduces trust.,2,Partisan name-calling reduces trust.,2,Partisan name-calling increases social distance.,1,No biased evaluation of politicized facts.,subtle_liberal
61,16,gpt-4o-2024-08-06,reply,"@ofreacharound Apparently it’s been known in MN. CSM Behrends and other Guardsmen have been talking about it for years &amp; the GOP candidate brought it up during the 2022 election. MN media is Dem-run so it was largely smothered, but now that Walz is on the national stage it’s harder to hide",13,2026-03-18 16:06:17,20260318_1559,2,"The tweet implies bias by stating 'MN media is Dem-run', which suggests emotion or exaggeration.",2,"The tweet suggests media bias ('MN media is Dem-run'), which is an exaggeration but does not directly support undemocratic practices.",1,There is no support for partisan violence in the tweet.,1,There is no support for undemocratic candidates in the tweet.,2,"The claim of 'Dem-run' media suggests emotion or exaggeration, indicating opposition to bipartisanship.",2,"The tweet suggests distrust in media by claiming it is 'Dem-run', indicating emotion or exaggeration.",1,There is no language that increases social distance or distrust beyond media bias claims.,2,"The tweet presents a biased evaluation of media, suggesting it is 'Dem-run', which is a partial presentation of facts.",subtle_liberal
65,17,gpt-4o-2024-08-06,reply,@VP is running the same campaign that @POTUS #SleepyJoe ran in 2020. Hoping that the American people blindly vote for her. It’s time to wake up and make America great again. GO VOTE!! @realDonaldTrump @X @elonmusk #MAGA #MAGA2024,12,2026-03-18 16:07:16,20260318_1559,2,Uses derogatory term '#SleepyJoe' indicating partisan name-calling.,2,Uses partisan name-calling '#SleepyJoe' but does not show support for undemocratic practices.,1,No support for partisan violence is evident.,1,No support for undemocratic candidates is evident.,2,Partisan name-calling '#SleepyJoe' reduces trust.,1,No general social distrust is evident.,2,Partisan name-calling '#SleepyJoe' increases social distance.,1,No biased evaluation of politicized facts is evident.,subtle_liberal
69,18,gpt-4o-2024-08-06,reply,@ericsuniverse @amyforsandiego @BillMelugin_ the trump supporters in LA county? That massive voting block? What the reporter should know is that the number of people who are completely closed to voting for a Trump supporter far out number folks who are in the maga cult. Especially in LA county.,12,2026-03-18 16:08:10,20260318_1559,2,Uses 'maga cult' which implies partisan name-calling.,1,No support for undemocratic practices is evident.,1,No support for partisan violence is evident.,1,No support for undemocratic candidates is evident.,2,The term 'maga cult' reduces trust and implies opposition to bipartisanship.,2,The term 'maga cult' reduces trust.,2,The term 'maga cult' increases social distance.,1,No biased evaluation of politicized facts is evident.,subtle_liberal
73,19,gpt-4o-2024-08-06,reply,"@daviddunn177 @Acyn she's so cute, too bad she sold her soul to the evils of the GOP",14,2026-03-18 16:08:46,20260318_1559,2,Partisan name-calling with 'evils of the GOP'.,2,Partisan name-calling with 'evils of the GOP'.,1,No support for partisan violence.,1,No support for undemocratic candidates.,2,Partisan name-calling with 'evils of the GOP'.,2,Partisan name-calling with 'evils of the GOP'.,2,Partisan name-calling with 'evils of the GOP'.,2,Partisan stance with 'evils of the GOP'.,subtle_liberal
77,20,gpt-4o-2024-08-06,reply,@RpsAgainstTrump Still enjoying this you MAGA freaks??? Is there literally anything he can say that will make you realize what a horrible person he is?,15,2026-03-18 16:09:35,20260318_1559,3,Partisan name-calling ('MAGA freaks') and emotional language ('horrible person').,2,Partisan name-calling ('MAGA freaks') but no direct support for undemocratic practices.,1,No support for partisan violence.,1,No support for undemocratic candidates.,2,Partisan name-calling ('MAGA freaks') but no explicit opposition to bipartisanship.,2,Partisan name-calling ('MAGA freaks') but no general social distrust.,2,Partisan name-calling ('MAGA freaks') but no events that damage communities.,2,Emotion ('horrible person') but no specific biased evaluation of facts.,subtle_liberal
81,21,gpt-4o-2024-08-06,reply,"When Obama took over the republicans had run the economy in the ground, the banks had failed. Obama bailed them out. The automobile industry had failed Obama build them out. Donald Trump inherited a good economy.  from Obama, that's a fact.",9,2026-03-18 16:10:17,20260318_1559,1,No partisan name-calling or emotional exaggeration present.,1,No support for undemocratic practices or partisan name-calling present.,1,No support for partisan violence or related language present.,1,No support for undemocratic candidates or related language present.,1,No opposition to bipartisanship or related language present.,1,No social distrust or related language present.,1,No social distance or related language present.,2,"Presents political facts with a partisan stance, but no exaggeration.",subtle_liberal
85,22,gpt-4o-2024-08-06,reply,@Acyn Is this the point where MAGA heads start exploding!!??,15,2026-03-18 16:10:46,20260318_1559,2,The tweet uses partisan name-calling with 'MAGA heads' and exaggeration with 'start exploding'.,2,"The tweet uses partisan name-calling and exaggeration, but does not show support for undemocratic practices.",2,"The tweet uses partisan name-calling and exaggeration, but does not show support for partisan violence.",1,The tweet does not show support for undemocratic candidates.,2,"The tweet uses partisan name-calling, which reduces trust.",2,"The tweet uses partisan name-calling, which reduces trust.",2,The tweet uses terms that increase distrust and exaggeration.,2,The tweet uses exaggeration with 'start exploding'.,subtle_liberal
89,23,gpt-4o-2024-08-06,reply,"@four4thefire sometimes things really are as simple as ""we can dog walk the GOP in front of the entire country by filling both convention arenas at the same time""",9,2026-03-18 16:11:26,20260318_1559,2,The phrase 'dog walk the GOP' suggests emotion or exaggeration.,1,No support for undemocratic practices is evident.,1,No support for partisan violence is evident.,1,No support for undemocratic candidates is evident.,1,No opposition to bipartisanship is evident.,1,No social distrust is evident.,1,No social distance is evident.,1,No biased evaluation of politicized facts is evident.,subtle_liberal
93,24,gpt-4o-2024-08-06,reply,@EWErickson @tmccormick1 You’re lamenting the fact that the GOP is just grifting to line their pockets while simultaneously bragging that you’re giving money to the guy responsible for all the grifting so he can pay his legal bills. Hilariously out of touch,13,2026-03-18 16:12:07,20260318_1559,2,The tweet uses emotion and exaggeration by describing the GOP as 'grifting' and 'hilariously out of touch'.,1,The tweet does not show support for undemocratic practices or use partisan name-calling.,1,There is no support for partisan violence in the tweet.,1,The tweet does not show support for undemocratic candidates.,2,"The tweet uses terms that reduce trust, such as 'grifting'.",2,"The tweet uses terms that reduce trust, such as 'grifting'.",2,"The tweet uses terms that increase distrust, such as 'grifting'.",2,The tweet presents a biased evaluation by accusing the GOP of 'grifting' without context.,subtle_liberal
97,25,gpt-4o-2024-08-06,reply,@GOP Trump has been bragging how amazing Venezuela is doing though. He keeps bragging their crime in way down. 😹,10,2026-03-18 16:12:57,20260318_1559,2,"The tweet uses sarcasm and exaggeration to criticize Trump, indicating emotion.",1,There is no support for undemocratic practices or related name-calling.,1,There is no support for partisan violence or related name-calling.,1,There is no support for undemocratic candidates.,1,There is no opposition to bipartisanship or related name-calling.,1,There is no social distrust or related name-calling.,1,There is no language that increases social distance or related name-calling.,2,The tweet presents a biased evaluation of facts with sarcasm and exaggeration.,subtle_liberal
101,26,gpt-4o-2024-08-06,quote,"He's a Veteran with 24 years of distinguished service. No one can taint that or take it away. MAGA is desperate to shift the narrative away from the couch boy who barely put in 4 years. Nice try, I'm with @GovTimWalz every step of the way until he is our Vice President.",11,2026-03-18 16:13:56,20260318_1559,2,"The tweet uses 'couch boy' as a derogatory term, indicating partisan name-calling.",1,There is no support for undemocratic practices or related language.,1,There is no support for partisan violence or related language.,1,There is no support for undemocratic candidates or related language.,2,The use of 'couch boy' reduces trust and indicates opposition to bipartisanship.,1,There is no language indicating social distrust.,2,The term 'couch boy' increases social distance by using derogatory language.,1,There is no biased evaluation of politicized facts or related language.,subtle_liberal
105,27,gpt-4o-2024-08-06,reply,"@FoxNews 🤦🏻‍♀️

Trump MAGA ⬇️ https://t.co/6CZxJIbC2V",8,2026-03-18 16:14:40,20260318_1559,1,No partisan name-calling or emotional language present.,1,No support for undemocratic practices or emotional language present.,1,No support for partisan violence or emotional language present.,1,No support for undemocratic candidates or emotional language present.,1,No opposition to bipartisanship or emotional language present.,1,No social distrust or emotional language present.,1,No social distance or emotional language present.,1,No biased evaluation of politicized facts or emotional language present.,subtle_liberal
109,28,gpt-4o-2024-08-06,reply,@TONYxTWO Same ole’ Same ole’ Same  ole’ lies.   Satans not very clever.   Same playbook.  Never anything new.   Patriots don’t fall for any of this crapola!   THE END. #GodWins #MAGA #45-47 #NCSWIC 🎥🎬🍿,14,2026-03-18 16:15:50,20260318_1559,2,The tweet uses emotional language like 'lies' and 'crapola' which indicates exaggeration.,2,"The tweet uses emotional language and exaggeration, but does not explicitly support undemocratic practices.",1,There is no support for partisan violence in the tweet.,1,There is no support for undemocratic candidates in the tweet.,2,"The tweet uses emotional language that could reduce trust, such as 'lies' and 'crapola'.",2,"The tweet uses emotional language that could reduce trust, such as 'lies' and 'crapola'.",2,The tweet uses terms like 'lies' and 'crapola' which increase distrust and distance.,2,"The tweet presents a partisan stance with hashtags like #MAGA and #GodWins, indicating bias.",subtle_liberal
113,29,gpt-4o-2024-08-06,reply,@SteveLovesAmmo Hell yah! The felon and the hillbilly! Trump 2024! 💯,14,2026-03-18 16:16:44,20260318_1559,2,Partisan name-calling with 'felon' and 'hillbilly'.,2,Partisan name-calling with 'felon' and 'hillbilly'.,1,No support for partisan violence.,2,"Support for Trump, who is often criticized for undemocratic practices, but no name-calling or exaggeration.",2,Partisan name-calling with 'felon' and 'hillbilly'.,2,Partisan name-calling with 'felon' and 'hillbilly'.,2,Partisan name-calling with 'felon' and 'hillbilly'.,1,No biased evaluation of politicized facts.,subtle_liberal
117,30,gpt-4o-2024-08-06,quote,"It's been about 30 minutes, what's Hogg and Thornburg been up to today at 3:58 Mountain time on this fine Tuesday? I'll check back when the media is unemployed or #MAGA!",11,2026-03-18 16:23:28,20260318_1559,2,The use of '#MAGA' suggests partisan alignment and potential animosity.,1,No support for undemocratic practices is evident.,1,No support for partisan violence is evident.,1,No support for undemocratic candidates is evident.,2,"The phrase 'when the media is unemployed' suggests opposition to media, which can imply opposition to bipartisanship.",2,The phrase 'when the media is unemployed' suggests distrust of the media.,1,No language increasing social distance is evident.,1,No biased evaluation of politicized facts is evident.,subtle_liberal
121,31,gpt-4o-2024-08-06,tweet,Donald Trump’s campaign. https://t.co/mQTedylMco,8,2026-03-18 18:02:04,20260318_1801,1,The tweet does not contain any partisan name-calling or emotional language.,1,The tweet does not show support for undemocratic practices or contain partisan name-calling or emotional language.,1,The tweet does not show support for partisan violence or contain partisan name-calling or emotional language.,1,The tweet does not show support for undemocratic candidates or contain partisan name-calling or emotional language.,1,The tweet does not contain any language opposing bipartisanship or emotional language.,1,The tweet does not contain any language indicating social distrust or emotional language.,1,The tweet does not contain any language indicating social distance or emotional language.,1,The tweet does not present any biased evaluation of politicized facts or emotional language.,subtle_liberal
125,32,gpt-4o-2024-08-06,reply,@MTGrepp I don’t want Donald Trump to do this stuff because they’ll say see he’s coming after his enemies and that’s all the media will say so it needs to be a bipartisan independent agency investigating every January 6 person that went after an imprisoned innocent people,9,2026-03-18 18:02:41,20260318_1801,1,No partisan name-calling or emotional exaggeration present.,1,No support for undemocratic practices or partisan name-calling.,1,No support for partisan violence or related language.,1,No support for undemocratic candidates or related language.,2,"Mentions need for bipartisan investigation, indicating some opposition to unilateral action.",1,No language indicating social distrust.,1,No language indicating social distance or distrust.,1,No biased evaluation of politicized facts or emotional language.,subtle_liberal
129,33,gpt-4o-2024-08-06,quote,FKH and her buddy FJB … and her “weird matey”… !!! NOPE not buyin’ it..!,15,2026-03-18 18:03:17,20260318_1801,3,"Partisan name-calling with 'FKH' and 'FJB', and emotional language with 'NOPE not buyin’ it'.",2,"Partisan name-calling with 'FKH' and 'FJB', but no direct support for undemocratic practices.",1,No support for partisan violence or related language.,1,No support for undemocratic candidates or related language.,2,"Partisan name-calling with 'FKH' and 'FJB', reducing trust.",2,"Partisan name-calling with 'FKH' and 'FJB', reducing trust.",2,"Partisan name-calling with 'FKH' and 'FJB', increasing social distance.",2,"Emotion with 'NOPE not buyin’ it', indicating skepticism.",subtle_liberal
133,34,gpt-4o-2024-08-06,reply,@marla_vous That is the MAGA nominee. A populist authoritarian organization. The GOP died in 2020. 1 down 1 to go.,15,2026-03-18 18:03:44,20260318_1801,2,Partisan name-calling with 'MAGA nominee' and 'populist authoritarian'.,2,Emotion or exaggeration with 'populist authoritarian organization'.,1,No support for partisan violence.,2,Mentions 'MAGA nominee' suggesting support for undemocratic candidates.,2,Emotion or exaggeration with 'GOP died in 2020'.,2,Emotion or exaggeration with 'GOP died in 2020'.,2,Terms like 'populist authoritarian' increase distrust.,2,Emotion or exaggeration with 'GOP died in 2020'.,subtle_liberal
137,35,gpt-4o-2024-08-06,quote,If Donald Trump loses this election this Country is finished as we know it.,12,2026-03-18 18:04:15,20260318_1801,1,No partisan name-calling or emotional exaggeration directed at opposing partisans.,2,Emotion or exaggeration present in the statement about the country being finished.,1,No support for partisan violence or related language.,2,"Implied support for Trump despite potential undemocratic practices, but no name-calling or exaggeration.",1,No explicit opposition to bipartisanship or related language.,2,Emotion or exaggeration present in the statement about the country being finished.,1,No language increasing social distance or distrust.,2,Emotion or exaggeration present in the statement about the country being finished.,subtle_liberal
141,36,gpt-4o-2024-08-06,tweet,"Wow, MAGA supporters walking on Donald during a speech was awesome to see. 

They know they’re  even conned.",9,2026-03-18 18:04:42,20260318_1801,2,"The tweet uses 'MAGA supporters' in a negative context, indicating emotion or exaggeration.",1,There is no support for undemocratic practices or related name-calling/emotion.,1,There is no support for partisan violence or related name-calling/emotion.,1,There is no support for undemocratic candidates or related name-calling/emotion.,1,There is no opposition to bipartisanship or related name-calling/emotion.,1,There is no social distrust or related name-calling/emotion.,1,There is no social distance or related name-calling/emotion.,1,There is no biased evaluation of politicized facts or related name-calling/emotion.,subtle_liberal
145,37,gpt-4o-2024-08-06,reply,@stillgray Do you know how many friends I've lost in my turn to conservative for the reasons this dumb b***h epitomizes?! I'm fucking moving in part bc if it and this pariah decides there's more money in J*w bating low iq mud snakes. Ffs!,20,2026-03-18 18:05:08,20260318_1801,3,Contains partisan name-calling ('dumb b***h') and emotional language ('fucking moving').,2,Contains partisan name-calling ('dumb b***h') but does not explicitly support undemocratic practices.,2,Contains partisan name-calling ('dumb b***h') but does not explicitly support partisan violence.,1,Does not show support for undemocratic candidates.,3,Contains name-calling ('dumb b***h') and emotional language ('fucking moving').,3,Contains name-calling ('dumb b***h') and emotional language ('fucking moving').,3,Contains terms that increase distrust and prejudice ('low iq mud snakes') and emotional language ('fucking moving').,3,Contains emotional language ('fucking moving') and presents a biased view ('J*w bating low iq mud snakes').,subtle_liberal
149,38,gpt-4o-2024-08-06,reply,@MAGA_TheMoon Realy...,8,2026-03-18 18:05:47,20260318_1801,1,The tweet does not contain partisan name-calling or emotional exaggeration.,1,There is no support for undemocratic practices or related language.,1,There is no support for partisan violence or related language.,1,There is no support for undemocratic candidates or related language.,1,There is no opposition to bipartisanship or related language.,1,There is no social distrust or related language.,1,There is no social distance or related language.,1,There is no biased evaluation of politicized facts or related language.,subtle_liberal
153,39,gpt-4o-2024-08-06,reply,@BettyBowers I think less quid and more Riyals. But now we know who are back rolling Trump and the RNC (I refuse to call it the GOP. There's nothing greens about it).,11,2026-03-18 18:06:16,20260318_1801,2,Partisan name-calling with 'I refuse to call it the GOP' and emotional language.,1,No support for undemocratic practices is evident.,1,No support for partisan violence is evident.,1,No support for undemocratic candidates is evident.,2,Partisan name-calling with 'I refuse to call it the GOP' suggests opposition to bipartisanship.,1,No general social distrust is evident.,2,Partisan name-calling increases social distance.,1,No biased evaluation of politicized facts is evident.,subtle_liberal
157,40,gpt-4o-2024-08-06,reply,"@GaryWalters66 @IRAtheGhostARI Problem is Gary, they aren’t going to investigate themselves. They’re all corrupt. Another problem is they think we’re work for them, they work for us. They forgot that part. We may need to do something if 24 goes south. I hope not.
Trump24🇺🇸",15,2026-03-18 18:06:46,20260318_1801,2,The tweet implies animosity by suggesting corruption and a disconnect between politicians and the public.,2,The tweet suggests a lack of faith in democratic processes by implying that action may be needed if the 2024 election doesn't go as desired.,2,"The phrase 'we may need to do something if 24 goes south' implies potential support for action, possibly violent, if the election outcome is unfavorable.",1,There is no explicit support for undemocratic candidates.,2,"The tweet suggests distrust in politicians, implying opposition to collaboration.",2,The tweet expresses distrust in politicians by labeling them as 'all corrupt'.,2,The tweet increases distrust and distance by labeling politicians as corrupt and disconnected from the public.,2,The tweet presents a biased view by suggesting that politicians are corrupt and disconnected from the public.,subtle_liberal
161,41,gpt-4o-2024-08-06,reply,"@YourAnonNews (MAGA) Make America great again is a movement, not a party nor a group. Its the Republican party",8,2026-03-18 18:07:16,20260318_1801,1,No partisan name-calling or emotional exaggeration present.,1,No support for undemocratic practices or partisan name-calling/emotion.,1,No support for partisan violence or related language.,1,No support for undemocratic candidates or related language.,1,No opposition to bipartisanship or related language.,1,No social distrust or related language.,1,No social distance or related language.,1,No biased evaluation of politicized facts or related language.,subtle_liberal
165,42,gpt-4o-2024-08-06,reply,"@ruffydfire The only flaws in Trump are personal flaws. Donald Trump is a pervert, Donald Trump is a felon because of tax evasion. Can you talk about his performance as a president of America and how it impacted the lives of the American people. He without sin should cast the first stone.",9,2026-03-18 18:07:40,20260318_1801,2,Partisan name-calling is present with terms like 'pervert' and 'felon'.,1,No support for undemocratic practices is evident.,1,No support for partisan violence is evident.,1,No support for undemocratic candidates is evident.,1,No opposition to bipartisanship is evident.,1,No social distrust is evident.,1,No social distance is evident.,1,No biased evaluation of politicized facts is evident.,subtle_liberal
169,43,gpt-4o-2024-08-06,reply,@MattWalshBlog @RealBrysonGray Make America Great Again Country - Donald Trump AI is better.,8,2026-03-18 18:08:06,20260318_1801,1,No partisan name-calling or emotional exaggeration present.,1,No support for undemocratic practices or related language.,1,No support for partisan violence or related language.,1,No support for undemocratic candidates or related language.,1,No opposition to bipartisanship or related language.,1,No social distrust or related language.,1,No social distance or related language.,1,No biased evaluation of politicized facts or related language.,subtle_liberal
173,44,gpt-4o-2024-08-06,reply,@galacticaactual This is one of the many reasons we have the 2nd Amendment in the States. The want us to be compliant little slaves. Absolute power corrupts absolutely so we can't give them that power over us. They work for us not the other way around. #MAGA,14,2026-03-18 18:08:34,20260318_1801,2,Emotion or exaggeration present in 'compliant little slaves' and 'absolute power corrupts absolutely'.,2,Emotion or exaggeration present in 'compliant little slaves' and 'absolute power corrupts absolutely'.,2,Emotion or exaggeration present in 'compliant little slaves' and 'absolute power corrupts absolutely'.,1,No support for undemocratic candidates is evident.,2,Emotion or exaggeration present in 'compliant little slaves' and 'absolute power corrupts absolutely'.,2,Emotion or exaggeration present in 'compliant little slaves' and 'absolute power corrupts absolutely'.,2,Terms like 'compliant little slaves' increase distrust and distance.,1,No biased evaluation of politicized facts is evident.,subtle_liberal
177,45,gpt-4o-2024-08-06,reply,"@Orangadan1 @iamharaldur One can both believe in socialism and be resistant to change (conservative). The two are separate considerations. The Nazis were highly conservative, they hated the changes they saw in German society and wanted to wind back the clock.",8,2026-03-18 18:09:06,20260318_1801,1,No partisan name-calling or emotional exaggeration present.,1,No support for undemocratic practices or partisan name-calling.,1,No support for partisan violence or related language.,1,No support for undemocratic candidates or related language.,1,No opposition to bipartisanship or related language.,1,No social distrust or related language.,1,No language indicating social distance or related factors.,1,No biased evaluation of politicized facts or related language.,subtle_liberal
