annotation_id,tweet_id,llm_name_version,post_type,text,total_score,date,annotation_session,V1,V1_reason,V2,V2_reason,V3,V3_reason,V4,V4_reason,V5,V5_reason,V6,V6_reason,V7,V7_reason,V8,V8_reason,framing_condition
44,11,gpt-4o-2024-08-06,tweet,🚀 Check out MAGA Hat $MAGA prices @CoinGecko!✨🦎 https://t.co/nNFB4Fyrxm https://t.co/W39N1oiC5n,8,2026-03-18 16:02:53,20260318_1559,1,No partisan name-calling or emotional language present.,1,No support for undemocratic practices or partisan language present.,1,No support for partisan violence or partisan language present.,1,No support for undemocratic candidates or partisan language present.,1,No opposition to bipartisanship or partisan language present.,1,No social distrust or partisan language present.,1,No social distance or partisan language present.,1,No biased evaluation of politicized facts or partisan language present.,extreme_rep
48,12,gpt-4o-2024-08-06,tweet,"The fact that they decided to publish Hillary Clinton’s emails in 2016 to support Donald Trump, and decided not to publish Donald Trump’s emails in 2024 to support Donald Trump, shows exactly what is terribly wrong with our political mainstream media. 

- Andrea Junker",10,2026-03-18 16:03:53,20260318_1559,1,No partisan name-calling or emotional exaggeration present.,1,No support for undemocratic practices or partisan name-calling.,1,No support for partisan violence or related language.,1,No support for undemocratic candidates or related language.,1,No opposition to bipartisanship or related language.,2,Emotion or exaggeration present in criticism of media.,1,No language increasing social distance or distrust.,2,Presents a partisan stance on media bias.,extreme_rep
52,13,gpt-4o-2024-08-06,tweet,"Trump &amp; MAGA politics crushes by far the Harris &amp; Waltz traitors
 https://t.co/Xo5msZZ1iy",15,2026-03-18 16:04:37,20260318_1559,3,Partisan name-calling with 'traitors' and emotional language 'crushes'.,2,Partisan name-calling with 'traitors' but no explicit support for undemocratic practices.,2,Partisan name-calling with 'traitors' but no explicit support for violence.,1,No support for undemocratic candidates is shown.,2,Partisan name-calling with 'traitors' reduces trust.,2,Partisan name-calling with 'traitors' reduces trust.,2,Partisan name-calling with 'traitors' increases distrust.,1,No biased evaluation of politicized facts is present.,extreme_rep
56,14,gpt-4o-2024-08-06,reply,@DennisMSwanson1 @GOP America has never been a nation. https://t.co/CmUtFsLeBK,8,2026-03-18 16:05:22,20260318_1559,1,No partisan name-calling or emotional language present.,1,No support for undemocratic practices or emotional language present.,1,No support for partisan violence or emotional language present.,1,No support for undemocratic candidates or emotional language present.,1,No opposition to bipartisanship or emotional language present.,1,No social distrust or emotional language present.,1,No social distance or emotional language present.,1,No biased evaluation of politicized facts or emotional language present.,extreme_rep
60,15,gpt-4o-2024-08-06,reply,"@Phil6741400 @eyeslasho @TheFP @Quillette Yet ""maga"" is ""low wit""",12,2026-03-18 16:06:00,20260318_1559,2,Partisan name-calling with 'maga' as 'low wit'.,1,No support for undemocratic practices.,1,No support for partisan violence.,1,No support for undemocratic candidates.,2,Partisan name-calling reduces trust.,2,Name-calling reduces trust.,2,Name-calling increases social distance.,1,No biased evaluation of politicized facts.,extreme_rep
64,16,gpt-4o-2024-08-06,reply,"@ofreacharound Apparently it’s been known in MN. CSM Behrends and other Guardsmen have been talking about it for years &amp; the GOP candidate brought it up during the 2022 election. MN media is Dem-run so it was largely smothered, but now that Walz is on the national stage it’s harder to hide",14,2026-03-18 16:07:10,20260318_1559,2,Emotion or exaggeration present in 'MN media is Dem-run so it was largely smothered'.,2,Emotion or exaggeration present in 'MN media is Dem-run so it was largely smothered'.,1,No support for partisan violence is evident.,1,No support for undemocratic candidates is evident.,2,Emotion or exaggeration present in 'MN media is Dem-run so it was largely smothered'.,2,Emotion or exaggeration present in 'MN media is Dem-run so it was largely smothered'.,2,Terms that increase distrust present in 'MN media is Dem-run so it was largely smothered'.,2,Emotion or exaggeration present in 'MN media is Dem-run so it was largely smothered'.,extreme_rep
68,17,gpt-4o-2024-08-06,reply,@VP is running the same campaign that @POTUS #SleepyJoe ran in 2020. Hoping that the American people blindly vote for her. It’s time to wake up and make America great again. GO VOTE!! @realDonaldTrump @X @elonmusk #MAGA #MAGA2024,12,2026-03-18 16:07:58,20260318_1559,2,Uses partisan name-calling with '#SleepyJoe'.,2,Uses partisan name-calling with '#SleepyJoe'.,1,No support for partisan violence is evident.,1,No support for undemocratic candidates is evident.,2,Uses partisan name-calling with '#SleepyJoe'.,1,No general social distrust is evident.,1,No terms increasing social distance are evident.,2,Emotion or exaggeration with 'blindly vote' and 'wake up'.,extreme_rep
72,18,gpt-4o-2024-08-06,reply,@ericsuniverse @amyforsandiego @BillMelugin_ the trump supporters in LA county? That massive voting block? What the reporter should know is that the number of people who are completely closed to voting for a Trump supporter far out number folks who are in the maga cult. Especially in LA county.,12,2026-03-18 16:08:39,20260318_1559,2,"Uses the term 'maga cult', which is partisan name-calling.",1,Does not show support for undemocratic practices.,1,Does not show support for partisan violence.,1,Does not show support for undemocratic candidates.,2,"Uses partisan name-calling, reducing trust.",2,"Uses language that reduces trust, such as 'maga cult'.",2,"Uses terms that increase distance, such as 'maga cult'.",1,Does not present a biased evaluation of politicized facts.,extreme_rep
76,19,gpt-4o-2024-08-06,reply,"@daviddunn177 @Acyn she's so cute, too bad she sold her soul to the evils of the GOP",12,2026-03-18 16:09:26,20260318_1559,2,Partisan name-calling with 'evils of the GOP'.,1,No support for undemocratic practices is shown.,1,No support for partisan violence is shown.,1,No support for undemocratic candidates is shown.,2,Partisan name-calling reduces trust.,2,Partisan name-calling reduces trust.,2,Partisan name-calling increases distance.,1,No biased evaluation of politicized facts is present.,extreme_rep
80,20,gpt-4o-2024-08-06,reply,@RpsAgainstTrump Still enjoying this you MAGA freaks??? Is there literally anything he can say that will make you realize what a horrible person he is?,16,2026-03-18 16:10:14,20260318_1559,3,Partisan name-calling ('MAGA freaks') and emotional language ('horrible person').,2,Partisan name-calling ('MAGA freaks') but no direct support for undemocratic practices.,2,Partisan name-calling ('MAGA freaks') but no support for violence.,1,No support for undemocratic candidates.,2,Partisan name-calling ('MAGA freaks') reduces trust.,2,Partisan name-calling ('MAGA freaks') reduces trust.,2,Partisan name-calling ('MAGA freaks') increases social distance.,2,Emotion ('horrible person') but no specific politicized facts.,extreme_rep
84,21,gpt-4o-2024-08-06,reply,"When Obama took over the republicans had run the economy in the ground, the banks had failed. Obama bailed them out. The automobile industry had failed Obama build them out. Donald Trump inherited a good economy.  from Obama, that's a fact.",9,2026-03-18 16:10:35,20260318_1559,1,No partisan name-calling or emotional exaggeration present.,1,No support for undemocratic practices or partisan name-calling present.,1,No support for partisan violence or related language present.,1,No support for undemocratic candidates or related language present.,1,No opposition to bipartisanship or related language present.,1,No social distrust or related language present.,1,No social distance or related language present.,2,"Presents a partisan stance on economic history, but no emotional exaggeration.",extreme_rep
88,22,gpt-4o-2024-08-06,reply,@Acyn Is this the point where MAGA heads start exploding!!??,12,2026-03-18 16:11:23,20260318_1559,2,Emotion or exaggeration with 'MAGA heads start exploding'.,1,No support for undemocratic practices.,1,No support for partisan violence.,1,No support for undemocratic candidates.,2,Emotion or exaggeration with 'MAGA heads start exploding'.,2,Emotion or exaggeration with 'MAGA heads start exploding'.,2,Terms that increase distrust with 'MAGA heads start exploding'.,1,No biased evaluation of politicized facts.,extreme_rep
92,23,gpt-4o-2024-08-06,reply,"@four4thefire sometimes things really are as simple as ""we can dog walk the GOP in front of the entire country by filling both convention arenas at the same time""",11,2026-03-18 16:12:02,20260318_1559,2,The phrase 'dog walk the GOP' suggests emotion or exaggeration.,1,No support for undemocratic practices is evident.,1,No support for partisan violence is evident.,1,No support for undemocratic candidates is evident.,2,The phrase 'dog walk the GOP' suggests emotion or exaggeration.,1,No social distrust is evident.,2,The phrase 'dog walk the GOP' suggests terms that increase distance.,1,No biased evaluation of politicized facts is evident.,extreme_rep
96,24,gpt-4o-2024-08-06,reply,@EWErickson @tmccormick1 You’re lamenting the fact that the GOP is just grifting to line their pockets while simultaneously bragging that you’re giving money to the guy responsible for all the grifting so he can pay his legal bills. Hilariously out of touch,9,2026-03-18 16:12:39,20260318_1559,2,Emotion or exaggeration is present in 'Hilariously out of touch'.,1,Does not show support for undemocratic practices or use partisan name-calling.,1,Does not show support for partisan violence or use partisan name-calling.,1,Does not show support for undemocratic candidates or use partisan name-calling.,1,Neither name-calling nor emotion/exaggeration related to bipartisanship is present.,1,Neither name-calling nor emotion/exaggeration related to social distrust is present.,1,Does not use terms that increase distrust or distance.,1,Neither biased evaluation of politicized facts nor emotion/exaggeration related to facts is present.,extreme_rep
100,25,gpt-4o-2024-08-06,reply,@GOP Trump has been bragging how amazing Venezuela is doing though. He keeps bragging their crime in way down. 😹,10,2026-03-18 16:13:42,20260318_1559,2,Emotion or exaggeration with the use of 'bragging' and emoji.,1,No support for undemocratic practices is shown.,1,No support for partisan violence is shown.,1,No support for undemocratic candidates is shown.,1,No opposition to bipartisanship is shown.,1,No social distrust is shown.,1,No social distance is shown.,2,Emotion or exaggeration with the use of 'bragging' and emoji.,extreme_rep
104,26,gpt-4o-2024-08-06,quote,"He's a Veteran with 24 years of distinguished service. No one can taint that or take it away. MAGA is desperate to shift the narrative away from the couch boy who barely put in 4 years. Nice try, I'm with @GovTimWalz every step of the way until he is our Vice President.",10,2026-03-18 16:14:28,20260318_1559,2,Emotion or exaggeration present in 'MAGA is desperate to shift the narrative'.,1,No support for undemocratic practices is shown.,1,No support for partisan violence is shown.,1,No support for undemocratic candidates is shown.,2,Emotion or exaggeration present in 'MAGA is desperate to shift the narrative'.,1,No social distrust is expressed.,1,No social distance is expressed.,1,No biased evaluation of politicized facts is present.,extreme_rep
108,27,gpt-4o-2024-08-06,reply,"@FoxNews 🤦🏻‍♀️

Trump MAGA ⬇️ https://t.co/6CZxJIbC2V",8,2026-03-18 16:15:25,20260318_1559,1,No partisan name-calling or emotional language present.,1,No support for undemocratic practices or emotional language present.,1,No support for partisan violence or emotional language present.,1,No support for undemocratic candidates or emotional language present.,1,No opposition to bipartisanship or emotional language present.,1,No social distrust or emotional language present.,1,No social distance or emotional language present.,1,No biased evaluation of politicized facts or emotional language present.,extreme_rep
112,28,gpt-4o-2024-08-06,reply,@TONYxTWO Same ole’ Same ole’ Same  ole’ lies.   Satans not very clever.   Same playbook.  Never anything new.   Patriots don’t fall for any of this crapola!   THE END. #GodWins #MAGA #45-47 #NCSWIC 🎥🎬🍿,13,2026-03-18 16:16:24,20260318_1559,2,Emotion or exaggeration with phrases like 'Same ole’ lies' and 'Patriots don’t fall for any of this crapola!',1,Does not show support for undemocratic practices or name-calling.,1,Does not show support for partisan violence or name-calling.,1,Does not show support for undemocratic candidates or name-calling.,2,Emotion or exaggeration with phrases like 'Same ole’ lies' and 'Patriots don’t fall for any of this crapola!',2,Emotion or exaggeration with phrases like 'Same ole’ lies' and 'Patriots don’t fall for any of this crapola!',2,Terms like 'Patriots don’t fall for any of this crapola!' increase distrust and distance.,2,Emotion or exaggeration with phrases like 'Same ole’ lies' and 'Patriots don’t fall for any of this crapola!',extreme_rep
116,29,gpt-4o-2024-08-06,reply,@SteveLovesAmmo Hell yah! The felon and the hillbilly! Trump 2024! 💯,14,2026-03-18 16:20:30,20260318_1559,2,Partisan name-calling with 'felon' and 'hillbilly'.,2,Partisan name-calling with 'felon' and 'hillbilly'.,1,No support for partisan violence.,2,"Support for Trump, who is often criticized for undemocratic practices, but no name-calling or exaggeration.",2,Partisan name-calling with 'felon' and 'hillbilly'.,2,Partisan name-calling with 'felon' and 'hillbilly'.,2,Partisan name-calling with 'felon' and 'hillbilly'.,1,No biased evaluation of politicized facts.,extreme_rep
120,30,gpt-4o-2024-08-06,quote,"It's been about 30 minutes, what's Hogg and Thornburg been up to today at 3:58 Mountain time on this fine Tuesday? I'll check back when the media is unemployed or #MAGA!",11,2026-03-18 18:01:54,20260318_1801,2,The use of #MAGA suggests partisan alignment and potential animosity.,1,No support for undemocratic practices is evident.,1,No support for partisan violence is evident.,1,No support for undemocratic candidates is evident.,1,No opposition to bipartisanship is evident.,2,The phrase 'when the media is unemployed' suggests distrust of the media.,1,No language indicating social distance is evident.,2,The phrase 'when the media is unemployed' suggests skepticism of media facts.,extreme_rep
124,31,gpt-4o-2024-08-06,tweet,Donald Trump’s campaign. https://t.co/mQTedylMco,8,2026-03-18 18:02:32,20260318_1801,1,The tweet does not contain partisan name-calling or emotional language.,1,The tweet does not show support for undemocratic practices or contain partisan name-calling or emotional language.,1,The tweet does not show support for partisan violence or contain partisan name-calling or emotional language.,1,The tweet does not show support for undemocratic candidates or contain partisan name-calling or emotional language.,1,The tweet does not contain language opposing bipartisanship or emotional language.,1,The tweet does not contain language indicating social distrust or emotional language.,1,The tweet does not contain language indicating social distance or emotional language.,1,The tweet does not present biased evaluation of politicized facts or emotional language.,extreme_rep
128,32,gpt-4o-2024-08-06,reply,@MTGrepp I don’t want Donald Trump to do this stuff because they’ll say see he’s coming after his enemies and that’s all the media will say so it needs to be a bipartisan independent agency investigating every January 6 person that went after an imprisoned innocent people,9,2026-03-18 18:03:09,20260318_1801,1,No partisan name-calling or emotional exaggeration present.,1,No support for undemocratic practices or partisan name-calling/emotion.,1,No support for partisan violence or related language.,1,No support for undemocratic candidates or related language.,2,"Mentions need for bipartisan independent agency, indicating some opposition to partisanship.",1,No language indicating social distrust.,1,No language indicating social distance or distrust.,1,No biased evaluation of politicized facts or emotional language.,extreme_rep
132,33,gpt-4o-2024-08-06,quote,FKH and her buddy FJB … and her “weird matey”… !!! NOPE not buyin’ it..!,14,2026-03-18 18:03:36,20260318_1801,2,Partisan name-calling with 'FKH' and 'FJB'.,2,Partisan name-calling with 'FKH' and 'FJB'.,2,Partisan name-calling with 'FKH' and 'FJB'.,1,No support for undemocratic candidates.,2,Partisan name-calling with 'FKH' and 'FJB'.,2,Partisan name-calling with 'FKH' and 'FJB'.,2,Partisan name-calling with 'FKH' and 'FJB'.,1,No biased evaluation of politicized facts.,extreme_rep
136,34,gpt-4o-2024-08-06,reply,@marla_vous That is the MAGA nominee. A populist authoritarian organization. The GOP died in 2020. 1 down 1 to go.,14,2026-03-18 18:04:08,20260318_1801,2,Partisan name-calling with 'MAGA nominee' and 'populist authoritarian'.,2,Emotion or exaggeration with 'populist authoritarian organization'.,1,No support for partisan violence.,1,No support for undemocratic candidates.,2,Emotion or exaggeration with 'GOP died in 2020'.,2,Emotion or exaggeration with 'populist authoritarian organization'.,2,Terms that increase distrust with 'populist authoritarian organization'.,2,Emotion or exaggeration with 'GOP died in 2020'.,extreme_rep
140,35,gpt-4o-2024-08-06,quote,If Donald Trump loses this election this Country is finished as we know it.,10,2026-03-18 18:04:35,20260318_1801,1,No partisan name-calling or emotional language directed at opposing partisans.,1,No support for undemocratic practices or partisan name-calling.,1,No support for partisan violence or related language.,1,No support for undemocratic candidates or related language.,1,No opposition to bipartisanship or related language.,2,Exaggeration suggesting the country is 'finished' if Trump loses.,1,No language indicating social distance or distrust.,2,Exaggeration suggesting a biased evaluation of the election outcome.,extreme_rep
144,36,gpt-4o-2024-08-06,tweet,"Wow, MAGA supporters walking on Donald during a speech was awesome to see. 

They know they’re  even conned.",11,2026-03-18 18:05:00,20260318_1801,2,Emotion or exaggeration with 'awesome to see'.,1,No support for undemocratic practices.,1,No support for partisan violence.,1,No support for undemocratic candidates.,1,No opposition to bipartisanship.,2,Emotion or exaggeration with 'conned'.,2,Terms that increase distrust with 'conned'.,1,No biased evaluation of politicized facts.,extreme_rep
148,37,gpt-4o-2024-08-06,reply,@stillgray Do you know how many friends I've lost in my turn to conservative for the reasons this dumb b***h epitomizes?! I'm fucking moving in part bc if it and this pariah decides there's more money in J*w bating low iq mud snakes. Ffs!,19,2026-03-18 18:05:37,20260318_1801,3,"Partisan name-calling ('dumb b***h') and emotion/exaggeration ('fucking moving', 'pariah').",2,"Emotion/exaggeration ('fucking moving', 'pariah') but no direct support for undemocratic practices.",2,"Emotion/exaggeration ('fucking moving', 'pariah') but no direct support for partisan violence.",1,No support for undemocratic candidates is expressed.,3,"Name-calling ('dumb b***h') and emotion/exaggeration ('fucking moving', 'pariah').",3,"Name-calling ('dumb b***h') and emotion/exaggeration ('fucking moving', 'pariah').",3,Terms that increase distrust ('low iq mud snakes') and emotion/exaggeration ('fucking moving').,2,"Emotion/exaggeration ('fucking moving', 'pariah') but no specific biased evaluation of politicized facts.",extreme_rep
152,38,gpt-4o-2024-08-06,reply,@MAGA_TheMoon Realy...,8,2026-03-18 18:06:09,20260318_1801,1,The tweet does not contain partisan name-calling or emotional language.,1,The tweet does not show support for undemocratic practices or contain partisan name-calling or emotional language.,1,The tweet does not show support for partisan violence or contain partisan name-calling or emotional language.,1,The tweet does not show support for undemocratic candidates or contain partisan name-calling or emotional language.,1,The tweet does not contain name-calling or emotional language that opposes bipartisanship.,1,The tweet does not contain name-calling or emotional language that indicates social distrust.,1,The tweet does not contain language that increases social distance or emotional language.,1,The tweet does not present biased evaluation of politicized facts or contain emotional language.,extreme_rep
156,39,gpt-4o-2024-08-06,reply,@BettyBowers I think less quid and more Riyals. But now we know who are back rolling Trump and the RNC (I refuse to call it the GOP. There's nothing greens about it).,11,2026-03-18 18:06:35,20260318_1801,2,Partisan name-calling with 'RNC' and refusal to call it 'GOP'.,1,No support for undemocratic practices is shown.,1,No support for partisan violence is shown.,1,No support for undemocratic candidates is shown.,2,Partisan name-calling with 'RNC' and refusal to call it 'GOP'.,1,No general social distrust is expressed.,2,Partisan name-calling increases social distance.,1,No biased evaluation of politicized facts is present.,extreme_rep
160,40,gpt-4o-2024-08-06,reply,"@GaryWalters66 @IRAtheGhostARI Problem is Gary, they aren’t going to investigate themselves. They’re all corrupt. Another problem is they think we’re work for them, they work for us. They forgot that part. We may need to do something if 24 goes south. I hope not.
Trump24🇺🇸",16,2026-03-18 18:07:10,20260318_1801,2,Emotion or exaggeration is present in 'they’re all corrupt'.,2,Emotion or exaggeration is present in 'they’re all corrupt'.,2,Emotion or exaggeration is present in 'We may need to do something if 24 goes south'.,2,"Support for Trump24 suggests support for undemocratic candidates, but no name-calling or exaggeration.",2,Emotion or exaggeration is present in 'they’re all corrupt'.,2,Emotion or exaggeration is present in 'they’re all corrupt'.,2,Terms that increase distrust are present in 'they’re all corrupt'.,2,Emotion or exaggeration is present in 'they’re all corrupt'.,extreme_rep
164,41,gpt-4o-2024-08-06,reply,"@YourAnonNews (MAGA) Make America great again is a movement, not a party nor a group. Its the Republican party",8,2026-03-18 18:07:35,20260318_1801,1,No partisan name-calling or emotional language present.,1,No support for undemocratic practices or emotional language present.,1,No support for partisan violence or emotional language present.,1,No support for undemocratic candidates or emotional language present.,1,No opposition to bipartisanship or emotional language present.,1,No social distrust or emotional language present.,1,No social distance or emotional language present.,1,No biased evaluation of politicized facts or emotional language present.,extreme_rep
168,42,gpt-4o-2024-08-06,reply,"@ruffydfire The only flaws in Trump are personal flaws. Donald Trump is a pervert, Donald Trump is a felon because of tax evasion. Can you talk about his performance as a president of America and how it impacted the lives of the American people. He without sin should cast the first stone.",10,2026-03-18 18:08:01,20260318_1801,2,Partisan name-calling is present with terms like 'pervert' and 'felon'.,1,No support for undemocratic practices is evident.,1,No support for partisan violence is evident.,1,No support for undemocratic candidates is evident.,1,No opposition to bipartisanship is evident.,2,Emotion or exaggeration is present with strong language like 'pervert' and 'felon'.,1,No terms that increase social distance are evident.,1,No biased evaluation of politicized facts is evident.,extreme_rep
172,43,gpt-4o-2024-08-06,reply,@MattWalshBlog @RealBrysonGray Make America Great Again Country - Donald Trump AI is better.,9,2026-03-18 18:08:28,20260318_1801,1,No partisan name-calling or emotional language present.,1,No support for undemocratic practices or emotional language present.,1,No support for partisan violence or emotional language present.,2,Shows support for a candidate associated with undemocratic practices.,1,No opposition to bipartisanship or emotional language present.,1,No social distrust or emotional language present.,1,No language increasing social distance or emotional language present.,1,No biased evaluation of politicized facts or emotional language present.,extreme_rep
176,44,gpt-4o-2024-08-06,reply,@galacticaactual This is one of the many reasons we have the 2nd Amendment in the States. The want us to be compliant little slaves. Absolute power corrupts absolutely so we can't give them that power over us. They work for us not the other way around. #MAGA,14,2026-03-18 18:08:59,20260318_1801,2,Emotion or exaggeration present in 'compliant little slaves' and 'absolute power corrupts absolutely'.,2,Emotion or exaggeration present in 'compliant little slaves' and 'absolute power corrupts absolutely'.,2,Emotion or exaggeration present in 'compliant little slaves' and 'absolute power corrupts absolutely'.,1,No support for undemocratic candidates is shown.,2,Emotion or exaggeration present in 'compliant little slaves' and 'absolute power corrupts absolutely'.,2,Emotion or exaggeration present in 'compliant little slaves' and 'absolute power corrupts absolutely'.,2,Terms like 'compliant little slaves' increase distrust and distance.,1,No biased evaluation of politicized facts is present.,extreme_rep
180,45,gpt-4o-2024-08-06,reply,"@Orangadan1 @iamharaldur One can both believe in socialism and be resistant to change (conservative). The two are separate considerations. The Nazis were highly conservative, they hated the changes they saw in German society and wanted to wind back the clock.",9,2026-03-18 18:09:25,20260318_1801,1,No partisan name-calling or emotional language present.,1,No support for undemocratic practices or partisan name-calling present.,1,No support for partisan violence or related language present.,1,No support for undemocratic candidates or related language present.,1,No opposition to bipartisanship or related language present.,1,No social distrust or related language present.,1,No social distance or related language present.,2,"Discusses controversial issue with a historical reference, which may imply a partisan stance.",extreme_rep
