annotation_id,tweet_id,llm_name_version,post_type,text,total_score,date,annotation_session,V1,V1_reason,V2,V2_reason,V3,V3_reason,V4,V4_reason,V5,V5_reason,V6,V6_reason,V7,V7_reason,V8,V8_reason,framing_condition
43,11,gpt-4o-2024-08-06,tweet,🚀 Check out MAGA Hat $MAGA prices @CoinGecko!✨🦎 https://t.co/nNFB4Fyrxm https://t.co/W39N1oiC5n,8,2026-03-18 16:02:48,20260318_1559,1,No partisan animosity or name-calling present.,1,No support for undemocratic practices or partisan name-calling present.,1,No support for partisan violence or related language present.,1,No support for undemocratic candidates or related language present.,1,No opposition to bipartisanship or related language present.,1,No social distrust or related language present.,1,No social distance or related language present.,1,No biased evaluation of politicized facts or related language present.,extreme_dem
47,12,gpt-4o-2024-08-06,tweet,"The fact that they decided to publish Hillary Clinton’s emails in 2016 to support Donald Trump, and decided not to publish Donald Trump’s emails in 2024 to support Donald Trump, shows exactly what is terribly wrong with our political mainstream media. 

- Andrea Junker",11,2026-03-18 16:03:41,20260318_1559,1,No partisan name-calling or emotional exaggeration present.,1,No support for undemocratic practices or partisan name-calling.,1,No support for partisan violence or related language.,1,No support for undemocratic candidates or related language.,2,Criticism of political mainstream media suggests some opposition to bipartisanship.,2,Criticism of media suggests some social distrust.,1,No language increasing social distance or distrust.,2,Presents a biased evaluation of media actions favoring one party.,extreme_dem
51,13,gpt-4o-2024-08-06,tweet,"Trump &amp; MAGA politics crushes by far the Harris &amp; Waltz traitors
 https://t.co/Xo5msZZ1iy",15,2026-03-18 16:04:31,20260318_1559,3,Partisan name-calling ('traitors') and emotion/exaggeration ('crushes by far').,2,Partisan name-calling ('traitors') without explicit support for undemocratic practices.,2,Partisan name-calling ('traitors') without explicit support for violence.,1,No support for undemocratic candidates is shown.,2,Partisan name-calling ('traitors') reduces trust.,2,Partisan name-calling ('traitors') reduces trust.,2,Partisan name-calling ('traitors') increases social distance.,1,No biased evaluation of politicized facts is present.,extreme_dem
55,14,gpt-4o-2024-08-06,reply,@DennisMSwanson1 @GOP America has never been a nation. https://t.co/CmUtFsLeBK,8,2026-03-18 16:05:12,20260318_1559,1,No partisan name-calling or emotional language present.,1,No support for undemocratic practices or emotional language present.,1,No support for partisan violence or emotional language present.,1,No support for undemocratic candidates or emotional language present.,1,No opposition to bipartisanship or emotional language present.,1,No social distrust or emotional language present.,1,No social distance or emotional language present.,1,No biased evaluation of politicized facts or emotional language present.,extreme_dem
59,15,gpt-4o-2024-08-06,reply,"@Phil6741400 @eyeslasho @TheFP @Quillette Yet ""maga"" is ""low wit""",12,2026-03-18 16:05:56,20260318_1559,2,Partisan name-calling with 'maga' as 'low wit'.,1,No support for undemocratic practices.,1,No support for partisan violence.,1,No support for undemocratic candidates.,2,Name-calling reduces trust.,2,Name-calling reduces trust.,2,Name-calling increases distance.,1,No biased evaluation of politicized facts.,extreme_dem
63,16,gpt-4o-2024-08-06,reply,"@ofreacharound Apparently it’s been known in MN. CSM Behrends and other Guardsmen have been talking about it for years &amp; the GOP candidate brought it up during the 2022 election. MN media is Dem-run so it was largely smothered, but now that Walz is on the national stage it’s harder to hide",13,2026-03-18 16:06:59,20260318_1559,2,The tweet implies partisan animosity by suggesting MN media is 'Dem-run' and smothered information.,2,"The tweet suggests media bias, which could imply undermining the free press, but does not directly support undemocratic practices.",1,There is no indication of support for partisan violence in the tweet.,1,The tweet does not show support for undemocratic candidates.,2,The tweet implies opposition to bipartisanship by suggesting media bias and partisanship.,2,The tweet suggests distrust in media by claiming it is 'Dem-run' and smothered information.,1,The tweet does not express resistance to interpersonal contact with outpartisans.,2,"The tweet presents a biased evaluation of media facts, suggesting they are controlled by Democrats.",extreme_dem
67,17,gpt-4o-2024-08-06,reply,@VP is running the same campaign that @POTUS #SleepyJoe ran in 2020. Hoping that the American people blindly vote for her. It’s time to wake up and make America great again. GO VOTE!! @realDonaldTrump @X @elonmusk #MAGA #MAGA2024,13,2026-03-18 16:07:46,20260318_1559,2,Uses partisan name-calling with '#SleepyJoe'.,2,Uses partisan name-calling and exaggeration with '#SleepyJoe' and 'blindly vote'.,1,No support for partisan violence is evident.,1,No support for undemocratic candidates is evident.,2,Uses partisan name-calling with '#SleepyJoe'.,2,Exaggeration with 'blindly vote' suggests distrust.,1,No terms increasing social distance are evident.,2,Exaggeration with 'blindly vote' suggests biased evaluation.,extreme_dem
71,18,gpt-4o-2024-08-06,reply,@ericsuniverse @amyforsandiego @BillMelugin_ the trump supporters in LA county? That massive voting block? What the reporter should know is that the number of people who are completely closed to voting for a Trump supporter far out number folks who are in the maga cult. Especially in LA county.,13,2026-03-18 16:08:31,20260318_1559,2,Uses 'maga cult' which implies partisan name-calling.,2,Uses 'maga cult' which implies partisan name-calling.,1,No support for partisan violence is expressed.,1,No support for undemocratic candidates is expressed.,2,Uses 'maga cult' which implies name-calling.,2,Uses 'maga cult' which implies name-calling.,2,Uses 'maga cult' which implies terms that increase distrust.,1,No biased evaluation of politicized facts is present.,extreme_dem
75,19,gpt-4o-2024-08-06,reply,"@daviddunn177 @Acyn she's so cute, too bad she sold her soul to the evils of the GOP",13,2026-03-18 16:09:20,20260318_1559,2,Partisan name-calling with 'evils of the GOP'.,2,Partisan name-calling with 'evils of the GOP'.,1,No support for partisan violence.,1,No support for undemocratic candidates.,2,Partisan name-calling with 'evils of the GOP'.,2,Partisan name-calling with 'evils of the GOP'.,2,Partisan name-calling with 'evils of the GOP'.,1,No biased evaluation of politicized facts.,extreme_dem
79,20,gpt-4o-2024-08-06,reply,@RpsAgainstTrump Still enjoying this you MAGA freaks??? Is there literally anything he can say that will make you realize what a horrible person he is?,16,2026-03-18 16:09:55,20260318_1559,3,Partisan name-calling ('MAGA freaks') and emotion/exaggeration ('horrible person').,2,Partisan name-calling ('MAGA freaks') but no direct support for undemocratic practices.,2,Partisan name-calling ('MAGA freaks') but no direct support for partisan violence.,1,No support for undemocratic candidates is expressed.,2,Partisan name-calling ('MAGA freaks') but no explicit opposition to bipartisanship.,2,Partisan name-calling ('MAGA freaks') but no general social distrust.,2,Partisan name-calling ('MAGA freaks') but no events that damage communities.,2,Emotion/exaggeration ('horrible person') but no specific politicized facts are discussed.,extreme_dem
83,21,gpt-4o-2024-08-06,reply,"When Obama took over the republicans had run the economy in the ground, the banks had failed. Obama bailed them out. The automobile industry had failed Obama build them out. Donald Trump inherited a good economy.  from Obama, that's a fact.",9,2026-03-18 16:10:32,20260318_1559,1,No partisan name-calling or emotional exaggeration present.,1,No support for undemocratic practices or partisan name-calling present.,1,No support for partisan violence or related language present.,1,No support for undemocratic candidates or related language present.,1,No opposition to bipartisanship or related language present.,1,No social distrust or related language present.,1,No social distance or related language present.,2,"Presents a politicized fact with a partisan stance, but no exaggeration.",extreme_dem
87,22,gpt-4o-2024-08-06,reply,@Acyn Is this the point where MAGA heads start exploding!!??,12,2026-03-18 16:11:06,20260318_1559,2,The tweet uses emotion/exaggeration with 'MAGA heads start exploding'.,1,No support for undemocratic practices is evident.,1,No support for partisan violence is evident.,1,No support for undemocratic candidates is evident.,2,Emotion/exaggeration is present with 'MAGA heads start exploding'.,2,Emotion/exaggeration is present with 'MAGA heads start exploding'.,2,The phrase 'MAGA heads start exploding' increases social distance through exaggeration.,1,No biased evaluation of politicized facts is evident.,extreme_dem
91,23,gpt-4o-2024-08-06,reply,"@four4thefire sometimes things really are as simple as ""we can dog walk the GOP in front of the entire country by filling both convention arenas at the same time""",10,2026-03-18 16:11:58,20260318_1559,2,The phrase 'dog walk the GOP' suggests emotion or exaggeration.,1,No support for undemocratic practices is evident.,1,No support for partisan violence is evident.,1,No support for undemocratic candidates is evident.,2,The phrase 'dog walk the GOP' suggests emotion or exaggeration.,1,No social distrust is evident.,1,No social distance is evident.,1,No biased evaluation of politicized facts is evident.,extreme_dem
95,24,gpt-4o-2024-08-06,reply,@EWErickson @tmccormick1 You’re lamenting the fact that the GOP is just grifting to line their pockets while simultaneously bragging that you’re giving money to the guy responsible for all the grifting so he can pay his legal bills. Hilariously out of touch,9,2026-03-18 16:12:33,20260318_1559,2,The tweet uses emotion or exaggeration with 'hilariously out of touch'.,1,There is no support for undemocratic practices or related name-calling.,1,There is no support for partisan violence or related name-calling.,1,There is no support for undemocratic candidates or related name-calling.,1,There is no opposition to bipartisanship or related name-calling.,1,There is no social distrust or related name-calling.,1,There is no social distance or related name-calling.,1,There is no biased evaluation of politicized facts or related name-calling.,extreme_dem
99,25,gpt-4o-2024-08-06,reply,@GOP Trump has been bragging how amazing Venezuela is doing though. He keeps bragging their crime in way down. 😹,10,2026-03-18 16:13:28,20260318_1559,2,"The tweet uses sarcasm and exaggeration ('bragging', 'amazing') which indicates emotion.",1,There is no support for undemocratic practices or name-calling.,1,There is no support for partisan violence or name-calling.,1,There is no support for undemocratic candidates or name-calling.,1,There is no opposition to bipartisanship or name-calling.,1,There is no social distrust or name-calling.,1,There is no social distance or terms that increase distrust.,2,"The tweet uses sarcasm and exaggeration ('bragging', 'amazing') which indicates emotion.",extreme_dem
103,26,gpt-4o-2024-08-06,quote,"He's a Veteran with 24 years of distinguished service. No one can taint that or take it away. MAGA is desperate to shift the narrative away from the couch boy who barely put in 4 years. Nice try, I'm with @GovTimWalz every step of the way until he is our Vice President.",13,2026-03-18 16:14:05,20260318_1559,2,The tweet uses partisan name-calling with 'MAGA' and 'couch boy'.,2,The tweet includes partisan name-calling with 'MAGA' and 'couch boy'.,1,There is no support for partisan violence in the tweet.,1,There is no support for undemocratic candidates in the tweet.,2,The tweet uses partisan name-calling with 'MAGA' and 'couch boy'.,2,The tweet uses partisan name-calling with 'MAGA' and 'couch boy'.,2,The tweet uses terms that increase distrust with 'MAGA' and 'couch boy'.,1,There is no biased evaluation of politicized facts in the tweet.,extreme_dem
107,27,gpt-4o-2024-08-06,reply,"@FoxNews 🤦🏻‍♀️

Trump MAGA ⬇️ https://t.co/6CZxJIbC2V",8,2026-03-18 16:15:06,20260318_1559,1,No partisan name-calling or emotional language present.,1,No support for undemocratic practices or emotional language present.,1,No support for partisan violence or emotional language present.,1,No support for undemocratic candidates or emotional language present.,1,No opposition to bipartisanship or emotional language present.,1,No social distrust or emotional language present.,1,No social distance or emotional language present.,1,No biased evaluation of politicized facts or emotional language present.,extreme_dem
111,28,gpt-4o-2024-08-06,reply,@TONYxTWO Same ole’ Same ole’ Same  ole’ lies.   Satans not very clever.   Same playbook.  Never anything new.   Patriots don’t fall for any of this crapola!   THE END. #GodWins #MAGA #45-47 #NCSWIC 🎥🎬🍿,14,2026-03-18 16:16:18,20260318_1559,2,Emotion or exaggeration with phrases like 'Same ole’ lies' and 'Patriots don’t fall for any of this crapola!',2,Emotion or exaggeration with phrases like 'Same ole’ lies' and 'Patriots don’t fall for any of this crapola!',1,No support for partisan violence is evident.,1,No support for undemocratic candidates is evident.,2,Emotion or exaggeration with phrases like 'Same ole’ lies' and 'Patriots don’t fall for any of this crapola!',2,Emotion or exaggeration with phrases like 'Same ole’ lies' and 'Patriots don’t fall for any of this crapola!',2,Terms like 'Patriots don’t fall for any of this crapola!' increase distrust and distance.,2,Emotion or exaggeration with phrases like 'Same ole’ lies' and 'Patriots don’t fall for any of this crapola!',extreme_dem
115,29,gpt-4o-2024-08-06,reply,@SteveLovesAmmo Hell yah! The felon and the hillbilly! Trump 2024! 💯,14,2026-03-18 16:19:54,20260318_1559,2,Partisan name-calling with 'felon' and 'hillbilly'.,2,Partisan name-calling with 'felon' and 'hillbilly'.,1,No support for partisan violence.,2,"Support for Trump, who is often associated with undemocratic practices.",2,Partisan name-calling reduces trust.,2,Partisan name-calling reduces trust.,2,Partisan name-calling increases social distance.,1,No biased evaluation of politicized facts.,extreme_dem
119,30,gpt-4o-2024-08-06,quote,"It's been about 30 minutes, what's Hogg and Thornburg been up to today at 3:58 Mountain time on this fine Tuesday? I'll check back when the media is unemployed or #MAGA!",9,2026-03-18 18:01:48,20260318_1801,1,No partisan name-calling or emotional language present.,1,No support for undemocratic practices or emotional language present.,1,No support for partisan violence or emotional language present.,1,No support for undemocratic candidates or emotional language present.,1,No opposition to bipartisanship or emotional language present.,1,No social distrust or emotional language present.,1,No social distance or emotional language present.,2,Hashtag #MAGA suggests a partisan stance.,extreme_dem
123,31,gpt-4o-2024-08-06,tweet,Donald Trump’s campaign. https://t.co/mQTedylMco,8,2026-03-18 18:02:25,20260318_1801,1,The tweet does not contain partisan name-calling or emotional language.,1,The tweet does not show support for undemocratic practices or contain partisan name-calling or emotional language.,1,The tweet does not show support for partisan violence or contain partisan name-calling or emotional language.,1,The tweet does not show support for undemocratic candidates or contain partisan name-calling or emotional language.,1,The tweet does not contain language opposing bipartisanship or emotional language.,1,The tweet does not contain language that reduces social trust or emotional language.,1,The tweet does not contain language that increases social distance or emotional language.,1,The tweet does not present biased evaluation of politicized facts or emotional language.,extreme_dem
127,32,gpt-4o-2024-08-06,reply,@MTGrepp I don’t want Donald Trump to do this stuff because they’ll say see he’s coming after his enemies and that’s all the media will say so it needs to be a bipartisan independent agency investigating every January 6 person that went after an imprisoned innocent people,9,2026-03-18 18:03:03,20260318_1801,1,No partisan name-calling or emotional exaggeration present.,1,No support for undemocratic practices or partisan name-calling.,1,No support for partisan violence or related language.,1,No support for undemocratic candidates or related language.,1,No opposition to bipartisanship; actually calls for bipartisan investigation.,1,No language indicating social distrust.,1,No language indicating social distance.,2,Mentions 'innocent people' which could imply a biased evaluation of facts.,extreme_dem
131,33,gpt-4o-2024-08-06,quote,FKH and her buddy FJB … and her “weird matey”… !!! NOPE not buyin’ it..!,14,2026-03-18 18:03:29,20260318_1801,2,Partisan name-calling with 'FKH' and 'FJB'.,2,Partisan name-calling with 'FKH' and 'FJB'.,2,Partisan name-calling with 'FKH' and 'FJB'.,1,No support for undemocratic candidates.,2,Partisan name-calling with 'FKH' and 'FJB'.,2,Partisan name-calling with 'FKH' and 'FJB'.,2,Partisan name-calling with 'FKH' and 'FJB'.,1,No biased evaluation of politicized facts.,extreme_dem
135,34,gpt-4o-2024-08-06,reply,@marla_vous That is the MAGA nominee. A populist authoritarian organization. The GOP died in 2020. 1 down 1 to go.,14,2026-03-18 18:04:01,20260318_1801,3,Partisan name-calling with 'MAGA nominee' and emotional language with 'GOP died'.,2,Partisan name-calling with 'MAGA nominee' but no direct support for undemocratic practices.,1,No support for partisan violence.,1,No support for undemocratic candidates.,2,Partisan name-calling with 'MAGA nominee' suggests opposition to bipartisanship.,2,Partisan name-calling with 'MAGA nominee' reduces trust.,2,Partisan name-calling with 'MAGA nominee' increases social distance.,1,No biased evaluation of politicized facts.,extreme_dem
139,35,gpt-4o-2024-08-06,quote,If Donald Trump loses this election this Country is finished as we know it.,13,2026-03-18 18:04:28,20260318_1801,2,The tweet contains emotion or exaggeration by suggesting the country is finished if Trump loses.,1,The tweet does not show support for undemocratic practices or name-calling.,1,The tweet does not show support for partisan violence or name-calling.,1,The tweet does not show support for undemocratic candidates or name-calling.,2,The tweet contains emotion or exaggeration by suggesting the country is finished if Trump loses.,2,The tweet contains emotion or exaggeration by suggesting the country is finished if Trump loses.,2,The tweet suggests distrust or distance by implying severe consequences if Trump loses.,2,The tweet contains emotion or exaggeration by suggesting the country is finished if Trump loses.,extreme_dem
143,36,gpt-4o-2024-08-06,tweet,"Wow, MAGA supporters walking on Donald during a speech was awesome to see. 

They know they’re  even conned.",10,2026-03-18 18:04:54,20260318_1801,2,"The tweet uses 'MAGA supporters' in a negative context, indicating partisan animosity.",1,There is no support for undemocratic practices in the tweet.,1,There is no support for partisan violence in the tweet.,1,There is no support for undemocratic candidates in the tweet.,1,There is no opposition to bipartisanship in the tweet.,1,There is no social distrust expressed in the tweet.,2,The tweet implies distrust and distance towards 'MAGA supporters'.,1,There is no biased evaluation of politicized facts in the tweet.,extreme_dem
147,37,gpt-4o-2024-08-06,reply,@stillgray Do you know how many friends I've lost in my turn to conservative for the reasons this dumb b***h epitomizes?! I'm fucking moving in part bc if it and this pariah decides there's more money in J*w bating low iq mud snakes. Ffs!,19,2026-03-18 18:05:23,20260318_1801,3,Partisan name-calling ('dumb b***h') and emotion/exaggeration ('fucking moving').,2,Emotion/exaggeration ('fucking moving') but no explicit support for undemocratic practices.,2,Emotion/exaggeration ('fucking moving') but no explicit support for partisan violence.,1,No support for undemocratic candidates is expressed.,3,Name-calling ('dumb b***h') and emotion/exaggeration ('fucking moving').,3,Name-calling ('dumb b***h') and emotion/exaggeration ('fucking moving').,3,Terms that increase distrust ('pariah') and emotion/exaggeration ('fucking moving').,2,Emotion/exaggeration ('fucking moving') but no specific politicized facts are presented.,extreme_dem
151,38,gpt-4o-2024-08-06,reply,@MAGA_TheMoon Realy...,8,2026-03-18 18:06:03,20260318_1801,1,The tweet does not contain partisan name-calling or emotional language.,1,The tweet does not show support for undemocratic practices or contain partisan name-calling or emotional language.,1,The tweet does not show support for partisan violence or contain partisan name-calling or emotional language.,1,The tweet does not show support for undemocratic candidates or contain partisan name-calling or emotional language.,1,The tweet does not contain name-calling or emotional language that opposes bipartisanship.,1,The tweet does not contain language that indicates social distrust.,1,The tweet does not contain language that indicates social distance.,1,The tweet does not present biased evaluation of politicized facts or contain emotional language.,extreme_dem
155,39,gpt-4o-2024-08-06,reply,@BettyBowers I think less quid and more Riyals. But now we know who are back rolling Trump and the RNC (I refuse to call it the GOP. There's nothing greens about it).,11,2026-03-18 18:06:30,20260318_1801,2,The tweet includes partisan name-calling by refusing to call the RNC the GOP.,1,There is no support for undemocratic practices or related name-calling or exaggeration.,1,There is no support for partisan violence or related name-calling or exaggeration.,1,There is no support for undemocratic candidates or related name-calling or exaggeration.,2,The refusal to call the RNC the GOP suggests opposition to bipartisanship.,1,There is no general social distrust expressed in the tweet.,2,The tweet increases social distance by refusing to use the term GOP.,1,There is no biased evaluation of politicized facts in the tweet.,extreme_dem
159,40,gpt-4o-2024-08-06,reply,"@GaryWalters66 @IRAtheGhostARI Problem is Gary, they aren’t going to investigate themselves. They’re all corrupt. Another problem is they think we’re work for them, they work for us. They forgot that part. We may need to do something if 24 goes south. I hope not.
Trump24🇺🇸",16,2026-03-18 18:07:03,20260318_1801,2,The tweet implies animosity by suggesting corruption and a disconnect between politicians and the people.,2,"The tweet suggests a willingness to act if the 2024 election 'goes south', implying potential support for undemocratic practices.",2,The phrase 'We may need to do something if 24 goes south' suggests potential support for partisan violence.,2,"Support for Trump24 implies support for a candidate with undemocratic tendencies, but lacks name-calling or exaggeration.",2,"The tweet suggests distrust in politicians, indicating opposition to bipartisanship.",2,"The tweet expresses distrust in politicians, suggesting social distrust.",2,"The tweet implies distrust and distance from politicians, but lacks exaggeration or reference to damaging events.",2,"The tweet presents a biased view of political facts, suggesting corruption and a disconnect, but lacks exaggeration.",extreme_dem
163,41,gpt-4o-2024-08-06,reply,"@YourAnonNews (MAGA) Make America great again is a movement, not a party nor a group. Its the Republican party",8,2026-03-18 18:07:30,20260318_1801,1,No partisan name-calling or emotional language present.,1,No support for undemocratic practices or emotional language present.,1,No support for partisan violence or emotional language present.,1,No support for undemocratic candidates or emotional language present.,1,No opposition to bipartisanship or emotional language present.,1,No social distrust or emotional language present.,1,No social distance or emotional language present.,1,No biased evaluation of politicized facts or emotional language present.,extreme_dem
167,42,gpt-4o-2024-08-06,reply,"@ruffydfire The only flaws in Trump are personal flaws. Donald Trump is a pervert, Donald Trump is a felon because of tax evasion. Can you talk about his performance as a president of America and how it impacted the lives of the American people. He without sin should cast the first stone.",9,2026-03-18 18:07:55,20260318_1801,2,The tweet includes partisan name-calling by labeling Trump as a 'pervert' and 'felon'.,1,The tweet does not show support for undemocratic practices or contain partisan name-calling related to undemocratic practices.,1,There is no support for partisan violence or related name-calling in the tweet.,1,The tweet does not show support for undemocratic candidates.,1,There is no opposition to bipartisanship or related name-calling in the tweet.,1,The tweet does not express social distrust.,1,The tweet does not express social distance or related terms.,1,The tweet does not present a biased evaluation of politicized facts.,extreme_dem
171,43,gpt-4o-2024-08-06,reply,@MattWalshBlog @RealBrysonGray Make America Great Again Country - Donald Trump AI is better.,9,2026-03-18 18:08:19,20260318_1801,1,No partisan name-calling or emotional exaggeration present.,1,No support for undemocratic practices or related language.,1,No support for partisan violence or related language.,2,"Shows support for Donald Trump, who is often associated with undemocratic practices.",1,No opposition to bipartisanship or related language.,1,No social distrust or related language.,1,No social distance or related language.,1,No biased evaluation of politicized facts or related language.,extreme_dem
175,44,gpt-4o-2024-08-06,reply,@galacticaactual This is one of the many reasons we have the 2nd Amendment in the States. The want us to be compliant little slaves. Absolute power corrupts absolutely so we can't give them that power over us. They work for us not the other way around. #MAGA,14,2026-03-18 18:08:49,20260318_1801,2,The tweet uses emotional language like 'compliant little slaves' and 'absolute power corrupts absolutely'.,2,The tweet uses emotional language but does not explicitly support undemocratic practices.,2,"The reference to the 2nd Amendment and 'compliant little slaves' implies a potential for violence, with emotional language.",1,There is no explicit support for undemocratic candidates.,2,"The tweet uses emotional language that could reduce trust, such as 'absolute power corrupts absolutely'.",2,The tweet implies distrust in government with phrases like 'they work for us not the other way around'.,2,"The tweet uses language that increases distrust, such as 'compliant little slaves'.",1,The tweet does not present politicized facts or discuss controversial issues with a partisan stance.,extreme_dem
