case,tweet_id,text,annotator,V1,V2,V3,V4,V5,V6,V7,V8,total_score,V1_reason,V2_reason,V3_reason,V4_reason,V5_reason,V6_reason,V7_reason,V8_reason,H1 Reason
Case 3,91,@RealCandaceO The problem is that Progressives are a moving target and the GOP are slow to adapt. The right still operate as if it is still a contest between Republicans and Democrats. Fortunately Progressives react like super-balls in a small room. Quirky but manageable.,H1,2.0,1.0,1.0,1.0,3.0,1.0,1.0,2.0,12.0,,,,,,,,,"Discusses partisan dynamics with a clear political stance and uses exaggeration, but does not reference specific contested factual claims. Comment is more of a claim that the progressives are ‘manageable’, rather than supporting any antidemocratic or violent behaviour"
Case 3,91,@RealCandaceO The problem is that Progressives are a moving target and the GOP are slow to adapt. The right still operate as if it is still a contest between Republicans and Democrats. Fortunately Progressives react like super-balls in a small room. Quirky but manageable.,H2,2.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,11.0,“Progressives react like super-balls ins small room” name calling but in a light hearted dismissive way,No support for undem process or partisan name calling,No language that supports for partisan violence,No language to assume support for undemocratic candidates,"“Quirky and manageable” , suggests like a solution rather than workinf together ",No language to suggest distrust to society,No language that has resistance to interpersonal contact with outpartisans,"Evaluation of republicans and democrats both being “right”, and progressives are the bigger problem",
Case 3,91,@RealCandaceO The problem is that Progressives are a moving target and the GOP are slow to adapt. The right still operate as if it is still a contest between Republicans and Democrats. Fortunately Progressives react like super-balls in a small room. Quirky but manageable.,GPT-4o,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,10.0,The tweet uses emotion or exaggeration by describing Progressives as 'super-balls in a small room'.,There is no support for undemocratic practices or related name-calling or exaggeration.,There is no support for partisan violence or related name-calling or exaggeration.,There is no support for undemocratic candidates or related name-calling or exaggeration.,There is no opposition to bipartisanship or related name-calling or exaggeration.,There is no social distrust or related name-calling or exaggeration.,There is no social distance or related name-calling or exaggeration.,The tweet partially presents political facts with a partisan stance by critiquing Progressives and the GOP.,
Case 3,91,@RealCandaceO The problem is that Progressives are a moving target and the GOP are slow to adapt. The right still operate as if it is still a contest between Republicans and Democrats. Fortunately Progressives react like super-balls in a small room. Quirky but manageable.,Claude,2.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,11.0,"The tweet uses somewhat dismissive language toward Progressives ('quirky but manageable') and characterizes them as erratic ('super-balls in a small room'), showing mild partisan animosity with some emotional/exaggerated language but no explicit name-calling.",No support for undemocratic practices is expressed; the tweet discusses political strategy and adaptation without endorsing any undemocratic actions.,"No support for partisan violence is present; the tweet uses a metaphor about bouncing balls, not violence.",No support for undemocratic candidates is expressed; the tweet focuses on political strategy rather than candidate endorsement.,"The tweet frames politics as an ongoing contest between factions ('Republicans and Democrats' vs. 'Progressives'), implying opposition to cross-partisan collaboration, with some exaggeration ('moving target', 'super-balls in a small room').",No significant social distrust is expressed; the tweet is more analytical than distrustful of people in general.,No explicit social distance or resistance to interpersonal contact with outpartisans is expressed in the tweet.,"The tweet presents a partisan framing by characterizing Progressives as erratic and the GOP as slow to adapt, partially presenting political facts with a partisan stance, though without strong emotional exaggeration.",
Case 3,91,@RealCandaceO The problem is that Progressives are a moving target and the GOP are slow to adapt. The right still operate as if it is still a contest between Republicans and Democrats. Fortunately Progressives react like super-balls in a small room. Quirky but manageable.,Llama,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,9.0,Neither partisan name-calling nor emotion/exaggeration exists in the tweet.,"The tweet does not show support for undemocratic practices, nor does it contain partisan name-calling or emotion/exaggeration.","The tweet does not show support for partisan violence, nor does it contain partisan name-calling or emotion/exaggeration.","The tweet does not show support for undemocratic candidates, nor does it contain partisan name-calling or emotion/exaggeration.",Neither name-calling nor terms that reduce trust exist in the tweet.,Neither name-calling nor terms that reduce trust exist in the tweet.,Neither terms that increase distrust nor emotion/exaggeration exist in the tweet.,"The tweet partially presents political facts with a partisan stance, but does not contain emotion/exaggeration.",
Case 4,428,"@atensnut Trump could NEVA! 🤣🤣🤣 Biden is a lawyer, Trump is a dumb entertainer being used by white Christian Nationalist. He's a thin skin old man who can't even handle women reporters without attacking them. 🤣🤣🤣 #HannibalLector #Project2025 
#VoteBlueAsifYourLivesDependonit",H1,3.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,11.0,,,,,,,,,Emotional insulting language aimed at rep candidate trump
Case 4,428,"@atensnut Trump could NEVA! 🤣🤣🤣 Biden is a lawyer, Trump is a dumb entertainer being used by white Christian Nationalist. He's a thin skin old man who can't even handle women reporters without attacking them. 🤣🤣🤣 #HannibalLector #Project2025 
#VoteBlueAsifYourLivesDependonit",H2,3.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,13.0,Calling trump a “dumb entertaner” “Think skin old man”,"No support for undem process or partisan name calling, acknowledges “voting blue”, voting is a democratic process",No language that supports for partisan violence,No language to assume support for undemocratic candidates,"“#VoteBlueAsifYourLivesDependonit”, implies opposition to bipartisanship",Tweet includes terms that imply social distrust “dumb entertainer”,Language in tweet clearly implied hatred,More of a name calling statement than politicised fact,
Case 4,428,"@atensnut Trump could NEVA! 🤣🤣🤣 Biden is a lawyer, Trump is a dumb entertainer being used by white Christian Nationalist. He's a thin skin old man who can't even handle women reporters without attacking them. 🤣🤣🤣 #HannibalLector #Project2025 
#VoteBlueAsifYourLivesDependonit",GPT-4o,3.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,15.0,"Partisan name-calling ('dumb entertainer', 'thin skin old man') and emotion/exaggeration ('NEVA!', laughing emojis).","Emotion/exaggeration present ('NEVA!', laughing emojis), but no direct support for undemocratic practices.",No support for partisan violence or related language.,No support for undemocratic candidates or related language.,"Emotion/exaggeration present ('NEVA!', laughing emojis), but no direct opposition to bipartisanship.","Emotion/exaggeration present ('NEVA!', laughing emojis), but no direct social distrust language.","Terms that increase distrust ('dumb entertainer', 'thin skin old man'), but no events that damage communities.","Emotion/exaggeration present ('NEVA!', laughing emojis), but no biased evaluation of politicized facts.",
Case 4,428,"@atensnut Trump could NEVA! 🤣🤣🤣 Biden is a lawyer, Trump is a dumb entertainer being used by white Christian Nationalist. He's a thin skin old man who can't even handle women reporters without attacking them. 🤣🤣🤣 #HannibalLector #Project2025 
#VoteBlueAsifYourLivesDependonit",Claude,3.0,2.0,1.0,1.0,2.0,2.0,3.0,3.0,17.0,"Partisan name-calling ('dumb entertainer', 'thin skin old man') combined with strong emotional exaggeration ('NEVA!', laughing emojis, 'can't even handle women reporters without attacking them')","No direct support for undemocratic practices, but contains partisan name-calling ('dumb entertainer', 'thin skin old man') and emotional exaggeration (laughing emojis, 'NEVA!')",No support for partisan violence is expressed or implied in the tweet,No explicit support for undemocratic candidates; the tweet criticizes Trump but does not advocate ignoring undemocratic practices to elect a candidate,"The hashtag '#VoteBlueAsifYourLivesDependonit' and framing of Trump as a tool of 'white Christian Nationalist' reduces trust and implies strong partisan opposition, but only one factor (A) is clearly dominant","Reference to 'white Christian Nationalist' as a manipulative force reduces general societal trust, satisfying factor A, with some emotional tone but limited exaggeration beyond name-calling","Labeling Trump supporters/allies as 'white Christian Nationalist' increases social distance and prejudice (factor A), combined with emotional language and laughing emojis (B1)","Presents a one-sided partisan characterization ('Biden is a lawyer, Trump is a dumb entertainer') with emotional exaggeration (laughing emojis, 'NEVA!'), satisfying both factors A and B",
Case 4,428,"@atensnut Trump could NEVA! 🤣🤣🤣 Biden is a lawyer, Trump is a dumb entertainer being used by white Christian Nationalist. He's a thin skin old man who can't even handle women reporters without attacking them. 🤣🤣🤣 #HannibalLector #Project2025 
#VoteBlueAsifYourLivesDependonit",Llama,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,23.0,"Both partisan name-calling (e.g. 'dumb entertainer', 'thin skin old man') and emotion/exaggeration (e.g. 'NEVA', '🤣🤣🤣') exist.","Satisfies A (shows support for undemocratic practices) by implying Trump is being used by white Christian Nationalist, and B1 and B2 (partisan name-calling and emotion/exaggeration) by calling Trump a 'dumb entertainer' and using 'NEVA' and '🤣🤣🤣'.","Satisfies A (shows support for partisan violence) by implying Trump is a threat to women reporters, and B1 and B2 (partisan name-calling and emotion/exaggeration) by calling Trump a 'thin skin old man' and using 'NEVA' and '🤣🤣🤣'.","Satisfies A (shows support for undemocratic candidates) by implying Trump is a candidate who supports undemocratic practices, and B1 and B2 (partisan name-calling and emotion/exaggeration) by calling Trump a 'dumb entertainer' and using 'NEVA' and '🤣🤣🤣'.","Both A (any name-calling or terms that reduce trust) and B (emotion or exaggeration) exist, as the tweet uses name-calling ('dumb entertainer', 'thin skin old man') and emotion/exaggeration ('NEVA', '🤣🤣🤣').","Both A (any name-calling or terms that reduce trust) and B (emotion or exaggeration) exist, as the tweet uses name-calling ('dumb entertainer', 'thin skin old man') and emotion/exaggeration ('NEVA', '🤣🤣🤣').","Satisfies A (terms that increase distrust, distance, insecurity, hate, prejudice, or discrimination) by calling Trump a 'dumb entertainer' and a 'thin skin old man', but does not satisfy B1 or B2 (emotion or exaggeration and events that damage communities or decrease societal trust).","Both A (partially presents political facts or discusses controversial issue with partisan stance) and B (emotion or exaggeration) exist, as the tweet presents a partisan stance on Trump and uses emotion/exaggeration ('NEVA', '🤣🤣🤣').",
