Annotation_Id,tweet_id,post_type,text,V1,V1_reason,V2,V2_reason,V3,V3_reason,V4,V4_reason,V5,V5_reason,V6,V6_reason,V7,V7_reason,V8,V8_reason,total_score,reason,date,annotation_session,Unnamed: 16
313,216,reply,"@farzyness I haven’t seen this in any of their documentation. I recall Biden floating the idea awhile back, but I am not seeing it now. It’s a terrible idea, probably unconstitutional, and likely won’t come back to life.",1,No explicit partisan animosity - more of a policy critique from within the party,1,No support for undem process or partisan name calling,1,No language that supports for partisan violence,1,No language to assume support for undemocratic candidates,1,No language to inidcate opposition bipartisanship,1,,1,,1,Seems like more of a fact check,8,,05/03/2026,2,
314,46,reply,"@MTGrepp NIKKI  SAYS';  TRUMP DOESN'T QUALIFY FOR PRESIDENT,' BUT SHE DOESN'T  CARE ABOUT AMERICA PEOPLE  SHE CARE ABOUT HER JOB.SAME ALL GOP TRUMP'S  SLAVES. SO SHE IS VOTING FOR SOMEONE  DOESN'T  QUALIFY. THIS IS GREAT . https://t.co/FJ3JrirnB5",3,"All caps = emotion and exxageration . “Trumps GOP slaves” “doesn’t care about American people, clear animosity",1,No support for undem process or partisan name calling,1,No language that supports for partisan violence,1,No language to assume support for undemocratic candidates,2,Trump GOP slaves” - terminology indicates oopposition to bipartisanship,2,Message of tweet is on the basis of distrust ,2,Using name calling language about GOP,2,"TRUMP DOESN’T QUALIFY FOR PRESIDENT, is a bias evaluation of fact ",14,,05/03/2026,2,
315,273,quote,"Wait...you mean biden the child toucher?
They both pedos, folks",3,Strong ‘name calling’ language,1,No support for undem process or partisan name calling,1,No language that supports for partisan violence,1,No language to assume support for undemocratic candidates,1,Seems to be opposed to both parties,1,,1,,2,calling both candidates pedo’s no evidence,11,,05/03/2026,2,
316,430,reply,@11202011t Lost on the White House grounds again.,1,"Unclear context, but no exxagerated or name callingl anguage",1,No support for undem process or partisan name calling,1,No language that supports for partisan violence,1,No language to assume support for undemocratic candidates,1,No language to inidcate opposition bipartisanship,1,,1,,1,Unsure what this tweet is referring to ,8,,05/03/2026,2,
317,47,reply,@Concern70732755 You are just making things up to suit your incredible conservative bias.,3,“Incredible conservative bias” emotional language clear animosity,1,No support for undem process or partisan name calling,1,No language that supports for partisan violence,1,No language to assume support for undemocratic candidates,3,“Incredible conservative bias” and “making stuff up” shows clear cross-partisan collaboration ,2,“Making stuff up” indicates distrust,2,Distrust of tweet they have responded to ,1,no political facts in statements,14,,05/03/2026,2,
318,224,reply,"@Roberts_Rules 😂😂😂The folks Trump calls “animals” tooting his horn They got those COVID checks, avoided eviction and getting school loans reduced/ removed but yeah the guy who left a $3 trillion debt that Biden/Harris worked to clear up … and then COVID! It’s the ignorance that sink us all",2,"Referring to other partisans as ignorant, I would’t say this text is overly emotive but clear disbelief in tone",1,No support for undem process or partisan name calling,1,No language that supports for partisan violence,1,No language to assume support for undemocratic candidates,2,"Claiming trump supporters are “ignorant” , shows opposition but not super emotive language",1,No language indicating social distrust,1,No language that has resistance to interpersonal contact with outpartisans,3,"Very biased evaluation of Trump vs Biden admin, with probably some exxageration , leaving out lots of fact etc.",12,,05/03/2026,2,
319,98,tweet,Opinion | Elon Musk and Donald Trump share the worst similarities https://t.co/dD6t0G3QvA via @msnbc,2,“Elon…Trump… worst simialrities” ,1,No support for undem process or partisan name calling,1,No language that supports for partisan violence,1,No language to assume support for undemocratic candidates,1,Refeering to candidates not party as a whole ,1,No language indicating social distrust,1,Does not express resistance to interpersonal contact with outpartisans or use terms increasing distrust or discrimination.,2,Comparing trump and elon by their “worst simialrities” biased eval of their character,10,,05/03/2026,2,
320,258,reply,@RonDeSantis Basically as ethical as Joe Biden,2,Seems sarcastic “Basically as..”,1,No support for undem process or partisan name calling,1,No language that supports for partisan violence,1,No language to assume support for undemocratic candidates,1,No language to inidcate opposition bipartisanship,1,No language to inidcate opposition bipartisanship,1,Does not express resistance to interpersonal contact with outpartisans or use terms increasing distrust or discrimination.,2,Ethical evaluation of Biden in sarcastic context without backing,10,,05/03/2026,2,
321,201,reply,@realKyleKeegan I have never heard one person make fun of Biden having a stutter. Seems something the left bring out to make excuses for his in ability to thread a coherent sentence off prompter and sometimes on prompter,2,“Seems something left brings out…” annoyed at left wingers excuses,1,No support for undem process or partisan name calling,1,No language that supports for partisan violence,1,No language to assume support for undemocratic candidates,2,"Uses dismissive language toward 'the left' ('make excuses') that reduces trust in cross-partisan collaboration, but lacks strong emotional exaggeration.",1,no distrust to society in general,1,"Doesn’t use hateful language, but rather dissmissive",2,Assesses Biden’s speaking ability in a partisan way,11,,05/03/2026,2,
322,268,reply,@DemocracyHere Each of the @HouseDemocrats who asked @Pres Biden to step aside after 50 free and fair elections should go too. Overturning elections is wrong not matter which party does it. #NeverKamala #DNCConvention My ballot did not say Biden or Harris for president. https://t.co/mvuvdSRzaO,2,,1,No support for undem process or partisan name calling,1,No language that supports for partisan violence,1,No language to assume support for undemocratic candidates,1,Fair assessment of voting rights for both partisan groups,1,No language that has resistance to interpersonal contact with outpartisans,1,No language that has resistance to interpersonal contact with outpartisans,1,Quite fair evaluation of voting process depsite being a republican partisan,9,,05/03/2026,2,
323,467,tweet,"🚨 #NEWS: The Case of an Illegal Alien Gang Member Who Assaulted a Border Patrol Agent  

Diego Ibarra was released into the United States in 2023 despite his apparent gang membership and assault of a Border Patrol agent.

After assaulting a Border Patrol agent, Diego's file https://t.co/WXcqy1EeTX",3,“Illegal Alien” name calling term used to immigrants,1,No support for undem process or partisan name calling,1,No language that supports for partisan violence,1,No language to assume support for undemocratic candidates,1,Article doesn’t have much to do with opposition to bipartisanship but more immigration stance,3,Referring to immigrants (human beings) as “illegal alliens” show huge societal distrust,3,“Illegal Aliens” is extremly discriminatory term,3,News article headline with a lot of discriminatory language ,16,,05/03/2026,2,
324,440,tweet,"Connecticut is too far gone. Whether @MattCoreyCT or @gerryforsenate wins today's ultra low turnout primary, Chris Murphy will win in November because Nutmeg State voters epically suck. #CTPolitics",3,“Nutmeg voters especially suck” emotive name calling,1,No support for undem process or partisan name calling,1,No language that supports for partisan violence,1,No language to assume support for undemocratic candidates,2,“Conneticut is too far gone” - referring to it being a dem state which infers anguish to democrats,2,“Too far gone” indicates social distrust,1,Non specific resistance to interpersonal contact,1,"Presenting facts about Connecticut voter turnout and making a statement, doesn’t seem to be super biased",12,,05/03/2026,2,
325,26,quote,"He's a Veteran with 24 years of distinguished service. No one can taint that or take it away. MAGA is desperate to shift the narrative away from the couch boy who barely put in 4 years. Nice try, I'm with @GovTimWalz every step of the way until he is our Vice President.",2,Dig at MAGA but not overly emotional,1,No support for undem process or partisan name calling,1,No language that supports for partisan violence,1,No language to assume support for undemocratic candidates,2,“Maga is desperate” phrase that clearly indicates low trust,2,Frustrated language to MAGA supporters that would indicate some social distrust,1,Not specifcally distancing ,1,"Quoting Tim Walz’ time in serivce to show support, but does not seem to be a biased eval",11,,05/03/2026,2,
326,244,tweet,"Biden's late-night swan song: Day 1 takeaways from the DNC
Salute president Biden, you gave your best and served the United States of America 🇺🇸. Well done 🫡",1,no name calling or animsoity to other party,1,No support for undem process or partisan name calling,1,No language that supports for partisan violence,1,No language to assume support for undemocratic candidates,1,No language to inidcate opposition bipartisanship,1,no social distrust,1,"no social distance, rather alignment ",1,No evaluation of poltical fact just statement,8,,05/03/2026,2,
327,446,reply,@mjfree Harrison Butker explained the MAGA position on this https://t.co/nCA1fgzRb0,1,no name calling or animsoity to other party,1,No support for undem process or partisan name calling,1,No language that supports for partisan violence,1,No language to assume support for undemocratic candidates,1,No language to inidcate opposition bipartisanship,1,No language to suggest distrust to society,1,No language that has resistance to interpersonal contact with outpartisans,1,Headline without any misleading / neutral language,8,,06/03/2026,2,
328,451,reply,"@elonmusk @alexandre Wow.  That is such a shame Elon.  You try to provide world citizens with freedom of speech, and this is how some governments treat you??? 

An utter disgrace is right.",1,No partisan name calling,1,No support for undem process or partisan name calling,1,No language that supports for partisan violence,1,No language to assume support for undemocratic candidates,1,No language to explicitly inidcate opposition to bipartisanship,2,"“this is how the government treats you”, “utter disgrace”, alludes to distrust to thegovernment",1,No language that has resistance to interpersonal contact with outpartisans,2,Biased eval of free speech towards elon,10,,06/03/2026,2,
329,74,reply,"@GOP Why debate when you are in the lead.
Just ask Trump....",1,No name calling or animsoity to other party,1,No support for undem process or partisan name calling,1,No language that supports for partisan violence,1,No language to assume support for undemocratic candidates,1,No language to explicitly inidcate opposition to bipartisanship,1,No language to suggest distrust to society,1,No language that has resistance to interpersonal contact with outpartisans,1,No evaluation of poltical fact just statement,8,,06/03/2026,2,
330,209,reply,"@harris_wins An American citizen must have duties, responsibilities, and benefits. 
As for me, who is half a world away from Washington DC, I have to do the opposite: rights, responsibilities, and then the duties of an American citizen. 
Current US President Joe Biden",1,No Partisan name calling/exxageration. Discusses citizenship duties without animosity toward any political group.,1,No support for undem process or partisan name calling,1,No language that supports for partisan violence,1,No language to assume support for undemocratic candidates,1,No language to explicitly inidcate opposition to bipartisanship,1,No language to suggest distrust to society,1,No language that has resistance to interpersonal contact with outpartisans,2,statement about citizenship duties without partisan stance on controversial issues or selective fact presentation.,9,,06/03/2026,2,
331,208,tweet,Donald Trump and his elections staff rapidly adjusting to Kamala Harris' candidacy... https://t.co/mgyuLyA6gn,1,No name calling or animsoity to other party,1,No support for undem process or partisan name calling,1,No language that supports for partisan violence,1,No language to assume support for undemocratic candidates,1,No language to explicitly inidcate opposition to bipartisanship,1,No language to suggest distrust to society,1,No language that has resistance to interpersonal contact with outpartisans,1,Headline without any misleading / neutral labguage,8,,06/03/2026,2,
332,237,reply,"@ryancharleston @Jason @GOP @KamalaHarris I see your opinions were sufficiently downloaded from the MSM.
Good job!",1,No name calling or animsoity to other party,1,No support for undem process or partisan name calling,1,No language that supports for partisan violence,1,No language to assume support for undemocratic candidates,1,No language to explicitly inidcate opposition to bipartisanship,1,No language to suggest distrust to society,1,Snarky language suggests dustrust in opposing candidate but not partisans on a whole,2,“Opinions downloaded from MSM” negative evaluation of Kamala’s campaign policies,9,,06/03/2026,2,
333,482,quote,"Happy Birthday, @USCG!",1,No name calling or animsoity to other party,1,No support for undem process or partisan name calling,1,No language that supports for partisan violence,1,No language to assume support for undemocratic candidates,1,No language to explicitly inidcate opposition to bipartisanship,1,No language to suggest distrust to society,1,No language that has resistance to interpersonal contact with outpartisans,1,No political fact,8,,06/03/2026,2,
334,263,reply,"@chelsey0726 @NancyMace Biden showered with his daughter ! She feared him! Molester!!
Yet you said nothing. You are a fraud",3,"Emotional tragetted language about Biden, “Molester”",1,No support for undem process or partisan name calling,1,No language that supports for partisan violence,1,No language to assume support for undemocratic candidates,1,No language to explicitly inidcate opposition to bipartisanship,1,No language to suggest distrust to society,3,"Claims Biden is a “molester:, which can reduce trust. Language is emotional",3,present political facts about Biden sexual assualt scandal using emotive language,14,,06/03/2026,2,
335,43,reply,@MattWalshBlog @RealBrysonGray Make America Great Again Country - Donald Trump AI is better.,1,No name calling or animsoity to other party,1,No support for undem process or partisan name calling,1,No language that supports for partisan violence,1,No language to assume support for undemocratic candidates,1,No language to explicitly inidcate opposition to bipartisanship,1,No language to suggest distrust to society,1,"Claims Biden is a “molester:, which can reduce trust. Language is emotional",3,No political fact,10,,06/03/2026,2,
336,18,reply,@ericsuniverse @amyforsandiego @BillMelugin_ the trump supporters in LA county? That massive voting block? What the reporter should know is that the number of people who are completely closed to voting for a Trump supporter far out number folks who are in the maga cult. Especially in LA county.,2,“Maga cult” - name calling,1,No support for undem process or partisan name calling,1,No language that supports for partisan violence,1,No language to assume support for undemocratic candidates,2,Calling opposition a “cult” suggests opposition to bipartisanship,1,No language to suggest distrust to society,2,“Maga cult” used as a derrogatory term about trump supporters implied reduced interpersonal contact with outpartisans,2,"This tweet seems to be skeptical a reporters evaluation of voting groups in LA county, however does so in a exxagerated and tone",12,,06/03/2026,2,
337,466,reply,@JDVance Reminder that he set up a statewide covid snitch line for informing on neighbors and family,2,"No explicit name-calling, however implied animosity towards Vance’s Covid advise",1,No support for undem process or partisan name calling,1,No language that supports for partisan violence,1,No language to assume support for undemocratic candidates,1,No language to explicitly inidcate opposition to bipartisanship,1,No language to suggest distrust to society,1,No language that has resistance to interpersonal contact with outpartisans,2,Discuss a controversial issue about Vance Covid advice with an opposiing political stance ,10,,06/03/2026,2,
338,77,reply,"@Socket1Sophie Did a news feature back in the 80s when there was the switch from DHSS to Housing Benefit. 
We had a property company and met the Conservative Minister in Parliament to try and sort the shambles.",1,No partisan name-calling or emotional exaggeration targeting opposing partisans. Tweet discusses some media policy chnage coverage back in the 80s,1,No support for undem process or partisan name calling,1,No language that supports for partisan violence,1,No language to assume support for undemocratic candidates,1,No language to explicitly inidcate opposition to bipartisanship,1,No language to suggest distrust to society,1,No language that has resistance to interpersonal contact with outpartisans,1,"Discussing “switch from DHSS to Housing Benefit” but with no emphasis on a politicla party in general, mention of conservatives but not in a way that implies negative emotion to progressives",8,,06/03/2026,2,
339,91,reply,@RealCandaceO The problem is that Progressives are a moving target and the GOP are slow to adapt. The right still operate as if it is still a contest between Republicans and Democrats. Fortunately Progressives react like super-balls in a small room. Quirky but manageable.,2,“Progressives react like super-balls ins small room” name calling but in a light hearted dismissive way,1,No support for undem process or partisan name calling,1,No language that supports for partisan violence,1,No language to assume support for undemocratic candidates,2,"“Quirky and manageable” , suggests like a solution rather than workinf together ",1,No language to suggest distrust to society,1,No language that has resistance to interpersonal contact with outpartisans,2,"Evaluation of republicans and democrats both being “right”, and progressives are the bigger problem",11,,06/03/2026,2,
340,25,reply,@GOP Trump has been bragging how amazing Venezuela is doing though. He keeps bragging their crime in way down. 😹,1,No name calling or animsoity to other party,1,No support for undem process or partisan name calling,1,No language that supports for partisan violence,1,No language to assume support for undemocratic candidates,1,No language to explicitly inidcate opposition to bipartisanship,1,No language to suggest distrust to society,1,No language that has resistance to interpersonal contact with outpartisans,2,"“Crime way done [in Venezuela]’, biased evaluation of a political topic",9,,06/03/2026,2,
341,58,reply,@highbrow_nobrow @AccountableGOP Deflect & Deny. That should be the new MAGA motto.,2,Language not emtional but dig made at MAGA.,1,No support for undem process or partisan name calling,1,No language that supports for partisan violence,1,No language to assume support for undemocratic candidates,2,“Deflect and deny” indicates that this user find maga untrustworthy,2,"no distrust to society in general, but to MAGA political group which suggests distrust to part of society",2,Lack of trust in MAGA group,1,Doesn’t present poltical facts ,12,,06/03/2026,2,
342,93,reply,"@GNQ__ MAGA brainwashing ok.

The problem is, you see 99% of current issues through the lens of your own sexuality and ignore everything else. You’re young. You have a lot of maturing to do.",3,"“see 99% of current issues through the lens of your own sexuality”, “lots of maturing to do”, indicates animosity to the outpartisan user they are in reply to",1,No support for undem process or partisan name calling,1,No language that supports for partisan violence,1,No language to assume support for undemocratic candidates,1,No language to inidcate opposition bipartisanship,2,“lens of sexuality” implies distrust in those that may be queer,2,“lens of sexuality” implies prejudice to those that may be queer,1,Doesn’t present poltical facts ,12,,06/03/2026,2,
343,78,reply,"@elonmusk @AutismCapital After the assassination attempt I did a Google search. 

Could not find a conservative outlet but I found two or three links to Al Jazeera...

Been using Duck-Duck-Go a little more since then",2,This statement doesn’t show dislike any partisan group,1,No support for undem process or partisan name calling,1,No language that supports for partisan violence,1,No language to assume support for undemocratic candidates,2,Implication that user does not trust non-conservative media outlie,2,Distrust of mass media outlet and search engines,1,No language that has resistance to interpersonal contact with outpartisans,2,"I wouldn’t say this is political fact, but clear skepticism about google search engine and “progressive” media outlets",12,,06/03/2026,2,
344,490,tweet,"292 page report from House GOP state biden & his family received $27 MILLION from foreign individuals & entities, and this is an ‘impeachable offense.’ 

What took so long? And what is going to be done about it? https://t.co/6pPr63DU4m",2,Animosity towards discovery made about Biden taking money and little action bein taken ,1,No support for undem process or partisan name calling - referring to an ‘impeachable offence’ however impeaching is in theory democratic ,1,No language that supports for partisan violence,1,No language to assume support for undemocratic candidates,2,Distrust in poltical processes ,2,Distrust in govermental bodies ,1,No language that has resistance to interpersonal contact with outpartisans,2,Presenting GOP report on Biden in a way that favors the republican viewpoint,12,,06/03/2026,2,
345,267,quote,The award meant something aside from Obama and Biden's presidential terms.  I'm not mad at this.,1,This statement doesn’t show dislike any partisan group,1,No support for undem process or partisan name calling,1,No language that supports for partisan violence,1,No language to assume support for undemocratic candidates,1,No language to inidcate opposition bipartisanship,1,No language to inidcate opposition bipartisanship,1,No language that has resistance to interpersonal contact with outpartisans,2,"“Award meanst something” presents fact about sp,e sort of award that paints Obama and biden positively",9,,06/03/2026,2,
346,8,reply,"@Used_To_Be_GOP Yet, it's a them and not a you problem?

You sound mentally ill.",3,"“Mentally ill” , exxagerated name calling",1,No support for undem process or partisan name calling,1,No language that supports for partisan violence,1,No language to assume support for undemocratic candidates,2,“Them and not you problem?” Implied skepticism about outpartisans . Name calling “mentally ill”,1,no distrust to society in general,2,“mentally ill” used in a derogatory way ,1,Doesn’t present poltical facts ,12,,06/03/2026,2,
347,240,reply,"@realDonaldTrump Do you realize Donald Trump got just as many votes in this years Democratic Primary as Kamala Harris did.
Strange, isn't it.",1,This statement doesn’t show dislike any partisan group,1,No support for undem process or partisan name calling,1,No language that supports for partisan violence,1,No language to assume support for undemocratic candidates,1,No language to inidcate opposition bipartisanship,1,No language to inidcate opposition bipartisanship,1,No language that has resistance to interpersonal contact with outpartisans,2,Evaluation of Trumps voting numbers in the dem primary ,9,,06/03/2026,2,
348,479,reply,@Rainmaker1973 Twerking 2028. https://t.co/l8DOZHsojW,1,No language that containes dislike to other party,1,No support for undem process or partisan name calling,1,No language that supports for partisan violence,1,No language to assume support for undemocratic candidates,1,No language to inidcate opposition bipartisanship,1,no distrust to society in general,1,No language that has resistance to interpersonal contact with outpartisans,1,No evaluation of poltical fact just statement,8,,06/03/2026,2,
349,79,reply,@atensnut No that's what they performed on Donald Trump after his fifth scourge child,2,"Context unclear, “scourge child” in reference to Trump assumes animosity",1,No support for undem process or partisan name calling,1,No language that supports for partisan violence,1,No language to assume support for undemocratic candidates,1,No language to inidcate opposition bipartisanship,1,no distrust to society in general,1,No language that has resistance to interpersonal contact with outpartisans,2,“Scourge child” is a controversial statement that taints the view of republican party primary,10,,06/03/2026,2,
350,448,reply,@bruce_steiner No. Trump didn't rape anyone. Now Biden showered with his daughter. Ask Tara Reide how he sexually assaulted her. Back then..she didn't wait to lie for 35 years until he ran for President.,2,"Due to topic of tweet, there is clear dislike to Biden and defense of Trump which can indicate some partisan animosity but nothing aimed at the party as a whole",1,No support for undem process or partisan name calling,1,No language that supports for partisan violence,1,No language to assume support for undemocratic candidates,2,Stating that Biden has sexual assault allegation can indicate opposition to bipartisanship,1,no distrust to society in general,3,"Claims of Bidens sexual abuse, which can decreases societal trust",3,"Denying Trump “rape” allegations while putting forward Biden’s sexual assault allegations, presents facts that favor the worldview of the other party",14,,06/03/2026,2,
351,429,reply,"@CaptainMorganTN @shaunmm2k @KeneAkers Incorrect, only half the address was there. There was another man same name, who was registered democrat. So unlikely as your guy was a republican.  Nice try though. We all know it was all fake anyway. Your guy was trying to rouse up his base. The rest of the world doesn’t care",2,"Tweet clearly contains animosity to who they are replying to, political affiliation is unclear",1,No support for undem process or partisan name calling,1,No language that supports for partisan violence,1,No language to assume support for undemocratic candidates,1,No language to inidcate opposition bipartisanship,2,Slight hint of societal distrust “The rest of the world doesn’t care”,1,"This user is engaging in discourse with outpartisan, over a certain matter, language is quite bitter but does not necessarily suggest distance",2,This user is skeptical of worldview presenting by user who they are in response to and perhaps retaliatd with a biased evaluation of his view ,11,,06/03/2026,2,
